Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
erected ^vpsv++agls+xvbnx+=erected
in ^in++++=in
Longacre ^np+++??+=Longacre
Square ^nn++++=Square,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
white ^jj+atrb+++=white
statue ^nn++++=statue,
, ^zz++++=EXTRAWORD
labelled ^xvbn+++xvbn+=labelled
' ^zz++++='Our
our ^pp$+pp1+++=EXTRAWORD
City ^nn++++=City',
', ^nn+++??+=EXTRAWORD
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
in ^in++++=in
Grecian ^np+++??+=Grecian
robes ^nns++++=robes
holding ^vwbg+++xvbg+=holding
aloft ^rb++++=aloft
a ^at++++=a
shield ^nn++++=shield.
. ^zz++++=EXTRAWORD
Critical ^jj+atrb+++=Critical
citizens ^nns++++=citizens
objected ^vbd+vpub++xvbn+=objected
to ^in++++=to
it ^pp3+it+++=it
for ^in++++=for
various ^jj+atrb+++=various
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
its ^pp$+it+++=its
real ^jj+atrb+++=real
fault ^nn++++=fault
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
its ^pp$+it+++=its
symbolism ^nn+nom+++=symbolism
was ^vbd+bedz+vrb++=was
faulty ^jj+pred+++=faulty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sculptor ^nn++++=sculptor
should ^md+nec+++=should
have ^vb+hv+aux++=have
represented ^vprf+++xvbnx+=represented
New ^np++++=New
York ^np++++=York
as ^in++++=as
a ^at++++=a
conjuror ^nn++++=conjuror
in ^in++++=in
evening ^nn++++=evening
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
blandly ^rb++++=blandly
as ^ql++++=as
he ^pp3a+pp3+++=he
changed ^vbd+++xvbnx+=changed
a ^at++++=a
rabbit ^nn++++=rabbit
into ^in++++=into
a ^at++++=a
bowl ^nn++++=bowl
of ^in++++=of
goldfish ^nn++++=goldfish.
. ^zz++++=EXTRAWORD
For ^in++++=For
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
above ^jjb++++=above
all ^rb++++=all
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
New ^jj+atrb+++=New
York ^np++++=York's
's ^$++++=EXTRAWORD
speciality ^nn+nom+++=speciality.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
changes ^vbz++++=changes.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
1 ^zz++++=1
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
stepped ^vbd+++xvbnx+=stepped
off ^in+pl+++=off
the ^ati++++=the
train ^nn++++=train,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
16 ^cd++++=16
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
received ^vbd+++xvbnx+=received
Eddy ^nn++++=Eddy
Moore ^np++++=Moore's
's ^$++++=EXTRAWORD
letter ^nn++++=letter
containing ^vwbg+++xvbg+=containing
the ^ati++++=the
information ^nn+nom+++=information
that ^tht+vcmp+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
her ^pp$+pp3+++=her
a ^at++++=a
post ^nn++++=post
as ^in++++=as
stenographer ^nn++++=stenographer
in ^in++++=in
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
Joe ^np++++=Joe
Rendal ^np+++??+=Rendal,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed
Mary ^np++++=Mary
Hill ^npl++++=Hill
quite ^abl++++=quite
remarkably ^rb++++=remarkably.
. ^zz++++=EXTRAWORD
Mary ^np++++=Mary
was ^vbd+bedz+vrb++=was
from ^in++++=from
Dunsterville ^np+++??+=Dunsterville,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
in ^in++++=in
Canada ^np++++=Canada.
. ^zz++++=EXTRAWORD
Emigrations ^nns+nom++??+=Emigrations
from ^in++++=from
Dunsterville ^np+++??+=Dunsterville
were ^vbd+bed+vrb++=were
rare ^jj+pred+++=rare.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
somnolent ^jj+atrb+++=somnolent
town ^nn++++=town;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
men ^nns++++=men
born ^vwbn+++xvbn+=born
there ^ex+pex+++=there
follow ^vb+vprv+++=follow
in ^in++++=in
their ^pp$+pp3+++=their
father ^nn++++=father's
's ^$++++=EXTRAWORD
footsteps ^nns++++=footsteps,
, ^zz++++=EXTRAWORD
working ^jj+++xvbg+=working
on ^in++++=on
the ^ati++++=the
paternal ^jj+atrb+++=paternal
farm ^nn++++=farm
or ^cc++++=or
helping ^jj+++xvbg+=helping
in ^in++++=in
the ^ati++++=the
paternal ^jj+atrb+++=paternal
store ^nn++++=store.
. ^zz++++=EXTRAWORD
Occasionally ^rb++++=Occasionally
a ^at++++=a
daring ^jj+atrb++xvbg+=daring
spirit ^nn++++=spirit
will ^md+prd+++=will
break ^vb++++=break
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
seldom ^rb++++=seldom
farther ^rbr++++=farther
than ^in++++=than
Montreal ^np+nom++??+=Montreal.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
only ^rb+down+++=only
of ^in++++=of
the ^ati++++=the
younger ^jjr+atrb+++=younger
generation ^nn+nom+++=generation,
, ^zz++++=EXTRAWORD
Joe ^np++++=Joe
Rendal ^np+++??+=Rendal
and ^cc++++=and
Eddy ^np++++=Eddy
Moore ^np++++=Moore,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
set ^vprf+++xvbnx+=set
out ^rb+phrv+++=out
to ^to++++=to
make ^vbi++++=make
their ^pp$+pp3+++=their
fortunes ^nns++++=fortunes
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
gloomy ^jj+atrb+++=gloomy
prophecies ^nns++++=prophecies
of ^in++++=of
the ^ati++++=the
village ^nn+nom+++=village
