On ^in++++=On
a ^at++++=a
bitter ^jj+atrb+++=bitter
evening ^nn++++=evening
of ^in++++=of
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived
by ^in++++=by
mail ^nn++++=mail
in ^in++++=in
a ^at++++=a
large ^jj+atrb+++=large
town ^nn++++=town,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
the ^ati++++=the
residence ^nn+nom+++=residence
of ^in++++=of
an ^at++++=an
intimate ^jj+atrb+++=intimate
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
gifted ^jj+atrb+++=gifted
youths ^nns++++=youths
who ^whp+rel+subj++=who
cultivate ^nn+nom+++=cultivate
poetry ^nn++++=poetry
and ^cc++++=and
the ^ati++++=the
belles ^nns++++=belles-lettres,
- ^zz++++=EXTRAWORD
lettres ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
call ^vb++++=call
themselves ^ppls+pp3+++=themselves
students ^nns++++=students
at ^in++++=at
law ^nn++++=law.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
first ^od++++=first
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
after ^in++++=after
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
to ^to++++=to
visit ^vbi++++=visit
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
his ^pp$+pp3+++=his
distinguished ^jj+atrb++xvbn+=distinguished
instructor ^nn++++=instructor.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
bitter ^jj+atrb+++=bitter
night ^nn++++=night,
, ^zz++++=EXTRAWORD
clear ^jj+atrb+++=clear
starlight ^nn+++??+=starlight,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
cold ^jj++++=cold
as ^ql++++=as
Nova ^np++++=Nova
Zembla, ^np+++??+=Zembla,--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
shop ^nn++++=shop-windows
- ^zz++++=EXTRAWORD
windows ^nns++++=EXTRAWORD
along ^in++++=along
the ^ati++++=the
street ^nn++++=street
being ^vwbg+beg++xvbg+=being
frosted ^jj++++=frosted,
, ^zz++++=EXTRAWORD
so ^ql++++=so
as ^cs+sub+++=as
almost ^rb+hdg+++=almost
to ^to++++=to
hide ^vbi++++=hide
the ^ati++++=the
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
wheels ^nns++++=wheels
of ^in++++=of
coaches ^nns++++=coaches
thundered ^vbd+++xvbn+=thundered
equally ^rb++++=equally
loud ^jj++++=loud
over ^in++++=over
frozen ^vbd+++xvbn+=frozen
earth ^nn++++=earth
and ^cc++++=and
pavements ^nns+nom+++=pavements
of ^in++++=of
