There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us
in ^in++++=in
the ^ati++++=the
smoke ^nn++++=smoke-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Alexandra ^np++++=Alexandra
a ^at++++=a
very ^ql+amp+++=very
good ^jj+atrb+++=good
friend ^nn++++=friend
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
opposite ^rb++++=opposite
corner ^npl++++=corner,
, ^zz++++=EXTRAWORD
a ^at++++=a
shy ^jj++++=shy-looking,
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
unobtrusive ^jj+atrb+++=unobtrusive
man ^nn++++=man,
, ^zz++++=EXTRAWORD
the ^ati++++=the
editor ^nn++++=editor,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
subsequently ^rb+tm+++=subsequently
learned ^jj+++xvbn+=learned,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
New ^jj+atrb+++=New
York ^np++++=York
Sunday ^nr++++=Sunday
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend
and ^cc++++=and
I ^pp1a+pp1+++=I
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
habits ^nns++++=habits,
, ^zz++++=EXTRAWORD
good ^jj++++=good
and ^cc+phrs+++=and
bad ^jj++++=bad.
. ^zz++++=EXTRAWORD
" ^zz++++="After
after ^in++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
few ^ap++++=few
months ^nns++++=months,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
more ^rbr++++=more
effort ^nn++++=effort
for ^in++++=for
a ^at++++=a
man ^nn++++=man
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
saint ^nn++++=saint
than ^in++++=than
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
sinner ^nn++++=sinner;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
becomes ^vbz++++=becomes
a ^at++++=a
mere ^jjb+atrb+++=mere
matter ^nn++++=matter
of ^in++++=of
habit ^nn++++=habit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
interrupted ^vbd+++xvbnx+=interrupted,
, ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
every ^at++++=every
whit ^nn+++??+=whit
as ^ql++++=as
easy ^jj++++=easy
to ^to+jcmp+++=to
spring ^vb++++=spring
out ^rp+pl+++=out
of ^in++++=of
bed ^nn++++=bed
the ^ati++++=the
instant ^nn+nom+++=instant
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
called ^vpsv++agls+xvbnx+=called
as ^in++++=as
to ^in"++++=to
say ^vb+vpub+++=say
' ^zz++++='All
all ^abn++++=EXTRAWORD
Right ^jj++++=Right,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
turn ^nn++++=turn
over ^in++++=over
for ^in++++=for
just ^rb+emph+++=just
another ^dt++++=another
five ^cd++++=five
minutes ^nns++++=minutes'
' ^zz++++=EXTRAWORD
snooze ^nn+++??+=snooze,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
got ^vprf+++xvbnx+=got
into ^in+ppvb+++=into
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
no ^at++++=no
more ^rbr++++=more
trouble ^nn++++=trouble
not ^xnot++not++=not
to ^to++++=to
swear ^vbi+vpub++xvbn+=swear
than ^cs+sub+++=than
to ^to++++=to
