B.c ^rb++++=B.C.
. ^zz++++=EXTRAWORD
52 ^cd++++=52
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
Gauls ^np+++??+=Gauls
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
now ^rn+tm+++=now
to ^to++++=to
see ^vbi+vprv+tht0++=see
them ^pp3o+pp3+++=them
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
last ^rb++++=last
courage ^nn+nom+++=courage
of ^in++++=of
despair ^nn++++=despair,
, ^zz++++=EXTRAWORD
defending ^vbg+++xvbg+=defending
their ^pp$+pp3+++=their
native ^jj+atrb+++=native
lands ^nns++++=lands
against ^in++++=against
the ^ati++++=the
greatest ^nn++++=greatest
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
conquerors ^nns++++=conquerors
that ^tht+rel+obj++=that
Rome ^np++++=Rome
ever ^rb++++=ever
sent ^xvbn+++xvbn+=sent
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
lands ^nns++++=lands,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
dwelt ^vprf+++xvbnx+=dwelt
for ^in++++=for
so ^ql++++=so
many ^ap++++=many
years ^nns++++=years
as ^in++++=as
justly ^rb++++=justly
to ^to++++=to
regard ^vbi++++=regard
them ^pp3o+pp3+++=them
as ^ql++++=as
their ^pp$+pp3+++=their
inheritance ^nn+nom+++=inheritance,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
Gaul ^np++++=Gaul.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
the ^ati++++=the
Celtic ^jj+atrb+++=Celtic
race ^nn++++=race
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
abode ^nn++++=abode
ever ^rb++++=ever
since ^cs+sub+++=since
history ^nn++++=history
has ^vbz+hvz+aux++=has
spoken ^vprf+++xvbnx+=spoken
clearly ^rb+cnj+++=clearly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become,
, ^zz++++=EXTRAWORD
in ^in++++=in
Gaul ^np++++=Gaul
especially ^rb+cnj+++=especially,
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
more ^rbr++++=more
civilized ^jj++++=civilized
from ^in++++=from
intercourse ^nn+++??+=intercourse
with ^in++++=with
the ^ati++++=the
Greek ^jj+atrb+++=Greek
colony ^nn++++=colony
at ^in++++=at
Massilia ^np+++??+=Massilia,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Marseilles ^np++++=Marseilles.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
borderers ^nns+nom+++=borderers
upon ^in++++=upon
the ^ati++++=the
Roman ^jj+atrb+++=Roman
dominions ^nns++++=dominions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
little ^ap++++=little
chance ^nn++++=chance
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
absorbed ^vpsv++agls+xvbnx+=absorbed;
; ^zz++++=EXTRAWORD
the ^ati++++=the
tribes ^nns++++=tribes
of ^in++++=of
Provence ^np+nom+++=Provence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^rb++++=first
Roman ^jj+atrb+++=Roman
province ^nn++++=province,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
already ^rb++splt++=already
conquered ^vpsv++agls+xvbnx+=conquered,
, ^zz++++=EXTRAWORD
others ^aps++++=others
were ^vbd+bed+vrb++=were
in ^in++++=in
alliance ^nn+nom+++=alliance
with ^in++++=with
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
had ^vbd+hvd+aux++=had
called ^vprf+++xvbnx+=called
in ^rb+phrv+++=in
the ^ati++++=the
