We ^pp1a+pp1+++=We
quitted ^vprf+++xvbn+=quitted
Perekop ^np+++??+=Perekop
in ^in++++=in
the ^ati++++=the
vilest ^jjt+atrb+++=vilest
spirits ^nns++++=spirits
hungry ^jj++++=hungry
as ^in++++=as
wolves ^nps++++=wolves
and ^cc++++=and
at ^in++++=at
war ^nn++++=war
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
a ^at++++=a
whole ^nn++++=whole
twelve ^cd++++=twelve
hours ^nns++++=hours
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
unsuccessfully ^rb++splt++=unsuccessfully
employed ^vprf+++xvbnx+=employed
all ^abn++++=all
our ^pp$+pp1+++=our
talents ^nns++++=talents
and ^cc++++=and
capabilities ^nns+nom+++=capabilities
to ^to++++=to
earn ^vbi++++=earn
or ^cc+phrs+++=or
steal ^vb++++=steal
something ^pn++++=something,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
became ^vbd+++xvbn+=became
convinced ^vbd+++xvbn+=convinced,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
success ^nns+nom+++=success
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
either ^dtx++++=either
way ^nn++++=way,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
resolved ^vbd+vsua++xvbn+=resolved
to ^to+vcmp+++=to
go ^vbi++++=go
further ^jjb++++=further
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Whither ^np+++??+=Whither?
? ^zz++++=EXTRAWORD
Simply ^rb++++=Simply
further ^jjb++++=further
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
resolution ^nn+nom+++=resolution
was ^vbd+bedz+vrb++=was
unanimous ^jj+pred+++=unanimous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
mutual ^jj+atrb+++=mutual
agreement ^nn+nom+++=agreement.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
resolved ^vpsv++agls+xvbnx+=resolved
to ^to+vcmp+++=to
go ^vbi++++=go
further ^jjb++++=further
