For ^in++++=For
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
distance ^nn+nom+++=distance
between ^in++++=between
Auburn ^jj++++=Auburn
and ^cc++++=and
Newcastle ^np++++=Newcastle
the ^ati++++=the
road ^nn++++=road
- ^zz++++=-first
first ^od++++=EXTRAWORD
on ^rp++++=on
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
a ^at++++=a
creek ^nn++++=creek
and ^cc++++=and
then ^rn+tm+++=then
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
- ^zz++++=-occupies
occupies ^vbz++++=EXTRAWORD
the ^ati++++=the
whole ^jj++++=whole
bottom ^jjb++++=bottom
of ^in++++=of
the ^ati++++=the
ravine ^nn++++=ravine,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
partly ^rb+down+++=partly
cut ^vb+++xvbn+=cut
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
steep ^jj+atrb+++=steep
hillside ^nn++++=hillside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
built ^vbd+++xvbn+=built
up ^rb+phrv+++=up
with ^in+ppvb+++=with
boulders ^nns+nom+++=boulders
removed ^vwbn+++xvbn+=removed
from ^in++++=from
the ^ati++++=the
creek ^npl++++=creek-bed
- ^zz++++=EXTRAWORD
bed ^nn++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
miners ^nns++++=miners.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hills ^nns++++=hills
are ^vb+ber+vrb++=are
wooded ^jj+pred+++=wooded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
ravine ^nn++++=ravine
is ^vbz+bez+vrb++=is
sinuous ^jj+pred+++=sinuous.
. ^zz++++=EXTRAWORD
In ^in++++=In
a ^at++++=a
dark ^jj+atrb+++=dark
night ^nn++++=night
careful ^jj+atrb+++=careful
driving ^nvbg+++xvbg+=driving
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
in ^in++++=in
order ^to++++=order
not ^xnot++not++=not
to ^to++++=to
go ^vbi++++=go
off ^in+pl+++=off
into ^in++++=into
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
in ^in++++=in
memory ^nn++++=memory
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark,
, ^zz++++=EXTRAWORD
the ^ati++++=the
creek ^nn++++=creek
a ^at++++=a
torrent ^nn++++=torrent,
, ^zz++++=EXTRAWORD
swollen ^jj++++=swollen
by ^in++++=by
a ^at++++=a
recent ^jj+atrb+++=recent
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
