Old ^jj+atrb+++=Old
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Saunders ^nns+nom+++=Saunders
went ^vbd+++xvbn+=went
home ^nr++++=home
with ^in++++=with
bowed ^vwbn+++xvbn+=bowed
head ^jjb+atrb+++=head
and ^cc+phrs+++=and
angry ^jj+atrb+++=angry
brow ^nn++++=brow.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
known ^vprf+++xvbn+=known
that ^tht+vcmp+++=that
Dick ^np++++=Dick
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
habit ^nn++++=habit
of ^in++++=of
coming ^xvbg+++xvbg+=coming
in ^in++++=in
late ^jj++++=late,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
now ^rn+tm+++=now
no ^at++++=no
doubt ^nn++++=doubt
of ^in++++=of
the ^ati++++=the
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
himself ^ppl+pp3+++=himself
went ^vbd+++xvbn+=went
to ^in++++=to
bed ^nn++++=bed
early ^jj++++=early
and ^cc++++=and
slept ^vbd+++xvbn+=slept
soundly ^rb+cnj+++=soundly,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
man ^nn++++=man
with ^in++++=with
a ^at++++=a
good ^jj+atrb+++=good
conscience ^nn+nom+++=conscience
is ^vbz+bez+aux++=is
entitled ^vpsv++agls+xvbnx+=entitled
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
must ^md+nec+++=must
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
the ^ati++++=the
hours ^nns++++=hours
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
made ^vbd+++xvbn+=made
the ^ati++++=the
matter ^nn++++=matter
all ^abn++++=all
the ^ati++++=the
blacker ^nn++++=blacker.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
mother ^nn++++=mother
and ^cc++++=and
son ^nn++++=son
were ^vbd+bed+aux++=were
leagued ^vpsv++agls+xvbnx+=leagued
against ^in++++=against
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
lenient ^jj++++=lenient;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
he ^pp3a+pp3+++=he
would ^md+prd+++=would
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
root ^nn++++=root
of ^in++++=of
things ^nns++++=things.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
man ^nn++++=man
would ^md+prd+++=would
speedily ^rb++splt++=speedily
change ^vb++++=change
his ^pp$+pp3+++=his
ways ^nns++++=ways
or ^cc++++=or
take ^vb++++=take
the ^ati++++=the
consequences ^nns+nom+++=consequences.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
no ^at++++=no
half ^abn++++=half
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Poor ^jj+atrb+++=Poor
old ^jj+atrb+++=old
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Saunders ^nns+nom+++=Saunders
saw ^vbd+vprv++xvbn+=saw,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moment ^nn++++=moment
her ^pp$+pp3+++=her
husband ^nn++++=husband
came ^vbd+++xvbn+=came
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
storm ^nn++++=storm
brewing ^vwbg+++xvbg+=brewing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
wild ^jj+atrb+++=wild
fear ^nn++++=fear
arose ^vbd+++xvbn+=arose
in ^in++++=in
her ^pp$+pp3+++=her
heart ^nn++++=heart
that ^tht+rel+obj++=that
her ^pp3o+pp3+++=her
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
cause ^nn++++=cause.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
words ^nns++++=words
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
settled ^vbd+++xvbn+=settled
the ^ati++++=the
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
time ^nn++++=time
did ^vbd+dod+aux++=did
Richard ^np++++=Richard
come ^vb++++=come
in ^in++++=in
last ^jj+atrb+++=last
night ^nn++++=night?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I--I
i ^pp1a+pp1+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
hesitated ^vbd+++xvbnx+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="Shuffling"
shuffling ^vbg+nom++xvbg+=EXTRAWORD
" ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
husband ^nn++++=husband
always ^rb++++=always
called ^vbd+++xvbn+=called
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
buffer ^nn++++=buffer
between ^in++++=between
father ^nn++++=father
and ^cc++++=and
son ^nn++++=son
since ^cs+sub+++=since
Dick ^np++++=Dick
was ^vbd+bedz+vrb++=was
a ^at++++=a
child ^nn++++=child.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?
? ^zz++++=EXTRAWORD
Who ^whp+who+++=Who
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
in ^in+strn+++=in?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sighed ^vbd+++xvbnx+=sighed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
secret ^nn++++=secret
had ^vb+hv+vrb++=had
long ^jj++++=long
weighed ^jj+++xvbn+=weighed
upon ^in++++=upon
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
felt ^vbd+vprv+tht0+xvbnx+=felt
it ^pp3+it+++=it
would ^md+prd+++=would
come ^vb++++=come
out ^rp+pl+++=out
at ^in++++=at
some ^dti++++=some
hapless ^jj+atrb+++=hapless
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
a ^at++++=a
key ^jjb++++=key,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
glared ^vbd+++xvbn+=glared
in ^in++++=in
speechless ^jj+atrb+++=speechless
amazement ^nn+nom+++=amazement.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
angriest ^jjt+atrb+++=angriest
mood ^nn++++=mood
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
suspected ^vprf++tht0+xvbnx+=suspected
anything ^pn++++=anything
so ^rb+emph+++=so
bad ^jj++++=bad
as ^ql++++=as
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
key ^jjb++++=key!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
long ^rb++++=long
has ^vbz+hvz+aux++=has
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
key ^jjb++++=key?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
six ^cd++++=six
months ^nns++++=months.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
want ^vb++++=want
to ^to+vcmp+++=to
disturb ^vbi++++=disturb
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
thoughtful ^jj++++=thoughtful!
! ^zz++++=EXTRAWORD
Where ^wrb+who+whq++=Where
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he
spend ^vb++++=spend
his ^pp$+pp3+++=his
nights ^nns++++=nights?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
he ^pp3a+pp3+++=he
belongs ^vbz++++=belongs
to ^in++++=to
a ^at++++=a
club ^nn++++=club,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
takes ^vbz++++=takes
some ^dti++++=some
kind ^rb++++=kind
of ^rb"++++=of
exercise ^nn++++=exercise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
he ^pp3a+pp3+++=he
tell ^vb++++=tell
you ^pp2+pp2+++=you
he ^pp3a+pp3+++=he
exercised ^vbd+++xvbnx+=exercised
with ^in++++=with
cards ^nns++++=cards?
? ^zz++++=EXTRAWORD
Did ^vbd+dod+aux++=Did
he ^pp3a+pp3+++=he
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
gambling ^nn+nom+++=gambling
club ^nn++++=club?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+atrb+++=sure
Dick ^np++++=Dick
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
gamble ^vb++++=gamble.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick
is ^vbz+bez+vrb++=is
a ^at++++=a
good ^jj+atrb+++=good
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
father ^nn++++=father."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
precious ^jj+atrb+++=precious
lot ^nn++++=lot
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
evidently ^rb++++=evidently.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
his ^pp$+pp3+++=his
employer ^nn+nom+++=employer,
, ^zz++++=EXTRAWORD
banker ^nn++++=banker
Hammond ^np++++=Hammond,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
any ^dti++++=any
idea ^nn++++=idea
his ^pp$+pp3+++=his
clerk ^nn++++=clerk
belongs ^vbz++++=belongs
to ^in++++=to
a ^at++++=a
gambling ^nn+nom+++=gambling
club ^nn++++=club?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
any ^dti++++=any
thing ^nn++++=thing
wrong ^jj++++=wrong?
? ^zz++++=EXTRAWORD
Has ^vbz+hvz+vrb++=Has
any ^dti++++=any
one ^cd1++++=one
been ^vprf+ben+aux+xvbn+=been
speaking ^vbg+++xvbgx+=speaking
to ^in++++=to
you ^pp2+pp2+++=you
about ^in++++=about
Dick ^np++++=Dick?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
to ^in++++=to
his ^pp$+pp3+++=his
credit ^nn++++=credit."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
dear ^jj++++=dear!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
