Everyone ^pn++++=Everyone
who ^whp+who+++=who
has ^vbz+hvz+aux++=has
travelled ^vprf+++xvbnx+=travelled
over ^in++++=over
Eastern ^jj+atrb+++=Eastern
England ^np++++=England
knows ^vbz+vprv+++=knows
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
country ^nn++++=country-houses
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
studded ^vpsv++agls+xvbnx+=studded
the ^ati++++=the
rather ^rb++++=rather
dank ^nn+++??+=dank
little ^ap++++=little
buildings ^nns++++=buildings,
, ^zz++++=EXTRAWORD
usually ^rb+down+++=usually
in ^in++++=in
the ^ati++++=the
Italian ^jj+atrb+++=Italian
style ^nn++++=style,
, ^zz++++=EXTRAWORD
surrounded ^j+++xvbn+=surrounded
with ^in++++=with
parks ^nns++++=parks
of ^in++++=of
some ^dti++++=some
eighty ^cd++++=eighty
to ^in++++=to
a ^at++++=a
hundred ^cd++++=hundred
acres ^nns++++=acres.
. ^zz++++=EXTRAWORD
For ^in++++=For
me ^pp1o+pp1+++=me
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
always ^rb++++=always
had ^vb+hv+vrb++=had
a ^at++++=a
very ^ql+amp+++=very
strong ^jj+atrb+++=strong
attraction ^nn+nom+++=attraction:
: ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
grey ^nn++++=grey
paling ^vwbg+++xvbg+=paling
of ^in++++=of
split ^xvbn+++xvbn+=split
oak ^np++++=oak,
, ^zz++++=EXTRAWORD
the ^ati++++=the
noble ^jj+atrb+++=noble
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
the ^ati++++=the
meres ^nns+++??+=meres
with ^in++++=with
their ^pp$+pp3+++=their
reed ^nn++++=reed-beds,
- ^zz++++=EXTRAWORD
beds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
distant ^jj+atrb+++=distant
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
the ^ati++++=the
pillared ^jj+atrb+++=pillared
portico ^nn+++??+=portico
perhaps ^rb++++=perhaps
stuck ^vbd+++xvbn+=stuck
on ^in+cmpx+++=on
to ^in"++++=to
a ^at++++=a
red ^jj++++=red-brick
- ^zz++++=EXTRAWORD
brick ^nn++++=EXTRAWORD
Queen ^nn++++=Queen
Anne ^np++++=Anne
house ^nn++++=house
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
faced ^vpsv++agls+xvbnx+=faced
with ^in++++=with
stucco ^nn+++??+=stucco
to ^to++++=to
bring ^vbi++++=bring
it ^pp3+it+++=it
into ^in++++=into
line ^nn++++=line
with ^in++++=with
the ^ati++++=the
' ^zz++++='Grecian'
grecian ^jj++++=EXTRAWORD
' ^zz++++=EXTRAWORD
taste ^nn++++=taste
of ^in++++=of
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
eighteenth ^od++++=eighteenth
century ^nn++++=century;
; ^zz++++=EXTRAWORD
the ^ati++++=the
hall ^npl++++=hall
inside ^jjb++++=inside,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
hall ^nn++++=hall
ought ^md+nec+++=ought
always ^rb++++=always
to ^to++++=to
be ^vbi+vbi+aux++=be
provided ^vpsv++agls+xvbnx+=provided
with ^in++++=with
a ^at++++=a
gallery ^nn+nom+++=gallery
and ^cc++++=and
a ^at++++=a
small ^jj+atrb+++=small
organ ^nn++++=organ.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
the ^ati++++=the
library ^nn+nom+++=library,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
you ^pp2+pp2+++=you
may ^md+pos+++=may
find ^vb+vprv+tht0++=find
anything ^pn++++=anything
from ^in++++=from
a ^at++++=a
Psalter ^np+++??+=Psalter
of ^in++++=of
the ^ati++++=the
thirteenth ^od++++=thirteenth
century ^nn++++=century
to ^in++++=to
a ^at++++=a
Shakespeare ^np++++=Shakespeare
quarto ^nn++++=quarto.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
like ^vb++++=like
the ^ati++++=the
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
most ^ap+emph+++=most
of ^in++++=of
all ^abn++++=all
I ^pp1a+pp1+++=I
like ^in++++=like
fancying ^xvbg+++xvbg+=fancying
what ^wdt+who+++=what
life ^nn++++=life
in ^in++++=in
such ^abl++++=such
a ^at++++=a
house ^nn++++=house
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
first ^od++++=first
built ^vbd+++xvbn+=built,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
piping ^nn++++=piping
times ^nns++++=times
of ^in++++=of
landlords ^nns++++=landlords'
' ^zz++++=EXTRAWORD
prosperity ^nn+nom+++=prosperity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
least ^ql++++=least
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
money ^nn++++=money
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^rb+emph+++=so
plentiful ^jj++++=plentiful,
, ^zz++++=EXTRAWORD
taste ^nn++++=taste
is ^vbz+bez+aux++=is
more ^rbr++splt++=more
varied ^vpsv++agls+xvbnx+=varied
and ^cc++++=and
life ^nn++++=life
quite ^abl++++=quite
as ^ql++++=as
interesting ^jj++++=interesting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
have ^vbi++vrb++=have
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enough ^dt++++=enough
money ^nn++++=money
to ^to++++=to
keep ^vbi++++=keep
it ^pp3+it+++=it
together ^nn+nom+++=together
and ^cc++++=and
entertain ^vb++++=entertain
my ^pp$+pp1+++=my
friends ^nns++++=friends
in ^in++++=in
it ^pp3+it+++=it
modestly ^rb++++=modestly.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
digression ^&fw++++=digression.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
a ^at++++=a
curious ^jj+atrb+++=curious
series ^nn++++=series
of ^in++++=of
events ^nns++++=events
which ^whp+rel+subj++=which
happened ^vbd+++xvbn+=happened
in ^in++++=in
such ^abl++++=such
a ^at++++=a
house ^nn++++=house
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
describe ^vbi++++=describe.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
Castringham ^np+++??+=Castringham
Hall ^nn++++=Hall
in ^in++++=in
Suffolk ^np++++=Suffolk.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
to ^in++++=to
the ^ati++++=the
building ^jj+++xvbg+=building
since ^in++++=since
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
my ^pp$+pp1+++=my
story ^nn++++=story,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
essential ^jj+atrb+++=essential
features ^nns++++=features
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
sketched ^vprf+++xvbnx+=sketched
are ^vb+ber+vrb++=are
still ^rb++++=still
there ^rn+pl+++=there
Italian ^jj+atrb+++=Italian
portico ^nn+++??+=portico,
, ^zz++++=EXTRAWORD
square ^nn++++=square
block ^nn++++=block
of ^in++++=of
white ^jj+atrb+++=white
house ^npl++++=house,
, ^zz++++=EXTRAWORD
older ^jjr++++=older
inside ^jjb++++=inside
than ^in++++=than
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
park ^npl++++=park
with ^in++++=with
fringe ^nn++++=fringe
of ^in++++=of
woods ^nns++++=woods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mere ^jjb++++=mere.
. ^zz++++=EXTRAWORD
The ^ati++++=The
one ^cd1++++=one
feature ^nn++++=feature
that ^tht+rel+subj++=that
marked ^vbd+++xvbn+=marked
out ^rp+pl+++=out
the ^ati++++=the
house ^nn++++=house
from ^in++++=from
a ^at++++=a
score ^nn++++=score
of ^in++++=of
others ^aps++++=others
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
As ^ql++++=As
you ^pp2+pp2+++=you
looked ^vbd+++xvbn+=looked
at ^rb++++=at
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
park ^nn++++=park,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
saw ^vbd+vprv++xvbn+=saw
on ^in++++=on
the ^ati++++=the
right ^nn++++=right
a ^at++++=a
great ^jj+atrb+++=great
old ^jj+atrb+++=old
ash ^nn++++=ash-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
growing ^vwbg+++xvbg+=growing
within ^in++++=within
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
yards ^nns++++=yards
of ^in++++=of
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
or ^cc++++=or
quite ^abl++++=quite
touching ^jj+++xvbg+=touching
the ^ati++++=the
building ^jj+++xvbg+=building
with ^in++++=with
its ^pp$+it+++=its
branches ^nns++++=branches.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
there ^rn+pl+++=there
ever ^rb++++=ever
since ^cs+sub+++=since
Castringham ^np+++??+=Castringham
ceased ^vbd+++xvbn+=ceased
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
fortified ^jj+atrb++xvbn+=fortified
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
the ^ati++++=the
moat ^nn++++=moat
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
in ^rb+phrv+++=in
and ^cc++++=and
the ^ati++++=the
Elizabethan ^jj++++=Elizabethan
dwelling ^jj+++xvbg+=dwelling-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
built ^vbd+++xvbn+=built.
. ^zz++++=EXTRAWORD
At ^rb++++=At
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vb+hv+aux++=had
wellnigh ^nn+++??+=wellnigh
attained ^vbd+++xvbn+=attained
its ^pp$+it+++=its
full ^jj+atrb+++=full
dimensions ^nns++++=dimensions
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
1690 ^cd+date+++=1690.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
year ^nn++++=year
the ^ati++++=the
district ^nn++++=district
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Hall ^nn++++=Hall
is ^vbz+bez+aux++=is
situated ^vpsv++agls+xvbnx+=situated
was ^vbd+bedz+vrb++=was
the ^ati++++=the
scene ^nn++++=scene
of ^in++++=of
a ^at++++=a
number ^nn++++=number
of ^in++++=of
witch ^nn++++=witch-trials.
- ^zz++++=EXTRAWORD
trials ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
will ^md+prd+++=will
be ^vb+be+vrb++=be
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
arrive ^vb++++=arrive
at ^in++++=at
a ^at++++=a
just ^rb+emph+++=just
estimate ^nn+nom+++=estimate
of ^in++++=of
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
solid ^jj+atrb+++=solid
reason ^nn++++=reason
if ^cs+cnd+++=if
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
any ^dti++++=any
which ^whp+rel+obj++=which
lay ^jjb+++xvbn+=lay
at ^in++++=at
the ^ati++++=the
root ^nn++++=root
of ^in++++=of
the ^ati++++=the
universal ^nn+nom+++=universal
fear ^vb++++=fear
of ^in++++=of
witches ^nns++++=witches
in ^in++++=in
old ^jj+atrb+++=old
times ^nns++++=times.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
persons ^nns++++=persons
accused ^vbd+++xvbn+=accused
of ^in++++=of
this ^dt+dem+++=this
offence ^nn+nom+++=offence
really ^rb+emph+++=really
did ^vbd+dod+aux++=did
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
possessed ^vpsv++agls+xvbnx+=possessed
of ^in++++=of
unusual ^jj+atrb+++=unusual
powers ^nns++++=powers
of ^in++++=of
any ^dti++++=any
kind ^nn++++=kind;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
the ^ati++++=the
will ^md+prd+++=will
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
the ^ati++++=the
power ^nn++++=power,
, ^zz++++=EXTRAWORD
of ^in++++=of
doing ^xvbg+++xvbg+=doing
mischief ^nn++++=mischief
to ^in++++=to
their ^pp$+pp3+++=their
neighbours ^nns++++=neighbours;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
whether ^cs+who+++=whether
all ^rb++++=all
the ^ati++++=the
confessions ^nns++++=confessions,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
so ^ql++++=so
many ^ap++++=many,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
extorted ^vpsv++by+xvbnx+=extorted
by ^in++++=by
the ^ati++++=the
mere ^jjb+atrb+++=mere
cruelty ^nn++++=cruelty
of ^in++++=of
the ^ati++++=the
witch ^nn++++=witch-finders
- ^zz++++=EXTRAWORD
finders ^nns+nom+++=EXTRAWORD
these ^dt+pdem+++=these
are ^vb+ber+vrb++=are
questions ^nns+nom+++=questions
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fancy ^jj++++=fancy,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
solved ^vbd+++xvbn+=solved.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
present ^jj+atrb+++=present
narrative ^nn++++=narrative
gives ^vbz++++=gives
me ^pp1o+pp1+++=me
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
altogether ^nn+nom+splt++=altogether
sweep ^vb++++=sweep
it ^pp3+it+++=it
away ^rp+pl+++=away
as ^in++++=as
mere ^jjb+atrb+++=mere
invention ^nn+nom+++=invention.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reader ^nn++++=reader
must ^md+nec+++=must
judge ^vb++++=judge
for ^in++++=for
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Castringham ^np+++??+=Castringham
contributed ^vbd+++xvbn+=contributed
a ^at++++=a
victim ^nn++++=victim
to ^in++++=to
the ^ati++++=the
auto ^nn++++=auto-da-f
- ^zz++++=EXTRAWORD
da ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
f ^zz++++=EXTRAWORD
. ^zz++++=.
Mrs ^npt++++=Mrs
Mothersole ^np++++=Mothersole
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
differed ^vbd+++xvbnx+=differed
from ^in++++=from
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
run ^nn+++xvbn+=run
of ^in++++=of
village ^nn+nom+++=village
witches ^nns++++=witches
only ^rb+down+++=only
in ^in++++=in
being ^xvbg+++xvbg+=being
rather ^rb++++=rather
better ^jjr++++=better
off ^rp+pl+++=off
and ^cc++++=and
in ^in++++=in
a ^at++++=a
more ^rbr++++=more
influential ^jj+atrb+++=influential
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Efforts ^nns++++=Efforts
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
save ^vbi++++=save
her ^pp$+pp3+++=her
by ^in++++=by
several ^ap++++=several
reputable ^jj+atrb+++=reputable
farmers ^nns+nom+++=farmers
of ^in++++=of
the ^ati++++=the
parish ^nn++++=parish.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
their ^pp$+pp3+++=their
best ^jjt++++=best
to ^to+jcmp+++=to
testify ^vbi+vpub+++=testify
to ^in++++=to
her ^pp$+pp3+++=her
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
showed ^vbd+vprv++xvbn+=showed
considerable ^jj+atrb+++=considerable
anxiety ^nn++++=anxiety
as ^in++++=as
to ^in++++=to
the ^ati++++=the
verdict ^nn++++=verdict
of ^in++++=of
the ^ati++++=the
jury ^nn++++=jury.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
what ^wdt+who+++=what
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+vrb+xvbn+=been
fatal ^jj++++=fatal
to ^in++++=to
the ^ati++++=the
woman ^nn++++=woman
was ^vbd+bedz+vrb++=was
the ^ati++++=the
evidence ^nn+nom+++=evidence
of ^in++++=of
the ^ati++++=the
then ^rn+tm+++=then
proprietor ^nn++++=proprietor
of ^in++++=of
Castringham ^np+++??+=Castringham
Hall ^nn++++=Hall
Sir ^npt++++=Sir
Matthew ^np++++=Matthew
Fell ^vbd+++xvbn+=Fell.
. ^zz++++=EXTRAWORD
