It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
ancient ^jj+atrb+++=ancient
diary ^nn++++=diary
in ^in++++=in
a ^at++++=a
faded ^jj+atrb++xvbn+=faded
leather ^nn++++=leather
cover ^nn++++=cover.
. ^zz++++=EXTRAWORD
The ^ati++++=The
writing ^nvbg+++xvbg+=writing
was ^vbd+bedz+vrb++=was
fine ^jj+pred+++=fine
and ^cc+phrs+++=and
delicate ^jj++++=delicate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ink ^nn++++=ink
yellow ^nn++++=yellow
with ^in++++=with
age ^nn++++=age.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Henry ^np++++=Henry
Marquis ^npt++++=Marquis
turned ^vbd+++xvbn+=turned
the ^ati++++=the
pages ^nns++++=pages
slowly ^rb++++=slowly
and ^cc++++=and
with ^in++++=with
care ^nn++++=care
for ^in++++=for
the ^ati++++=the
paper ^nn++++=paper
was ^vbd+bedz+vrb++=was
fragile ^jj+pred+++=fragile.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
dined ^vprf+++xvbnx+=dined
early ^jj++++=early
at ^rb++++=at
the ^ati++++=the
Ritz ^np++++=Ritz
and ^cc++++=and
come ^vb++++=come
in ^in++++=in
later ^rbr+tm+++=later
to ^in++++=to
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
home ^nr++++=home
in ^in++++=in
St ^npt++++=St.
. ^zz++++=EXTRAWORD
James ^np++++=James's
's ^$++++=EXTRAWORD
Square ^nn++++=Square.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
show ^vbi+vprv+++=show
me ^pp1o+pp1+++=me
this ^dt+dem+++=this
old ^jj+atrb+++=old
diary ^nn++++=diary
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
him ^pp3o+pp3+++=him
from ^in++++=from
a ^at++++=a
branch ^nn++++=branch
of ^in++++=of
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
family ^nn++++=family
in ^in++++=in
Virginia ^np++++=Virginia
a ^at++++=a
branch ^nn++++=branch
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
King ^np++++=King's
's ^$++++=EXTRAWORD
grant ^np++++=grant
when ^wrb+who+++=when
Virginia ^np++++=Virginia
was ^vbd+bedz+vrb++=was
a ^at++++=a
crown ^nn++++=crown
colony ^nn++++=colony.
. ^zz++++=EXTRAWORD
The ^ati++++=The
collateral ^jj+atrb+++=collateral
ancestor ^nn++++=ancestor,
, ^zz++++=EXTRAWORD
Pendleton ^np++++=Pendleton,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
justice ^nn++++=justice
of ^in++++=of
the ^ati++++=the
peace ^nn++++=peace
in ^in++++=in
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
spinster ^nn+nom+++=spinster
daughter ^nn+nom+++=daughter
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
down ^rp++++=down
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
strange ^jj+atrb+++=strange
cases ^nns++++=cases
with ^in++++=with
which ^whp+rel+pied++=which
her ^pp3o+pp3+++=her
father ^npt++++=father
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
concerned ^vpsv++agls+xvbnx+=concerned.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Henry ^np++++=Henry
Marquis ^npt++++=Marquis
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
these ^dt+dem+++=these
cases ^nns++++=cases
in ^in++++=in
their ^pp$+pp3+++=their
tragic ^jj+atrb+++=tragic
details ^nns++++=details,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
inspirational ^jj+atrb+++=inspirational,
, ^zz++++=EXTRAWORD
deductive ^jj+atrb+++=deductive
handling ^nvbg+++xvbg+=handling,
, ^zz++++=EXTRAWORD
equaled ^j+++xvbn+=equaled
any ^dti++++=any
of ^in++++=of
our ^pp$+pp1+++=our
modern ^jj+atrb+++=modern
time ^nn++++=time.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
library ^npl+nom+++=library
overlooking ^vwbg+++xvbg+=overlooking
St ^npl++++=St.
. ^zz++++=EXTRAWORD
James ^np++++=James'
' ^zz++++=EXTRAWORD
Square ^nn++++=Square,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
curtained ^vpsv++agls+xvbnx+=curtained
off ^in+pl+++=off
from ^in++++=from
London ^np++++=London.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Henry ^np++++=Henry
read ^vwbn+vprv++xvbn+=read
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened,
, ^zz++++=EXTRAWORD
returned ^j+++xvbn+=returned,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
by ^in++++=by
some ^dti++++=some
recession ^nn++++=recession
of ^in++++=of
time ^nn++++=time
to ^in++++=to
the ^ati++++=the
Virginia ^np++++=Virginia
of ^in++++=of
a ^at++++=a
vanished ^jj+atrb++xvbn+=vanished
decade ^nn++++=decade.
. ^zz++++=EXTRAWORD
The ^ati++++=The
narrative ^nn++++=narrative
of ^in++++=of
the ^ati++++=the
diary ^nn++++=diary
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^npt++++=father
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
Justice ^nn++++=Justice
of ^in++++=of
God ^nn++++=God
was ^vbd+bedz+vrb++=was
sometimes ^rb++++=sometimes
swift ^jj+pred+++=swift
and ^cc+phrs+++=and
terrible ^jj++++=terrible.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
we ^pp1a+pp1+++=we
thought ^vbd+++xvbn+=thought
of ^in++++=of
it ^pp3+it+++=it
usually ^rb+down+++=usually
as ^in++++=as
remote ^jj++++=remote
and ^cc+phrs+++=and
deliberate ^jj++++=deliberate,
, ^zz++++=EXTRAWORD
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
calm ^nn++++=calm
adjustment ^nn+nom+++=adjustment
in ^in++++=in
some ^dti++++=some
supernatural ^jj+atrb+++=supernatural
Court ^nn++++=Court
of ^in++++=of
Equity ^nn++++=Equity.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+dem+++=this
idea ^nn++++=idea
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far
from ^rb"++++=from
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
justice ^nn++++=justice
of ^in++++=of
God ^np++++=God
move ^vb++++=move
on ^in++++=on
the ^ati++++=the
heels ^nns++++=heels
of ^in++++=of
a ^at++++=a
man ^nn++++=man
with ^in++++=with
appalling ^jj+atrb+++=appalling
swiftness ^nns+nom+++=swiftness;
; ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
crushing ^jj+atrb++xvbg+=crushing
force ^nn++++=force
and ^cc++++=and
directness ^nns+nom+++=directness
that ^tht+rel+subj++=that
simply ^rb++++=simply
staggered ^vbd+++xvbn+=staggered
the ^ati++++=the
human ^jj+atrb+++=human
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
the ^ati++++=the
case ^nn++++=case
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
men ^nns++++=men
sat ^vbd+++xvbn+=sat
over ^in++++=over
a ^at++++=a
table ^nn++++=table
when ^wrb+who+++=when
my ^pp$+pp1+++=my
father ^npt++++=father
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
got ^vbd+++xvbn+=got
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
human ^jj+atrb+++=human
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
stood ^vbd+++xvbn+=stood
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
calmly ^rb++++=calmly
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
thought ^vbd+++xvbn+=thought
the ^ati++++=the
Artificer ^np+nom++??+=Artificer
had ^vbd+hvd+aux++=had
designed ^vprf+++xvbnx+=designed
him ^pp3o+pp3+++=him
for ^in++++=for
a ^at++++=a
priest ^nn++++=priest
of ^in++++=of
the ^ati++++=the
church ^nn++++=church.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
the ^ati++++=the
massive ^jj+atrb+++=massive
features ^nns++++=features
and ^cc++++=and
the ^ati++++=the
fringe ^nn++++=fringe
of ^in++++=of
hair ^nn++++=hair
around ^in++++=around
his ^pp$+pp3+++=his
bald ^jj++++=bald
head ^jjb++++=head
like ^in++++=like
a ^at++++=a
tonsure ^nn+++??+=tonsure.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
to ^in++++=to
your ^pp$+pp2+++=your
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
