Many ^ap++++=Many
years ^nns++++=years
ago ^rb++++=ago
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
mate ^nn++++=mate
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
schooner ^nn+nom+++=schooner
Dicky ^np+++??+=Dicky
Bird ^nn++++=Bird.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
traded ^vbd+++xvbnx+=traded
mostly ^rb++++=mostly
between ^in++++=between
the ^ati++++=the
West ^nr+pl+++=West
Indies ^nps++++=Indies
and ^cc++++=and
Gulf ^nn++++=Gulf
ports ^nns++++=ports,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
while ^cs+sub+++=while
getting ^vbg+++xvbg+=getting
a ^at++++=a
charter ^nn++++=charter
for ^in++++=for
some ^dti++++=some
point ^nn++++=point
in ^in++++=in
Central ^jj+atrb+++=Central
America ^np++++=America.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
voyage ^nn++++=voyage,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
bound ^vpsv++agls+xvbnx+=bound
across ^in+pl+++=across
the ^ati++++=the
Gulf ^nn++++=Gulf
from ^in++++=from
Pensacola ^np+++??+=Pensacola
to ^in++++=to
Vera ^np++++=Vera
Cruz ^np++++=Cruz.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
a ^at++++=a
queer ^jj+atrb+++=queer
company ^nn++++=company;
; ^zz++++=EXTRAWORD
three ^cd++++=three
whites ^nns++++=whites
and ^cc++++=and
eight ^cd++++=eight
blacks ^nns++++=blacks.
. ^zz++++=EXTRAWORD
Cap ^nn++++=Cap'n
'n ^nn+++??+=EXTRAWORD
Thomas ^np++++=Thomas
Pratt ^np+++??+=Pratt
was ^vbd+bedz+vrb++=was
a ^at++++=a
first ^od++++=first
rate ^nn++++=rate
seaman ^nn++++=seaman
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
in ^in++++=in
liquor ^nn++++=liquor,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
too ^rb++++=too
easy ^jj++++=easy-going
- ^zz++++=EXTRAWORD
going ^md"++pmd"++=EXTRAWORD
to ^md+prd+++=to
suit ^vb++++=suit
some ^dti++++=some
people ^nns++++=people.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
knocking ^xvbg+++xvbg+=knocking
the ^ati++++=the
hands ^nns++++=hands
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
swearing ^nvbg+++xvbg+=swearing
at ^rb++++=at
them ^pp3o+pp3+++0='em
did ^vbd+dod+vrb++=did
just ^rb+emph+++=just
as ^ql++++=as
much ^ap++++=much
good ^jj++++=good.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
met ^vprf+++xvbnx+=met
some ^dti++++=some
people ^nns++++=people
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+++=think
even ^cs+sub+++=even
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right,
, ^zz++++=EXTRAWORD
