Running ^jj+atrb++xvbg+=Running
footsteps ^nns++++=footsteps
light ^nn++++=light,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft-soled
- ^zz++++=EXTRAWORD
soled ^jj+atrb+++=EXTRAWORD
shoes ^nns++++=shoes
made ^vbd+++xvbn+=made
of ^in++++=of
curious ^jj+atrb+++=curious
leathery ^jj+atrb+++=leathery
cloth ^nn++++=cloth
brought ^vbd+++xvbn+=brought
from ^in++++=from
Ceylon ^np++++=Ceylon
setting ^vwbg+++xvbg+=setting
the ^ati++++=the
pace ^nn++++=pace;
; ^zz++++=EXTRAWORD
thick ^jj+atrb+++=thick
flowing ^jj+atrb++xvbg+=flowing
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pairs ^nns++++=pairs,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
blue ^jj++++=blue
and ^cc+phrs+++=and
gilt ^jj++++=gilt,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
moonlight ^nn++++=moonlight
in ^in++++=in
blunt ^jj+atrb+++=blunt
gleams ^nns++++=gleams
and ^cc++++=and
splotches ^nns+++??+=splotches,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
a ^at++++=a
stone ^nn++++=stone's
's ^$++++=EXTRAWORD
throw ^vb++++=throw
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
flashes ^nns++++=flashes
through ^in++++=through
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
darts ^nns+++??+=darts
into ^in++++=into
a ^at++++=a
blind ^jj+atrb+++=blind
labyrinth ^nn+++??+=labyrinth
of ^in++++=of
alleys ^nns++++=alleys
and ^cc++++=and
becomes ^vbz++++=becomes
only ^rb+down+++=only
an ^at++++=an
intermittent ^jj+atrb+++=intermittent
scuffle ^nn++++=scuffle
ahead ^rb+pl+++=ahead
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
enfolding ^jj+atrb++xvbg+=enfolding
darkness ^nns+nom+++=darkness.
