It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
plain ^jj++++=plain
that ^tht+jcmp+obj++=that
Washington ^np++++=Washington
was ^vbd+bedz+aux++=was
troubled ^vpsv++agls+xvbnx+=troubled.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
paced ^vbd+++xvbnx+=paced
the ^ati++++=the
piazza ^nn+++??+=piazza
of ^in++++=of
the ^ati++++=the
stately ^jj+atrb+++=stately
Murray ^np++++=Murray
mansion ^nn++++=mansion
one ^cd1++++=one
fine ^jj+atrb+++=fine
autumn ^nn++++=autumn
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying
half ^abn++++=half
aloud ^rb++++=aloud
to ^in++++=to
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
we ^pp1a+pp1+++=we
defend ^vb++++=defend
or ^cc++++=or
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
quit ^vb++++=quit
New ^jj+atrb+++=New
York ^np++++=York?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
time ^nn++++=time
Washington ^np++++=Washington's
's ^$++++=EXTRAWORD
headquarters ^nns+nom+++=headquarters
were ^vbd+bed+vrb++=were
on ^in++++=on
Manhattan ^np+nom++??+=Manhattan
Island ^nn++++=Island,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
home ^nr++++=home
of ^in++++=of
the ^ati++++=the
Quaker ^nn++++=Quaker
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
Robert ^np++++=Robert
Murray ^np++++=Murray;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
first ^od++++=first
week ^nn++++=week
of ^in++++=of
September ^nr+nom+++=September,
