Once ^rb+tm+++=ONCE
on ^in++++=on
a ^at++++=a
time ^nn++++=time
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
five ^cd++++=five
goodies ^nns++++=goodies,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
all ^abn++++=all
reaping ^jj+++xvbg+=reaping
in ^in++++=in
a ^at++++=a
field ^nn++++=field;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all
childless ^jj++++=childless,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
have ^vbi++vrb++=have
a ^at++++=a
bairn ^nn++++=bairn.
. ^zz++++=EXTRAWORD
All ^abn++++=All
at ^rb++++=at
once ^rb"+tm+++=once
they ^pp3a+pp3+++=they
set ^vbd+++xvbnx+=set
eyes ^nns++++=eyes
on ^in++++=on
a ^at++++=a
strangely ^rb++++=strangely
big ^jj+atrb+++=big
goose ^nn++++=goose-egg,
- ^zz++++=EXTRAWORD
egg ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
as ^in++++=as
big ^nn++++=big
as ^in++++=as
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
first ^rb+cnj+++=first,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
just ^rb+emph+++=just
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
screamed ^vbd+++xvbn+=screamed
another ^dt++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="Heaven
heaven ^nn++++=EXTRAWORD
help ^nn++++=help
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
will ^md+prd+++=will
have ^vb+hv+vrb++=have
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
swore ^vbd+vpub++xvbn+=swore
the ^ati++++=the
third ^nn++++=third;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
to ^to++++=to
see ^vbi+vprv+++=see
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
they ^pp3a+pp3+++=they
flocked ^vbd+++xvbnx+=flocked
round ^rb++++=round
it ^pp3+it+++=it
and ^cc++++=and
squabbled ^vwbn+++xvbn+=squabbled
so ^pn++++=so
much ^ap++++=much
about ^in++++=about
the ^ati++++=the
egg ^nn++++=egg
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
tearing ^vbg+++xvbgx+=tearing
one ^cd1++++=one
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^rb++++=at
last ^rb"++++=last
they ^pp3a+pp3+++=they
agreed ^vbd+vpub++xvbnx+=agreed
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
would ^md+prd+++=would
own ^ap++++=own
it ^pp3+it+++=it
in ^rb++++=in
common ^rb"++++=common,
, ^zz++++=EXTRAWORD
all ^abn++++=all
five ^cd++++=five
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
was ^vbd+bedz+aux++=was
to ^to++++=to
sit ^vbi++++=sit
on ^in++++=on
it ^pp3+it+++=it
in ^in++++=in
turn ^nn++++=turn
like ^in++++=like
a ^at++++=a
goose ^nn++++=goose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
hatch ^vb++++=hatch
the ^ati++++=the
gosling ^nn+nom+++=gosling.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
lay ^vb+++xvbn+=lay
sitting ^vbg+++xvbg+=sitting
eight ^cd++++=eight
days ^nns++++=days,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
and ^cc+phrs+++=and
sat ^vbd+++xvbn+=sat,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nothing ^pn++++=nothing
came ^vbd+++xvbn+=came
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
meanwhile ^rb++++=meanwhile
the ^ati++++=the
others ^aps++++=others
had ^vb+hv+vrb++=had
to ^in++++=to
drag ^nn++++=drag
about ^md"++pmd"++=about
to ^md+prd+++=to
find ^vb+vprv+++=find
food ^nn++++=food
both ^abx++++=both
for ^in++++=for
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
began ^vbd+++xvbn+=began
to ^to++++=to
scold ^vbi+++??+=scold
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
one ^cd1++++=one
that ^dt+pdem+++=that
sat ^vbd+++xvbn+=sat,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
chip ^nn++++=chip
the ^ati++++=the
egg ^nn++++=egg
yourself ^ppl+pp2+++=yourself
before ^cs+sub+++=before
you ^pp2+pp2+++=you
could ^md+pos+++=could
cry ^vb++++=cry,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
you ^pp2+pp2+++=you;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
