Coming ^vbg+++xvbg+=Coming
down ^rp++++=down
coast ^nn++++=coast
from ^in++++=from
the ^ati++++=the
Kotzebue ^np+++??+=Kotzebue
country ^nn++++=country
they ^pp3a+pp3+++=they
stumbled ^vbd+++xvbnx+=stumbled
onto ^in++++=onto
the ^ati++++=the
little ^ap++++=little
camp ^nn++++=camp
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
winter ^nn++++=winter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
food ^nn++++=food
a ^at++++=a
plenty ^nn++++=plenty,
, ^zz++++=EXTRAWORD
of ^in++++=of
its ^pp$+it+++=its
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
subsisted ^vprf+++xvbnx+=subsisted
for ^in++++=for
some ^dti++++=some
days ^nns++++=days
on ^in++++=on
puree ^nn++++=puree
of ^in++++=of
seal ^nn++++=seal
oil ^nn++++=oil
and ^cc++++=and
short ^jj+atrb+++=short
ribs ^nns++++=ribs
of ^in++++=of
dog ^nn++++=dog,
, ^zz++++=EXTRAWORD
Captain ^npt++++=Captain
and ^cc++++=and
Big ^jj+atrb+++=Big
George ^np++++=George
decided ^vbd+vprv++xvbn+=decided
to ^to+vcmp+++=to
winter ^vb++++=winter.
. ^zz++++=EXTRAWORD
A ^at++++=A
maxim ^nn++++=maxim
of ^in++++=of
the ^ati++++=the
north ^np+pl+++=north
teaches ^vbz+vsua+++=teaches
to ^to+vcmp+++=to
cabin ^vb++++=cabin
by ^in++++=by
a ^at++++=a
grub ^nn++++=grub-pile.
- ^zz++++=EXTRAWORD
pile ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
an ^at++++=an
odd ^jj+atrb+++=odd
village ^nn+nom+++=village
they ^pp3a+pp3+++=they
beheld ^nn+++??+=beheld
that ^tht+rel+++=that
first ^rb++++=first
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
the ^ati++++=the
clean ^jj+atrb+++=clean
moss ^np++++=moss-chinked
- ^zz++++=EXTRAWORD
chinked ^jj+++xvbn+=EXTRAWORD
log ^&fo++++=log
shelters ^nns+nom+++=shelters
men ^nns++++=men
were ^vbd+bed+vrb++=were
wont ^nn++++=wont
to ^to++++=to
build ^vbi++++=build
in ^in++++=in
this ^dt+dem+++=this
land ^nn++++=land,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
found ^vbd+vprv+tht0+xvbnx+=found
the ^ati++++=the
community ^nn+nom+++=community
housed ^vbd+++xvbn+=housed
like ^in++++=like
marmots ^nns+++??+=marmots
in ^in++++=in
holes ^nns++++=holes
and ^cc++++=and
burrows ^nns++++=burrows.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
that ^tht+vcmp+++=that
the ^ati++++=the
troop ^nn++++=troop
had ^vbd+hvd+aux++=had
landed ^vprf+++xvbnx+=landed,
, ^zz++++=EXTRAWORD
fresh ^jj++++=fresh
from ^in++++=from
the ^ati++++=the
States ^nns++++=States,
, ^zz++++=EXTRAWORD
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
a ^at++++=a
quarter ^nn++++=quarter
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
hot ^jj++++=hot
with ^in++++=with
the ^ati++++=the
lust ^nn++++=lust
for ^in++++=for
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
shaken ^vpsv++by+xvbn+=shaken
by ^in++++=by
the ^ati++++=the
newspaper ^nn+nom+++=newspaper
horrors ^nns++++=horrors
of ^in++++=of
Alaska ^np++++=Alaska's
's ^$++++=EXTRAWORD
rigorous ^jj+atrb+++=rigorous
hardships ^nns+nom+++=hardships
and ^cc++++=and
forbidding ^jj+atrb++xvbg+=forbidding
climate ^nn+nom+++=climate.
. ^zz++++=EXTRAWORD
Debouching ^jj++++=Debouching
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
fall ^nn++++=fall,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
hastily ^rb++splt++=hastily
prepared ^vprf+++xvbnx+=prepared
for ^in++++=for
an ^at++++=an
Associated ^jj+atrb++xvbn+=Associated
Press ^nn++++=Press-painted
- ^zz++++=EXTRAWORD
painted ^xvbn+++xvbn+=EXTRAWORD
Arctic ^np++++=Arctic
winter ^nn++++=winter.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
they ^pp3a+pp3+++=they
been ^vprf+ben+aux+xvbnx+=been
forced ^vpsv++agls+xvbnx+=forced
to ^to+vcmp+++=to
winter ^vb++++=winter
in ^in++++=in
the ^ati++++=the
mountains ^nns++++=mountains
of ^in++++=of
Idaho ^np+++??+=Idaho,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
among ^in++++=among
Montana ^np++++=Montana's
's ^$++++=EXTRAWORD
passes ^vbz++++=passes,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
have ^vb+hv+aux++=have
prepared ^vprf+++xvbnx+=prepared
simply ^rb++++=simply
and ^cc+phrs+++=and
effectively ^rb++++=effectively.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
mystic ^jj+atrb+++=mystic
land ^nn++++=land,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
the ^ati++++=the
unknown ^jj++++=unknown,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
grew ^vbd+++xvbnx+=grew
panic ^nn++++=panic
stricken ^jj++++=stricken
and ^cc++++=and
lost ^vbd+++xvbn+=lost
their ^pp$+pp3+++=their
wits ^nns++++=wits.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
two ^cd++++=two
" ^zz++++="old
old ^jj+atrb+++=EXTRAWORD
timers ^nn++++=timers"
" ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
upon ^in+ppvb+++=upon
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
winter ^nn++++=winter
they ^pp3a+pp3+++=they
found ^vbd+vprv++xvbnx+=found
them ^pp3o+pp3+++=them
in ^in++++=in
bomb ^nn++++=bomb-proof
- ^zz++++=EXTRAWORD
proof ^nn++++=EXTRAWORD
hovels ^nns++++=hovels,
, ^zz++++=EXTRAWORD
sunk ^j+++xvbn+=sunk
into ^in++++=into
the ^ati++++=the
muck ^nn++++=muck,
, ^zz++++=EXTRAWORD
banked ^j+++xvbn+=banked
with ^in++++=with
