What ^wdt+who+++=What
I ^pp1a+pp1+++=I
narrate ^nn+nom+++=narrate
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
me ^pp1o+pp1+++=me
one ^cd1++++=one
winter ^nn++++=winter's
's ^$++++=EXTRAWORD
evening ^nn++++=evening
by ^in++++=by
my ^pp$+pp1+++=my
friend ^nn++++=friend
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
room ^nn++++=room
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
laundry ^nn++++=laundry.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vb+++xvbn+=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
quiet ^nn++++=quiet
little ^ap++++=little
celestial ^jj++++=celestial
with ^in++++=with
a ^at++++=a
grave ^nn++++=grave
and ^cc++++=and
thoughtful ^jj+atrb+++=thoughtful
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
melancholy ^jj+atrb+++=melancholy
contemplative ^jj+atrb+++=contemplative
disposition ^nn+nom+++=disposition
so ^rb++++=so
often ^rb++++=often
noticed ^vbd+vprv++xvbn+=noticed
in ^in++++=in
his ^pp$+pp3+++=his
countrymen ^nns++++=countrymen.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
myself ^ppl+pp1+++=myself
and ^cc++++=and
Ah ^uh++++=Ah-Yen
- ^zz++++=EXTRAWORD
yen ^vwbn+++xvbn+=EXTRAWORD
there ^ex+pex+++=there
exists ^vbz++++=exists
a ^at++++=a
friendship ^nn+nom+++=friendship
of ^in++++=of
some ^dti++++=some
years ^nns++++=years'
' ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
spend ^vb++++=spend
many ^ap++++=many
a ^at++++=a
long ^jj+atrb+++=long
evening ^nn++++=evening
in ^in++++=in
the ^ati++++=the
dimly ^rb++++=dimly
lighted ^jj+atrb++xvbn+=lighted
room ^nn++++=room
behind ^in+pl+++=behind
his ^pp$+pp3+++=his
shop ^nn++++=shop,
, ^zz++++=EXTRAWORD
smoking ^vbg+++xvbg+=smoking
a ^at++++=a
dreamy ^jj+atrb+++=dreamy
pipe ^nn++++=pipe
together ^nn+nom+++=together
and ^cc++++=and
plunged ^vpsv++agls+xvbn+=plunged
in ^in++++=in
silent ^jj+atrb+++=silent
meditation ^nn+nom+++=meditation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
chiefly ^rb++splt++=chiefly
attracted ^vpsv++agls+xvbnx+=attracted
to ^in++++=to
my ^pp$+pp1+++=my
friend ^nn++++=friend
by ^in++++=by
the ^ati++++=the
highly ^rb+amp+++=highly
imaginative ^jj+atrb+++=imaginative
cast ^nn+++xvbn+=cast
of ^in++++=of
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
a ^at++++=a
trait ^nn++++=trait
of ^in++++=of
the ^ati++++=the
Eastern ^jj+atrb+++=Eastern
character ^nn+nom+++=character
and ^cc++++=and
which ^whp+rel+subj++=which
enables ^vbz++++=enables
him ^pp3o+pp3+++=him
to ^to++++=to
forget ^vbi+vprv+++=forget
to ^to+vcmp+++=to
a ^at++++=a
great ^jj+atrb+++=great
extent ^nn++++=extent
the ^ati++++=the
sordid ^nn++++=sordid
cares ^vbz++++=cares
of ^in++++=of
his ^pp$+pp3+++=his
calling ^nvbg+++xvbg+=calling
in ^in++++=in
an ^at++++=an
inner ^jjb+atrb+++=inner
life ^nn++++=life
of ^in++++=of
