Mamma ^npt++++=Mamma
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down-town
- ^zz++++=EXTRAWORD
town ^nn++++=EXTRAWORD
to ^in++++=to
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
Nora ^np+++??+=Nora
to ^to++++=to
look ^vbi++++=look
after ^in+ppvb+++=after
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nora ^np+++??+=Nora
promised ^vbd+vpub+tht0+xvbn+=promised
she ^pp3a+pp3+++=she
would ^md+prd+++=would.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
afternoon ^nn++++=afternoon
for ^in++++=for
polishing ^xvbg+++xvbg+=polishing
the ^ati++++=the
silver ^nn++++=silver,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
stayed ^vbd+++xvbnx+=stayed
in ^in++++=in
the ^ati++++=the
pantry ^nn++++=pantry
and ^cc++++=and
left ^jj+++xvbn+=left
Jane ^np++++=Jane
Gladys ^np+++??+=Gladys
to ^to++++=to
amuse ^vbi++++=amuse
herself ^ppl+pp3+++=herself
alone ^rb++++=alone
in ^in++++=in
the ^ati++++=the
big ^nn++++=big
sitting ^vwbg+++xvbg+=sitting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
upstairs ^jjb++++=upstairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
girl ^nn++++=girl
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
mind ^nn++++=mind
being ^vwbg+beg++xvbg+=being
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
working ^vbg+++xvbgx+=working
on ^in++++=on
her ^pp3o+pp3+++=her
first ^od++++=first
piece ^nn++++=piece
of ^in++++=of
embroidery ^nn+nom+++=embroidery--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
sofa ^nn++++=sofa
pillow ^nn++++=pillow
for ^in++++=for
papa ^npt++++=papa's
's ^$++++=EXTRAWORD
birthday ^nn++++=birthday
present ^nn++++=present.
. ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
crept ^vbd+++xvbnx+=crept
into ^in++++=into
the ^ati++++=the
big ^jj+atrb+++=big
bay ^nn++++=bay
window ^nn++++=window
and ^cc++++=and
curled ^vbd+++xvbn+=curled
herself ^ppl+pp3+++=herself
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
broad ^jj+atrb+++=broad
sill ^nn++++=sill
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
bent ^vbd+++xvbnx+=bent
her ^pp3o+pp3+++=her
brown ^np++++=brown
head ^jjb++++=head
