One ^cd1++++=One
night ^nn++++=night,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
adventure ^nn++++=adventure
above ^in+pl+++=above
described ^vbd+++xvbn+=described,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
H ^zz++++=H
roon ^np++++=roon
Er ^&fw++++=Er-Rasheed
- ^zz++++=EXTRAWORD
rasheed ^vbd+++xvbn+=EXTRAWORD
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
Ja ^vb+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
Wezeer ^np+++??+=Wezeer,
, ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
will ^md+prd+++=will
go ^vb++++=go
down ^rp++++=down
to ^to++++=to-night
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inquire ^vb++++=inquire
respecting ^in++++=respecting
the ^ati++++=the
affairs ^nns++++=affairs
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
at ^rb++splt++=at
present ^vb++++=present
in ^in++++=in
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
him ^pp3o+pp3+++=him
against ^in++++=against
whom ^whp+rel+pied++=whom
any ^dti++++=any
one ^cd1++++=one
shall ^md+prd+++=shall
complain ^vb+vpub+tht0++=complain
we ^pp1a+pp1+++=we
will ^md+prd+++=will
displace ^vb++++=displace.
. ^zz++++=EXTRAWORD
Ja ^np+++??+=Ja
far ^rb+pl+++=far
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hear ^vb+vprv+++=hear
and ^cc+phrs+++=and
obey ^vb++++=obey:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
forth ^np++++=forth
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
Mesroor ^np+++??+=Mesroor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
through ^in++++=through
several ^ap++++=several
of ^in++++=of
the ^ati++++=the
market ^nn++++=market-streets,
- ^zz++++=EXTRAWORD
streets ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
proceeded ^vbd+++xvbnx+=proceeded
along ^in++++=along
a ^at++++=a
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
there ^rn+pl+++=there
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
net ^jjb++++=net
and ^cc++++=and
basket ^nn++++=basket
upon ^in++++=upon
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
staff ^nn++++=staff
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
at ^rb++++=at
his ^pp$+pp3+++=his
leisure ^nn++++=leisure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reciting ^vbg+++xvbg+=reciting
these ^dt+dem+++=these
verses ^nns++++=verses:
: ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
say ^vb+vpub+++=say
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
shinest ^jjt++++=shinest
among ^in++++=among
mankind ^nn++++=mankind,
, ^zz++++=EXTRAWORD
by ^in++++=by
thy ^pp$+pp2+++=thy
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
moonlight ^nn++++=moonlight
night ^nn++++=night:
: ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
Abstain ^vb++++=Abstain
from ^in++++=from
thus ^rb+cnj+++=thus
addressing ^vbg+++xvbg+=addressing
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
knowledge ^nn++++=knowledge
without ^in++++=without
power ^nn++++=power:
: ^zz++++=EXTRAWORD
For ^in++++=For
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
would ^md+prd+++=would
pawn ^jj+++xvbn+=pawn
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
knowledge ^nn++++=knowledge
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
my ^pp$+pp1+++=my
papers ^nns++++=papers
and ^cc++++=and
inkhorn ^jj+++xvbn+=inkhorn
too ^ql++++=too,
, ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
day ^nn++++=day's
's ^$++++=EXTRAWORD
food ^nn++++=food,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
never ^rb++splt++=never
find ^vb+vprv+tht0++=find
the ^ati++++=the
pledge ^nn++++=pledge
accepted ^vbd+++xvbn+=accepted
to ^in++++=to
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
the ^ati++++=the
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
whole ^jj+atrb+++=whole
life ^nn++++=life,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
full ^jj++++=full
of ^in++++=of
trouble ^nn++++=trouble!
! ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
summer ^nn++++=summer
he ^pp3a+pp3+++=he
fails ^vbz++++=fails
to ^to+vcmp+++=to
earn ^vbi++++=earn
his ^pp$+pp3+++=his
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
winter ^nn++++=winter
he ^pp3a+pp3+++=he
warms ^vbz++++=warms
himself ^ppl+pp3+++=himself
over ^in++++=over
the ^ati++++=the
fire ^nn++++=fire-pot.
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
dogs ^nns++++=dogs
follow ^vb+vprv+++=follow
him ^pp3o+pp3+++=him
wherever ^nn+nom+++=wherever
he ^pp3a+pp3+++=he
goes ^vbz++++=goes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
any ^dti++++=any
reviler ^jjr++++=reviler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
repel ^vb++++=repel
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
states ^nns++++=states
his ^pp$+pp3+++=his
case ^nn++++=case,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proves ^vbz+vprv+tht0++=proves
himself ^ppl+pp3+++=himself
wronged ^vbd+++xvbn+=wronged,
, ^zz++++=EXTRAWORD
the ^ati++++=the
judge ^nn++++=judge
will ^md+prd+++=will
not ^xnot++not++=not
admit ^vb+vpub+++=admit
his ^pp$+pp3+++=his
plea ^nn++++=plea.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
poor ^jj+atrb+++=poor
man ^nn++++=man's
's ^$++++=EXTRAWORD
life ^nn++++=life,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
fittest ^jjt+atrb+++=fittest
place ^nn++++=place
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
burial ^nn++++=burial-ground.
- ^zz++++=EXTRAWORD
ground ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Khaleefeh ^np+++??+=Khaleefeh,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
heard ^vbd+vprv+tht0+xvbnx+=heard
his ^pp$+pp3+++=his
recitation ^nn+nom+++=recitation,
, ^zz++++=EXTRAWORD
said ^vb+++xvbn+=said
to ^to+vcmp+++=to
Ja ^vb+++??+=Ja
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
Observe ^vb+vprv+++=Observe
this ^dt+dem+++=this
poor ^jj+atrb+++=poor
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consider ^nn+nom+++=consider
these ^dt+dem+++=these
verses ^nns++++=verses;
; ^zz++++=EXTRAWORD
for ^in++++=for
they ^pp3a+pp3+++=they
indicate ^nn+nom+++=indicate
his ^pp$+pp3+++=his
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
approaching ^vbg+++xvbg+=approaching
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
O ^zz++++=O
sheykh ^nn+++??+=sheykh,
