It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
of ^in++++=of
April ^nr++++=April,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Julius ^np++++=Julius
Barrett ^np+++??+=Barrett,
, ^zz++++=EXTRAWORD
aged ^jj++++=aged
fourteen ^cd++++=fourteen,
, ^zz++++=EXTRAWORD
perched ^j+++xvbn+=perched
on ^in++++=on
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
gatepost ^nn+++??+=gatepost,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
ruefully ^rb++++=ruefully
the ^ati++++=the
low ^nn++++=low
descending ^vwbg+++xvbg+=descending
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
counted ^vprf+++xvbn+=counted
that ^dt+dem+++=that
day ^nn++++=day
lost ^vbd+++xvbn+=lost.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
not ^xnot++not++=not
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
" ^zz++++="fooling"
fooling ^vbg+nom++xvbg+=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
single ^jj+atrb+++=single
person ^nn++++=person,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
tried ^vprf+++xvbnx+=tried
repeatedly ^rb++++=repeatedly.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
and ^cc++++=and
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
old ^jj++++=old
and ^cc+phrs+++=and
young ^jj++++=young,
, ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
intended ^vbn+vsua+tht0+xvbn+=intended
victims ^nns++++=victims
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
too ^ql++++=too
wary ^jj++++=wary
for ^in++++=for
Julius ^np++++=Julius.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
Julius ^np++++=Julius
was ^vbd+bedz+aux++=was
disgusted ^vpsv++agls+xvbnx+=disgusted
and ^cc++++=and
ready ^jj++++=ready
for ^in++++=for
anything ^pn++++=anything
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
