One ^cd1++++=One
time ^nn++++=time
a ^at++++=a
knook ^nn+++??+=knook
became ^vbd+++xvbn+=became
tired ^jj+++xvbn+=tired
of ^in++++=of
his ^pp$+pp3+++=his
beautiful ^jj+atrb+++=beautiful
life ^nn++++=life
and ^cc++++=and
longed ^vpsv++agls+xvbn+=longed
for ^in++++=for
something ^pn++++=something
new ^jj++++=new
to ^to++++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
The ^ati++++=The
knooks ^nns+++??+=knooks
have ^vb+hv+vrb++=have
more ^rbr++++=more
wonderful ^jj+atrb+++=wonderful
powers ^nns++++=powers
than ^in++++=than
any ^dti++++=any
other ^ap++++=other
immortal ^jj+atrb+++=immortal
folk ^nns++++=folk--except,
-- ^--+clp+++=EXTRAWORD
except ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fairies ^nns++++=fairies
and ^cc++++=and
ryls ^nns+++??+=ryls.
. ^zz++++=EXTRAWORD
So ^ql++++=So
one ^cd1++++=one
would ^md+prd+++=would
suppose ^vb+vprv+++=suppose
that ^tht+vcmp+++=that
a ^at++++=a
knook ^nn+++??+=knook
who ^whp+rel+subj++=who
might ^md+pos+++=might
gain ^vb++++=gain
anything ^pn++++=anything
he ^pp3a+pp3+++=he
desired ^vbd+vsua++xvbnx+=desired
by ^in++++=by
a ^at++++=a
simple ^jj+atrb+++=simple
wish ^nn++++=wish
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+vrb++=be
otherwise ^rb+cnj+++=otherwise
than ^in++++=than
happy ^jj++++=happy
and ^cc+phrs+++=and
contented ^jj++++=contented.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
such ^abl++++=such
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
case ^nn++++=case
with ^in++++=with
Popopo ^np+++??+=Popopo,
, ^zz++++=EXTRAWORD
the ^ati++++=the
knook ^nn+++??+=knook
