If ^cs+cnd+++=If
you ^pp2+pp2+++=you
love ^vb++++=love
a ^at++++=a
certain ^jj+atrb+++=certain
country ^nn++++=country,
, ^zz++++=EXTRAWORD
for ^in++++=for
its ^pp$+it+++=its
natural ^jj+atrb+++=natural
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
the ^ati++++=the
friends ^nns++++=friends
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
for ^in++++=for
the ^ati++++=the
happy ^jj+atrb+++=happy
days ^nns++++=days
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
within ^in++++=within
its ^pp$+it+++=its
borders ^nns+nom+++=borders,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
troubled ^vpsv++agls+xvbnx+=troubled
and ^cc++++=and
distressed ^jj+++xvbn+=distressed
when ^wrb+who+++=when
that ^dt+dem+++=that
country ^nn++++=country
comes ^vbz++++=comes
under ^in+ppvb+++=under
criticism ^nn+nom+++=criticism,
, ^zz++++=EXTRAWORD
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reproach ^nn++++=reproach.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
as ^ql++++=as
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
if ^cs+cnd+++=if
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
very ^ap+amp+++=very
kind ^nn++++=kind
to ^in++++=to
you ^pp2+pp2+++=you
and ^cc++++=and
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
you ^pp2+pp2+++=you
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
good ^jj++++=good
were ^vbd+bed+aux++=were
accused ^vpsv++agls+xvbnx+=accused
of ^in++++=of
some ^dti++++=some
unworthiness ^nns+nom+++=unworthiness.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
refuse ^vb++++=refuse
to ^to+vcmp+++=to
believe ^vbi+vprv+++=believe
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
would ^md+prd+++=would
insist ^vb+vpub+++=insist
on ^in++++=on
understanding ^xvbg+++xvbg+=understanding
before ^cs+sub+++=before
you ^pp2+pp2+++=you
pronounced ^vbd+++xvbn+=pronounced
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
Memories ^nns++++=Memories
would ^md+prd+++=would
ask ^vb++++=ask
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
heard ^vpsv++agls+xvbnx+=heard.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
French ^jj+atrb+++=French
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
Quebec ^np++++=Quebec,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
so ^ql++++=so
many ^ap++++=many
joyful ^jj+atrb+++=joyful
times ^nns++++=times,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
so ^ql++++=so
many ^ap++++=many
true ^jj+atrb+++=true
comrades ^nns++++=comrades
among ^in++++=among
the ^ati++++=the
_voyageurs_ ^nn+++??+=_voyageurs_,
, ^zz++++=EXTRAWORD
the ^ati++++=the
