When ^wrb+who+++=When
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Jonas ^np++++=Jonas
Medderbrook ^np+++??+=Medderbrook
to ^to++++=to
pay ^vbi++++=pay
him ^pp3o+pp3+++=him
the ^ati++++=the
money ^nn++++=money
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received
for ^in++++=for
solving ^xvbg+++xvbg+=solving
the ^ati++++=the
mystery ^nn+nom+++=mystery
of ^in++++=of
Henry ^np++++=Henry,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Educated ^jj+atrb++xvbn+=Educated
Pig ^nn++++=Pig,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
the ^ati++++=the
house ^npl++++=house
closed ^vbd+++xvbn+=closed,
, ^zz++++=EXTRAWORD
locked ^j+++xvbn+=locked
and ^cc+phrs+++=and
deserted ^jj+++xvbn+=deserted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
door ^nn++++=door
was ^vbd+bedz+aux++=was
pinned ^vpsv++agls+xvbnx+=pinned
a ^at++++=a
card ^nn++++=card
that ^tht+rel+subj++=that
said ^vprf+++xvbn+=said
simply ^rb+cnj+++=simply,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
neat ^jj+atrb+++=neat
handwriting: ^nn+++??+=handwriting:-Gone
- ^zz++++=EXTRAWORD
gone ^vprf+++xvbn+=EXTRAWORD
to ^in++++=to
Patagonia ^np+++??+=Patagonia.
. ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
in ^in++++=in
one ^cd1++++=one
hundred ^cd++++=hundred
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
wait ^vb++++=wait.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
signed ^vpsv++agls+xvbnx+=signed
" ^zz++++="Jonas
jonas ^nns+++??+=EXTRAWORD
Medderbrook ^np+++??+=Medderbrook,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
not ^xnot++not++=not
until ^cs+sub+++=until
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
did ^vbd+dod+vrb++=did
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
learn ^vb+vprv+++=learn
from ^in++++=from
the ^ati++++=the
" ^zz++++="Riverbank
riverbank ^nn+++??+=EXTRAWORD
Eagle ^nn++++=Eagle"
" ^zz++++=EXTRAWORD
that ^dt+dem+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
had ^vbd+hvd+aux++=had
decamped ^vprf+++xvbnx+=decamped
after ^in++++=after
selling ^xvbg+++xvbg+=selling
his ^pp$+pp3+++=his
friends ^nns++++=friends
and ^cc++++=and
neighbors ^nns++++=neighbors
an ^at++++=an
immense ^jj+atrb+++=immense
amount ^nn++++=amount
of ^in++++=of
stock ^nn++++=stock
in ^in++++=in
the ^ati++++=the
Utterly ^rb+amp+++=Utterly
Hopeless ^jj+atrb+++=Hopeless
Gold ^nn++++=Gold-Mine,
- ^zz++++=EXTRAWORD
mine ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
had ^vb+hv+vrb++=had
a ^at++++=a
very ^ql+amp+++=very
large ^jj++++=large
and ^cc++++=and
entirely ^rb+amp+++=entirely
worthless ^jj+atrb+++=worthless
quantity ^nn+nom+++=quantity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
departure ^nn++++=departure
of ^in++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
shock ^nn++++=shock
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
serious ^jj+atrb+++=serious
complications ^nns+nom+++=complications
in ^in++++=in
his ^pp$+pp3+++=his
wooing ^vbg+++xvbg+=wooing
of ^in++++=of
Syrilla ^np+++??+=Syrilla
might ^md+pos+++=might
result ^vb++++=result
from ^in++++=from
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
heard ^vprf+++xvbnx+=heard
from ^in++++=from
Syrilla ^np+++??+=Syrilla
through ^in++++=through
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
disturbed ^j+++xvbn+=disturbed
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
by ^in++++=by
this ^dt+dem+++=this
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
even ^rb++splt++=even
more ^rbr++++=more
upset ^vpsv++by+xvbn+=upset
by ^in++++=by
a ^at++++=a
telegram ^nn++++=telegram
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
direct ^jj++++=direct
that ^dt+dem+++=that
afternoon ^nn++++=afternoon.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
from ^in++++=from
Syrilla ^np+++??+=Syrilla
herself ^ppl+pp3+++=herself-Alas!
- ^zz++++=EXTRAWORD
alas ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
[ ^zz++++=[it
it ^pp3+it+++=EXTRAWORD
read ^vbd+vprv++xvbn+=read],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
worst ^jjt++++=worst
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened.
. ^zz++++=EXTRAWORD
Weighed ^j+++xvbn+=Weighed
myself ^ppl+pp1+++=myself
this ^dt+dem+++=this
morning ^nn++++=morning
and ^cc++++=and
weighed ^vbd+++xvbn+=weighed
only ^rb+down+++=only
one ^cd1++++=one
hundred ^cd++++=hundred
pounds ^nns++++=pounds.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later
discovered ^vbd+vprv+tht0+xvbn+=discovered
scales ^nns++++=scales
were ^vbd+bed+vrb++=were
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
five ^cd++++=five
pounds ^nns++++=pounds
out ^rp+pl+++=out
of ^in++++=of
balance ^nn+nom+++=balance,
, ^zz++++=EXTRAWORD
registering ^vbg+++xvbg+=registering
one ^cd1++++=one
hundred ^cd++++=hundred
and ^cc++++=and
five ^cd++++=five
pounds ^nns++++=pounds
too ^ql++++=too
much ^ap++++=much.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
marry ^vb++++=marry
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
or ^cc+phrs+++=or
ever ^rb+cnj+++=ever,
, ^zz++++=EXTRAWORD
Gubby ^np+++??+=Gubby
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
as ^ql++++=as
cannot ^md+pos+not++=cannot
permit ^vb++++=permit
your ^pp$+pp2+++=your
faithful ^jj+atrb+++=faithful
heart ^nn++++=heart
to ^to++++=to
wed ^vbi++++=wed
one ^cd1++++=one
who ^whp+rel+subj++=who
weighs ^vbz++++=weighs
five ^cd++++=five
pounds ^nns++++=pounds
less ^rbr++++=less
than ^in++++=than
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-bye
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
forever ^rb++++=forever.
. ^zz++++=EXTRAWORD
Syrilla ^np+++??+=SYRILLA.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blow ^nn++++=blow
was ^vbd+bedz+vrb++=was
a ^at++++=a
severe ^jj+atrb+++=severe
one ^pn++++=one
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
to ^to++++=to
any ^dti++++=any
lover ^nn++++=lover
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
a ^at++++=a
half ^abn++++=half-ton
- ^zz++++=EXTRAWORD
ton ^&fw++++=EXTRAWORD
of ^in++++=of
beauty ^nn++++=beauty
only ^rb+down+++=only
to ^in++++=to
have ^vbi+vbi+aux++=have
her ^pp3o+pp3+++=her
shrink ^vb++++=shrink
to ^to++++=to
five ^cd++++=five
pounds ^nns++++=pounds
less ^rbr++++=less
than ^in++++=than
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
days ^nns++++=days
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
locked ^vbd+++xvbn+=locked
in ^in++++=in
his ^pp$+pp3+++=his
office ^nn++++=office,
, ^zz++++=EXTRAWORD
hardly ^rb+down+++=hardly
touching ^jj+atrb++xvbg+=touching
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
sad ^jj+atrb+++=sad
heart ^nn++++=heart
he ^pp3a+pp3+++=he
resumed ^vbd+++xvbnx+=resumed
his ^pp$+pp3+++=his
customary ^jj+atrb+++=customary
occupations ^nns+nom+++=occupations.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned
the ^ati++++=the
truth ^nn++++=truth
about ^in++++=about
Syrilla ^np+++??+=Syrilla
had ^vb+hv+aux++=had
it ^pp3+it+++=it
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
a ^at++++=a
tramp ^nn++++=tramp
called ^vbd+++xvbn+=called
Chi ^np+++??+=Chi
Foxy ^np+++??+=Foxy.
. ^zz++++=EXTRAWORD
Chi ^np+++??+=Chi
Foxy ^np+++??+=Foxy
made ^vbd+++xvbn+=made
the ^ati++++=the
long ^rb++++=long
walk ^nn++++=walk
from ^in++++=from
Derlingport ^np+++??+=Derlingport,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
night ^nn++++=night
found ^vbd+vprv++xvbn+=found
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
outskirts ^nns++++=outskirts
of ^in++++=of
Riverbank ^np+++??+=Riverbank.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
begged ^vbd+++xvbnx+=begged
a ^at++++=a
hand ^nn++++=hand-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
from ^in++++=from
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
small ^jj+atrb+++=small
houses ^nns++++=houses
and ^cc++++=and
hunted ^vbd+++xvbn+=hunted
a ^at++++=a
place ^nn++++=place
to ^to++++=to
spend ^vbi++++=spend
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
underneath ^in+pl+++=underneath
a ^at++++=a
tool ^nn++++=tool-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
alongside ^rb++++=alongside
the ^ati++++=the
railway ^nn++++=railway
tracks ^nns++++=tracks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
sleeping ^jj+++xvbg+=sleeping-quarters
- ^zz++++=EXTRAWORD
quarters ^nns+nom+++=EXTRAWORD
by ^in++++=by
other ^ap++++=other
tramps ^nns+++??+=tramps
was ^vbd+bedz+aux++=was
shown ^vpsv++by+xvbnx+=shown
by ^in++++=by
the ^ati++++=the
heap ^nn++++=heap
of ^in++++=of
crushed ^jj+atrb++xvbn+=crushed
straw ^nn++++=straw,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bread ^nn++++=bread-crusts,
- ^zz++++=EXTRAWORD
crusts ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
remnants ^nns+nom+++=remnants
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Chi ^np+++??+=Chi
Foxy ^np+++??+=Foxy
crawled ^vprf+++xvbn+=crawled
in ^in++++=in
and ^cc++++=and
stretched ^vbd+++xvbn+=stretched
himself ^ppl+pp3+++=himself
out ^rb+phrv+++=out
for ^in+ppvb+++=for
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lighted ^vbd+++xvbnx+=lighted
