My ^pp$+pp1+++=My
work ^vb++++=work
pressed ^vbd+++xvbn+=pressed
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
louder ^jjr++++=louder
it ^pp3+it+++=it
challenged ^vbd+++xvbn+=challenged
me ^pp1o+pp1+++=me
such ^abl++++=such
is ^vbz+bez+vrb++=is
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
timid ^jj+atrb+++=timid
fighter ^nn++++=fighter
the ^ati++++=the
less ^rbr++++=less
stomach ^nn++++=stomach
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
for ^in+ppvb+++=for
the ^ati++++=the
contest ^nn++++=contest.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wrestled ^vbd+++xvbnx+=wrestled
with ^in++++=with
it ^pp3+it+++=it
in ^in++++=in
my ^pp$+pp1+++=my
study ^nn++++=study,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^to++++=to
be ^vbi+vbi+aux++=be
driven ^vpsv++agls+xvbnx+=driven
to ^to+vcmp+++=to
my ^pp$+pp1+++=my
books ^nns++++=books.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
to ^to++++=to
meet ^vbi++++=meet
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^to++++=to
seek ^vbi++++=seek
shelter ^nn++++=shelter
from ^in++++=from
it ^pp3+it+++=it
in ^in++++=in
music ^nn++++=music-hall
- ^zz++++=EXTRAWORD
hall ^npl++++=EXTRAWORD
or ^cc++++=or
theatre ^nn++++=theatre.
. ^zz++++=EXTRAWORD
Thereupon ^rb++++=Thereupon
it ^pp3+it+++=it
waxed ^vbd+++xvbn+=waxed
importunate ^nn+nom+++=importunate
and ^cc++++=and
over ^in++++=over-bearing,
- ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
it ^pp3+it+++=it
darkened ^vbd+++xvbn+=darkened
all ^abn++++=all
my ^pp$+pp1+++=my
doings ^nns++++=doings.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn+++xvbn+=thought
of ^in++++=of
it ^pp3+it+++=it
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
me ^pp1o+pp1+++=me
at ^in++++=at
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spoilt ^vbd+++xvbn+=spoilt
my ^pp$+pp1+++=my
appetite ^nn++++=appetite.
. ^zz++++=EXTRAWORD
The ^ati++++=The
memory ^nn++++=memory
of ^in++++=of
it ^pp3+it+++=it
followed ^vbd+vprv++xvbn+=followed
me ^pp1o+pp1+++=me
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vpsv++agls+xvbn+=stood
between ^in++++=between
me ^pp1o+pp1+++=me
and ^cc++++=and
my ^pp$+pp1+++=my
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
