Her ^pp$+pp3+++=Her
two ^cd++++=two
elder ^jjr+atrb+++=elder
sisters ^nns+nom+++=sisters
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married
with ^in++++=with
the ^ati++++=the
usual ^jj+atrb+++=usual
cost ^nn++++=cost
and ^cc++++=and
difficulty ^nn++++=difficulty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
daughter ^nn+nom+++=daughter
lay ^vbd+++xvbn+=lay
like ^in++++=like
a ^at++++=a
silent ^jj+atrb+++=silent
weight ^nn++++=weight
upon ^in++++=upon
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
her ^pp$+pp3+++=her
parents ^nns++++=parents.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
world ^nn++++=world
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
think ^vbi+vprv+tht0++=think
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
feel ^vb+vprv+++=feel;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
discussed ^vbd+++xvbn+=discussed
her ^pp$+pp3+++=her
future ^jjb++++=future
and ^cc++++=and
its ^pp$+it+++=its
own ^ap++++=own
anxiety ^nn++++=anxiety
freely ^rb++++=freely
in ^in++++=in
her ^pp$+pp3+++=her
presence ^nn+nom+++=presence.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
understood ^vprf+++xvbnx+=understood
from ^in++++=from
her ^pp$+pp3+++=her
earliest ^jjt+atrb+++=earliest
childhood ^nn+nom+++=childhood
that ^tht+rel+obj++=that
God ^np++++=God
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
her ^pp$+pp3+++=her
like ^in++++=like
a ^at++++=a
curse ^nn++++=curse
to ^in++++=to
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
house ^nn++++=house,
, ^zz++++=EXTRAWORD
so ^ql++++=so
she ^pp3a+pp3+++=she
withdrew ^vbd+++xvbnx+=withdrew
herself ^ppl+pp3+++=herself
from ^in++++=from
ordinary ^jj+atrb+++=ordinary
