At ^rb++++=At
times ^nns++++=times
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
by ^in++++=by
a ^at++++=a
phenomenon ^nn++++=phenomenon
of ^in++++=of
vision ^nn++++=vision
or ^cc++++=or
locomotion ^nn+nom+++=locomotion,
, ^zz++++=EXTRAWORD
abolish ^vb++++=abolish
space ^nn++++=space
in ^in++++=in
its ^pp$+it+++=its
two ^cd++++=two
forms ^nns++++=forms
of ^in++++=of
Time ^nn++++=Time
and ^cc++++=and
Distance ^nn+nom+++=Distance;
; ^zz++++=EXTRAWORD
the ^ati++++=the
former ^ap++++=former
being ^jj+atrb++xvbg+=being
intellectual ^jj+atrb+++=intellectual
space ^nn++++=space,
, ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
physical ^jj+atrb+++=physical
space ^nn++++=space.
. ^zz++++=EXTRAWORD
Intellectual ^jj+atrb+++=Intellectual
History ^nn++++=History
of ^in++++=of
Louis ^np++++=Louis
Lambert ^np++++=Lambert.
. ^zz++++=EXTRAWORD
On ^in++++=On
an ^at++++=an
evening ^nn++++=evening
in ^in++++=in
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
November ^nr+nom+++=November,
, ^zz++++=EXTRAWORD
1793 ^cd+date+++=1793,
, ^zz++++=EXTRAWORD
the ^ati++++=the
principal ^jjb+atrb+++=principal
persons ^nns++++=persons
of ^in++++=of
Carentan ^np+nom++??+=Carentan
were ^vbd+bed+aux++=were
assembled ^vpsv++agls+xvbnx+=assembled
in ^in++++=in
the ^ati++++=the
salon ^nn++++=salon
of ^in++++=of
Madame ^npt++++=Madame
de ^&fw++++=de
Dey ^np+++??+=Dey,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
met ^vbd+++xvbnx+=met
daily ^jj++++=daily.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
circumstances ^nns+nom+++=circumstances
which ^whp+rel+subj++=which
would ^md+prd+++=would
never ^rb++++=never
have ^vb+hv+aux++=have
attracted ^vprf+++xvbnx+=attracted
attention ^nn+nom+++=attention
in ^in++++=in
a ^at++++=a
large ^jj+atrb+++=large
town ^nn++++=town,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
greatly ^rb+amp+++=greatly
preoccupied ^jj++++=preoccupied
the ^ati++++=the
little ^jj+atrb+++=little
one ^pn++++=one,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
to ^in++++=to
this ^dt+dem+++=this
habitual ^jj+atrb+++=habitual
rendezvous ^nn++++=rendezvous
an ^at++++=an
unusual ^jj+atrb+++=unusual
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
two ^cd++++=two
preceding ^jj+atrb++xvbg+=preceding
evenings ^nns++++=evenings
Madame ^npt++++=Madame
de ^&fw++++=de
Dey ^np+++??+=Dey
had ^vbd+hvd+aux++=had
closed ^vprf+++xvbnx+=closed
her ^pp3o+pp3+++=her
doors ^nns++++=doors
to ^in++++=to
the ^ati++++=the
little ^jj+atrb+++=little
company ^nn++++=company,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
ill ^jj+pred+++=ill.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
event ^nn++++=event
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
in ^in++++=in
ordinary ^jj+atrb+++=ordinary
times ^nns++++=times,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
produced ^vprf+++xvbnx+=produced
as ^ql++++=as
much ^ap++++=much
effect ^nn++++=effect
as ^in++++=as
the ^ati++++=the
closing ^jj+++xvbg+=closing
of ^in++++=of
the ^ati++++=the
theatres ^nns++++=theatres
in ^in++++=in
Paris ^np++++=Paris;
; ^zz++++=EXTRAWORD
life ^nn++++=life
under ^in++++=under
those ^dt+dem+++=those
circumstances ^nns+nom+++=circumstances
seems ^vbz+seem+++=seems
merely ^rb+down+++=merely
incomplete ^jj++++=incomplete.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
1793 ^cd+date+++=1793,
, ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
de ^&fw++++=de
Dey ^np++++=Dey's
's ^$++++=EXTRAWORD
action ^nn++++=action
was ^vbd+bedz+vrb++=was
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi++vrb++=have
fatal ^jj+atrb+++=fatal
results ^nns++++=results.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slightest ^jjt+atrb+++=slightest
departure ^nn++++=departure
from ^in++++=from
a ^at++++=a
usual ^jj+atrb+++=usual
custom ^nn++++=custom
became ^vbd+++xvbn+=became,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
invariably ^rb++++=invariably
for ^in++++=for
the ^ati++++=the
nobles ^nns++++=nobles,
, ^zz++++=EXTRAWORD
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
life ^nn++++=life
or ^cc++++=or
death ^nn++++=death.
. ^zz++++=EXTRAWORD
To ^to++++=To
fully ^rb+amp+splt++=fully
understand ^vbi+vprv+++=understand
the ^ati++++=the
eager ^jj+atrb+++=eager
curiosity ^nn+nom+++=curiosity
and ^cc++++=and
searching ^jj+atrb++xvbg+=searching
inquiry ^nn++++=inquiry
which ^whp+rel+obj++=which
animated ^jj+++xvbn+=animated
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion
the ^ati++++=the
Norman ^jj+atrb+++=Norman
countenances ^nns+nom++??+=countenances
of ^in++++=of
all ^abn++++=all
these ^dt+dem+++=these
rejected ^jj+atrb++xvbn+=rejected
visitors ^nns++++=visitors,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
more ^rbr++++=more
especially ^rb++++=especially
to ^to++++=to
enter ^vbi++++=enter
into ^in+ppvb+++=into
Madame ^npt++++=Madame
de ^&fw++++=de
Dey ^np++++=Dey's
's ^$++++=EXTRAWORD
secret ^nn++++=secret
anxieties ^nns++++=anxieties,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
explain ^vbi+vpub+++=explain
the ^ati++++=the
role ^nn++++=role
she ^pp3a+pp3+++=she
played ^vbd+++xvbnx+=played
at ^in+ppvb+++=at
Carentan ^np+nom++??+=Carentan.
. ^zz++++=EXTRAWORD
The ^ati++++=The
critical ^jj+atrb+++=critical
position ^nn+nom+++=position
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
at ^rb++++=at
this ^dt+dem+++=this
moment ^nn++++=moment
being ^vwbg+beg++xvbg+=being
that ^dt+dem+++=that
of ^in++++=of
many ^ap++++=many
others ^aps++++=others
during ^in++++=during
the ^ati++++=the
Revolution ^nn+nom+++=Revolution
the ^ati++++=the
sympathies ^nns++++=sympathies
and ^cc++++=and
recollections ^nns+nom+++=recollections
of ^in++++=of
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
reader ^nn++++=reader
will ^md+prd+++=will
help ^vb++++=help
to ^to+vcmp+++=to
give ^vbi++++=give
color ^nn++++=color
to ^in++++=to
this ^dt+dem+++=this
narrative ^nn++++=narrative.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
de ^&fw++++=de
Dey ^np+++??+=Dey,
, ^zz++++=EXTRAWORD
widow ^nn++++=widow
of ^in++++=of
a ^at++++=a
lieutenant ^npt+nom+++=lieutenant-general,
- ^zz++++=EXTRAWORD
general ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
chevalier ^np+nom+++=chevalier
of ^in++++=of
the ^ati++++=the
Orders ^nns++++=Orders,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
the ^ati++++=the
court ^nn++++=court
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
the ^ati++++=the
emigration ^nn+nom+++=emigration.
. ^zz++++=EXTRAWORD
Possessing ^jj+++xvbg+=Possessing
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
of ^in++++=of
property ^nn++++=property
in ^in++++=in
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
of ^in++++=of
Carentan ^np+nom++??+=Carentan,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
refuge ^nn++++=refuge
in ^cs+sub+++=in
that ^cs"++++=that
town ^nn++++=town,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
that ^tht+vcmp+++=that
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
the ^ati++++=the
Terror ^nn++++=Terror
would ^md+prd+++=would
be ^vb+be+aux++=be
little ^ap++++=little
felt ^vprf+++xvbn+=felt
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
expectation ^nn+nom+++=expectation,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
a ^at++++=a
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
well ^rb++++=well-founded.
- ^zz++++=EXTRAWORD
founded ^xvbn+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Revolution ^nn+nom+++=Revolution
committed ^vbd+++xvbn+=committed
but ^cc++++=but
few ^ap++++=few
ravages ^nns+nom+++=ravages
in ^in++++=in
Lower ^jjr++++=Lower
Normandy ^np++++=Normandy.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
Madame ^npt++++=Madame
de ^&fw++++=de
Dey ^np+++??+=Dey
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
none ^pn++++=none
but ^cc++++=but
the ^ati++++=the
