Even ^rb++++=Even
when ^wrb+who+++=when
dealing ^vbg+nom++xvbg+=dealing
with ^in+ppvb+++=with
the ^ati++++=the
perilously ^rb++++=perilously
stereotyped ^jj+atrb+++=stereotyped
modern ^jj+atrb+++=modern
interplanetary ^nn+nom+++=interplanetary
story ^nn++++=story,
, ^zz++++=EXTRAWORD
the ^ati++++=the
devilish ^jj+atrb+++=devilish
pen ^nn++++=pen
of ^in++++=of
Ray ^np++++=Ray
Bradbury ^np++++=Bradbury
achieves ^vbz++++=achieves
that ^cs+sub+++=that
originality ^nn+nom+++=originality
of ^in++++=of
concept ^nn++++=concept,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
special ^jj+atrb+++=special
spark ^nn++++=spark
of ^in++++=of
subtle ^jj+atrb+++=subtle
pin ^nn++++=pin-pricking
- ^zz++++=EXTRAWORD
pricking ^jj+++xvbg+=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
provides ^vbz+vsua+++=provides
a ^at++++=a
near ^in+pl+++=near-to-believable
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
believable ^jj+atrb+++=EXTRAWORD
stage ^nn++++=stage
wherein ^wrb+who+++=wherein
one ^cd1++++=one
lone ^jjb+atrb+++=lone
man ^nn++++=man
can ^md+pos+++=can
have ^vb+hv+vrb++=have
an ^at++++=an
entire ^jjb+atrb+++=entire
world ^nn++++=world
to ^in++++=to
himself ^ppl+pp3+++=himself
to ^in++++=to
himself ^ppl+pp3+++=himself
and ^cc++++=and
few ^ap++++=few
disquieting ^jj+++xvbg+=disquieting
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=YOU
Do ^vb+do+aux++=DON'T
n't ^xnot++not++0=EXTRAWORD
Want ^vb++++=WANT
death ^nn++++=death
and ^cc++++=and
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
expect ^vb+vprv+++=expect
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
goes ^vbz++++=goes
wrong ^jj++++=wrong,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
rocket ^nn++++=rocket
