Out ^rp+pl+++=Out
of ^in++++=of
the ^ati++++=the
bathtub ^nn+++??+=bathtub,
, ^zz++++=EXTRAWORD
rubicund ^nn+++??+=rubicund
and ^cc++++=and
rotund ^jj+atrb+++=rotund,
, ^zz++++=EXTRAWORD
stepped ^j+++xvbn+=stepped
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Ambrose ^np++++=Ambrose
Pottle ^np+++??+=Pottle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
anointed ^vbd+++xvbnx+=anointed
his ^pp$+pp3+++=his
hair ^nn++++=hair
with ^in++++=with
sweet ^jj+atrb+++=sweet
spirits ^nns++++=spirits
of ^in++++=of
lilac ^nn++++=lilac
and ^cc++++=and
dusted ^vbd+++xvbn+=dusted
his ^pp$+pp3+++=his
anatomy ^nn++++=anatomy
with ^in++++=with
crushed ^jj+atrb++xvbn+=crushed
rosebud ^nn++++=rosebud
talcum ^nn+++??+=talcum.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
donned ^vwbn+++xvbn+=donned
a ^at++++=a
virgin ^jjb+atrb+++=virgin
union ^nn++++=union
suit ^nn++++=suit;
; ^zz++++=EXTRAWORD
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
socks ^nns++++=socks,
, ^zz++++=EXTRAWORD
silk ^nn++++=silk
where ^wrb+who+++=where
it ^pp3+it+++=it
showed ^vbd+vprv++xvbn+=showed;
; ^zz++++=EXTRAWORD
ultra ^rb++++=ultra
low ^jj+atrb+++=low
shoes ^nns++++=shoes;
; ^zz++++=EXTRAWORD
white ^jj++++=white-flannel
- ^zz++++=EXTRAWORD
flannel ^nn++++=EXTRAWORD
trousers ^nns+nom+++=trousers,
, ^zz++++=EXTRAWORD
warm ^jj++++=warm
from ^in++++=from
the ^ati++++=the
tailor ^nn++++=tailor's
's ^$++++=EXTRAWORD
goose ^nn++++=goose;
; ^zz++++=EXTRAWORD
a ^at++++=a
creamy ^jj+atrb+++=creamy
silk ^nn++++=silk
shirt ^nn++++=shirt;
; ^zz++++=EXTRAWORD
an ^at++++=an
impeccable ^jj+atrb+++=impeccable
blue ^nn++++=blue
coat ^nn++++=coat;
; ^zz++++=EXTRAWORD
a ^at++++=a
gala ^np++++=gala
tie ^nn++++=tie,
, ^zz++++=EXTRAWORD
perfect ^jj++++=perfect
after ^in++++=after
five ^cd++++=five
tyings ^nns+++??+=tyings;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
forth ^rp++++=forth
into ^in++++=into
the ^ati++++=the
spring ^nn++++=spring-scented
- ^zz++++=EXTRAWORD
scented ^jj+atrb++xvbn+=EXTRAWORD
eventide ^nn+++??+=eventide
to ^to++++=to
pay ^vbi++++=pay
a ^at++++=a
call ^nn++++=call
on ^in++++=on
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Blossom ^np++++=Blossom
Gallup ^np+++??+=Gallup.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
approached ^vbd+++xvbnx+=approached
her ^pp$+pp3+++=her
new ^jj++++=new-art
- ^zz++++=EXTRAWORD
art ^nn++++=EXTRAWORD
bungalow ^nn++++=bungalow
as ^ql++++=as
one ^cd1++++=one
might ^md+pos+++=might
a ^at++++=a
shrine ^nn++++=shrine,
, ^zz++++=EXTRAWORD
with ^in++++=with
diffident ^jj+atrb+++=diffident
steps ^nns++++=steps
and ^cc++++=and
hesitant ^jj+atrb+++=hesitant
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
delicious ^jj+atrb+++=delicious
tinglings ^nns+nom+++=tinglings
radiating ^vwbg+++xvbg+=radiating
from ^in++++=from
his ^pp$+pp3+++=his
spinal ^jj+atrb+++=spinal
cord ^nn++++=cord.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
the ^ati++++=the
ballast ^nn++++=ballast
of ^in++++=of
a ^at++++=a
three ^cd++++=three-pound
- ^zz++++=EXTRAWORD
pound ^nn++++=EXTRAWORD
box ^nn++++=box
of ^in++++=of
Choc ^np+++??+=Choc-O-late
- ^zz++++=EXTRAWORD
o ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
late ^jj+atrb+++=EXTRAWORD
Nutties ^np+++??+=Nutties
under ^in++++=under
his ^pp$+pp3+++=his
arm ^vb++++=arm
kept ^vbd+++xvbn+=kept
him ^pp3o+pp3+++=him
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
in ^in++++=in
love ^nn++++=love
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
at ^in++++=at
twenty ^cd++++=twenty
is ^vbz+bez+vrb++=is
passably ^jj++++=passably
thrilling ^jj++++=thrilling;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
love ^nn++++=love
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
at ^in++++=at
thirty ^cd++++=thirty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
is ^vbz+bez+vrb++=is
exquisitely ^rb++++=exquisitely
excruciating ^jj+pred+++=excruciating.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Pottle ^np++++=Pottle
found ^vbd+vprv++xvbn+=found
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gallup ^np++++=Gallup
in ^in++++=in
her ^pp$+pp3+++=her
living ^jj+atrb++xvbg+=living
room ^nn++++=room,
, ^zz++++=EXTRAWORD
a ^at++++=a
basket ^nn++++=basket
of ^in++++=of
undarned ^jj+atrb++xvbn+=undarned
stockings ^nns++++=stockings
on ^rp++++=on
her ^pp3o+pp3+++=her
lap ^nn++++=lap.
. ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
pretty ^rb++++=pretty
show ^vb+vprv+++=show
of ^in++++=of
confusion ^nn++++=confusion
and ^cc++++=and
many ^ap++++=many
embarrassed ^jj+atrb++xvbn+=embarrassed
murmurings ^nns+++??+=murmurings
she ^pp3a+pp3+++=she
thrust ^vbd+++xvbnx+=thrust
them ^pp3o+pp3+++=them
behind ^in+pl+++=behind
the ^ati++++=the
piano ^nn++++=piano,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
protesting ^vbg+++xvbg+=protesting
that ^tht+vcmp+++=that
this ^dt+dem+++=this
intimate ^jj+atrb+++=intimate
domesticity ^nn+nom+++=domesticity
delighted ^vbd+++xvbn+=delighted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sank ^vbd+++xvbnx+=sank
back ^jjb++++=back
