Winifred ^np++++=Winifred
Walker ^np++++=Walker
understood ^vwbn+vprv++xvbn+=understood
some ^dti++++=some
things ^nns++++=things
clearly ^rb++++=clearly
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
understood ^vbd+vprv++xvbnx+=understood
that ^tht+vcmp+++=that
when ^wrb+who+++=when
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+aux++=is
put ^vpsv++agls+xvbnx+=put
behind ^in+pl+++=behind
iron ^nn++++=iron
bars ^nns++++=bars
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
in ^in++++=in
prison ^nn++++=prison.
. ^zz++++=EXTRAWORD
Marriage ^nn+nom+++=Marriage
was ^vbd+bedz+vrb++=was
marriage ^nn+nom+++=marriage
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
to ^in++++=to
her ^pp$+pp3+++=her
husband ^nn++++=husband
Hugh ^np++++=Hugh
Walker ^np++++=Walker,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
better ^jjr++++=better
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
might ^md+pos+++=might
at ^rb++++=at
least ^rb"++++=least
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=didn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage
five ^cd++++=five
or ^cc++++=or
six ^cd++++=six
years ^nns++++=years
passed ^vbd+++xvbn+=passed
like ^in++++=like
shadows ^nps++++=shadows
of ^in++++=of
wind ^nn++++=wind
blown ^vbd+++xvbn+=blown
trees ^nns++++=trees
playing ^vwbg+++xvbg+=playing
on ^in++++=on
a ^at++++=a
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
in ^in++++=in
a ^at++++=a
drugged ^jj+atrb++xvbn+=drugged,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
state ^nn++++=state.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
evening ^nn++++=evening
every ^at++++=every
day ^nn++++=day
he ^pp3a+pp3+++=he
saw ^vbd+vprv+tht0+xvbnx+=saw
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
Occasionally ^rb++++=Occasionally
something ^pn++++=something
happened ^vbd+++xvbn+=happened
within ^in++++=within
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
children ^nns++++=children
were ^vbd+bed+aux++=were
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
taught ^vbd+vsua++xvbnx+=taught
mathematics ^nn++++=mathematics
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
college ^npl++++=college
at ^rb++++=at
Union ^nn++++=Union
Valley ^nn++++=Valley,
, ^zz++++=EXTRAWORD
Illinois ^np+++??+=Illinois,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
For ^in++++=For
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
began ^vbd+++xvbnx+=began
to ^to++++=to
ask ^vbi++++=ask
himself ^ppl+pp3+++=himself
that ^cs+sub+++=that
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
at ^rb++++=at
first ^rb"++++=first
faintly ^rb++++=faintly
like ^in++++=like
an ^at++++=an
echo ^nn++++=echo.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
an ^at++++=an
insistent ^jj+atrb+++=insistent
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
want ^vb++++=want
answering ^vbg+++xvbg+=answering,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
question ^nn+nom+++=question
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Stop
stop ^vb++++=EXTRAWORD
fooling ^vbg+nom++xvbg+=fooling
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
Give ^vb++++=Give
your ^pp$+pp2+++=your
attention ^nn+nom+++=attention
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hugh ^np++++=Hugh
walked ^vbd+++xvbn+=walked
through ^in++++=through
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
the ^ati++++=the
Illinois ^np+++??+=Illinois
town ^nn++++=town.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
married ^vpsv++agls+xvbnx+=married.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
children ^nns++++=children,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
muttered ^vbd+++xvbnx+=muttered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
home ^nr++++=home
to ^in++++=to
his ^pp$+pp3+++=his
own ^ap++++=own
house ^nn++++=house.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
have ^md"++pmd"++=have
to ^md+nec+++=to
live ^vb++++=live
within ^in++++=within
his ^pp$+pp3+++=his
income ^nn++++=income
from ^in++++=from
the ^ati++++=the
little ^ap++++=little
college ^npl++++=college,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
house ^nn++++=house
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
large ^jj+pred+++=large
and ^cc++++=and
comfortably ^rb++++=comfortably
furnished ^jj+++xvbn+=furnished.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
negro ^nn++++=negro
