San ^np++++=San
Francisco ^np++++=Francisco
Bay ^nn++++=Bay
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
large ^jj++++=large
that ^cs+sub+++=that
often ^rb++++=often
its ^pp$+it+++=its
storms ^nns++++=storms
are ^vb+ber+vrb++=are
more ^rbr++++=more
disastrous ^jj+pred+++=disastrous
to ^in++++=to
ocean ^nn++++=ocean-going
- ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=EXTRAWORD
craft ^nn++++=craft
than ^in++++=than
is ^vbz+bez+vrb++=is
the ^ati++++=the
ocean ^npl++++=ocean
itself ^ppl++++=itself
in ^in++++=in
its ^pp$+it+++=its
violent ^jj+atrb+++=violent
moments ^nns+nom+++=moments.
. ^zz++++=EXTRAWORD
The ^ati++++=The
waters ^nns++++=waters
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay
contain ^vb++++=contain
all ^abn++++=all
manner ^nn++++=manner
of ^in++++=of
fish ^nn++++=fish,
, ^zz++++=EXTRAWORD
wherefore ^nn+++??+=wherefore
its ^pp$+it+++=its
surface ^nn++++=surface
is ^vbz+bez+aux++=is
ploughed ^vpsv++by+xvbnx+=ploughed
by ^in++++=by
the ^ati++++=the
keels ^nns+++??+=keels
of ^in++++=of
all ^abn++++=all
manner ^nn++++=manner
of ^in++++=of
fishing ^xvbg+++xvbg+=fishing
boats ^nns++++=boats
manned ^vwbn+++xvbn+=manned
by ^in++++=by
all ^abn++++=all
manner ^nn++++=manner
of ^in++++=of
fishermen ^nns++++=fishermen.
. ^zz++++=EXTRAWORD
To ^to++++=To
protect ^vbi++++=protect
the ^ati++++=the
fish ^nn++++=fish
from ^in++++=from
this ^dt+dem+++=this
motley ^nn++++=motley
floating ^vwbg+++xvbg+=floating
population ^nn+nom+++=population
many ^ap++++=many
wise ^jj+atrb+++=wise
laws ^nns++++=laws
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
passed ^vpsv++agls+xvbnx+=passed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
fish ^nns++++=fish
patrol ^nn++++=patrol
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
these ^dt+dem+++=these
laws ^nns++++=laws
are ^vb+ber+aux++=are
enforced ^vpsv++agls+xvbnx+=enforced.
. ^zz++++=EXTRAWORD
Exciting ^jj+atrb+++=Exciting
times ^nns++++=times
are ^vb+ber+vrb++=are
the ^ati++++=the
lot ^nn++++=lot
of ^in++++=of
the ^ati++++=the
fish ^nns++++=fish
patrol ^nn++++=patrol:
: ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
history ^nn++++=history
more ^rbr++++=more
than ^in++++=than
