Go ^vb++++=Go,
, ^zz++++=EXTRAWORD
stalk ^vb++++=stalk
the ^ati++++=the
red ^jj+atrb+++=red
deer ^nns++++=deer
o ^zz++++=o'er
'er ^jjr++++0=EXTRAWORD
the ^ati++++=the
heather ^nn++++=heather
Ride ^vb++++=Ride,
, ^zz++++=EXTRAWORD
follow ^vb+vprv+++=follow
the ^ati++++=the
fox ^nn++++=fox
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can!but ^nn+++??+=can!But,
, ^zz++++=EXTRAWORD
for ^in++++=for
pleasure ^nn++++=pleasure
and ^cc++++=and
profit ^nn++++=profit
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
Allow ^vb++++=Allow
me ^pp1o+pp1+++=me
the ^ati++++=the
hunting ^jj+++xvbg+=hunting
of ^in++++=of
Man, ^np+++??+=Man,--The
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
chase ^nn++++=chase
of ^in++++=of
the ^ati++++=the
Human ^jj++++=Human,
, ^zz++++=EXTRAWORD
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
the ^ati++++=the
Soul ^nn++++=Soul
To ^in++++=To
its ^pp$+it+++=its
ruin, ^nn+++??+=ruin,--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
hunting ^jj+++xvbg+=hunting
of ^in++++=of
Man ^nn++++=Man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Old ^jj+atrb+++=Old
Shikarri ^np+++??+=Shikarri.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
the ^ati++++=the
difference ^nn+nom+++=difference
began ^vbd+++xvbn+=began
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
a ^at++++=a
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
twist ^nn++++=twist
in ^in++++=in
his ^pp$+pp3+++=his
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
Pinecoffin ^np+++??+=Pinecoffin
sold ^vwbn+++xvbn+=sold
to ^in++++=to
Nafferton ^np+++??+=Nafferton
and ^cc++++=and
by ^in++++=by
whom ^whp+rel+pied++=whom
Nafferton ^np+++??+=Nafferton
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
slain ^nn+++??+=slain.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
may ^md+pos+++=may
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
other ^ap++++=other
causes ^nns++++=causes
of ^in++++=of
offence ^nn+nom+++=offence;
; ^zz++++=EXTRAWORD
the ^ati++++=the
horse ^nn++++=horse
was ^vbd+bedz+vrb++=was
the ^ati++++=the
official ^jj++++=official
stalking ^jj+++xvbg+=stalking-horse.
- ^zz++++=EXTRAWORD
horse ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
angry ^jj++++=angry;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Pinecoffin ^np+++??+=Pinecoffin
laughed ^vbd+++xvbn+=laughed
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
guaranteed ^vprf+++xvbnx+=guaranteed
the ^ati++++=the
beast ^nn++++=beast's
's ^$++++=EXTRAWORD
manners ^nns+nom+++=manners.
. ^zz++++=EXTRAWORD
Nafferton ^np+++??+=Nafferton
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
vowed ^vbd+++xvbnx+=vowed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
write ^vb++++=write
off ^in+pl+++=off
his ^pp$+pp3+++=his
fall ^nn++++=fall
against ^in++++=against
Pinecoffin ^np+++??+=Pinecoffin
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
waited ^vbd+++xvbnx+=waited
five ^cd++++=five
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
a ^at++++=a
Dalesman ^np+nom++??+=Dalesman
from ^in++++=from
beyond ^in++++=beyond
Skipton ^np+++??+=Skipton
will ^md+prd+++=will
forgive ^vb++++=forgive
an ^at++++=an
injury ^nn++++=injury
when ^wrb+who+++=when
the ^ati++++=the
Strid ^np+++??+=Strid
lets ^vbz++++=lets
a ^at++++=a
man ^nn++++=man
live ^vb++++=live;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
South ^np+pl+++=South
Devon ^np++++=Devon
man ^nn++++=man
is ^vbz+bez+vrb++=is
as ^ql++++=as
soft ^jj++++=soft
as ^in++++=as
a ^at++++=a
Dartmoor ^np+++??+=Dartmoor
bog ^nn++++=bog.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
see ^vb+vprv+++=see
from ^in++++=from
their ^pp$+pp3+++=their
names ^nns++++=names
that ^tht+rel+obj++=that
Nafferton ^np+++??+=Nafferton
had ^vb+hv+vrb++=had
the ^ati++++=the
race ^nn++++=race-advantage
- ^zz++++=EXTRAWORD
