It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
told ^vpsv++agls+xvbnx+=told
me ^pp1o+pp1+++=me
by ^in++++=by
those ^dt+dem+++=those
in ^in++++=in
a ^at++++=a
position ^nn+nom+++=position
to ^to++++=to
know ^vbi+vprv+++=know
and ^cc++++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
that ^dt+dem+++=that
at ^rb++++=at
nineteen ^cd++++=nineteen
months ^nns++++=months
of ^in++++=of
age ^nn++++=age
he ^pp3a+pp3+++=he
wept ^vbd+++xvbnx+=wept
because ^cs+cos+++=because
his ^pp$+pp3+++=his
grandmother ^nn+nom+++=grandmother
would ^md+prd+++=would
not ^xnot++not++=not
allow ^vb++++=allow
him ^pp3o+pp3+++=him
to ^to++++=to
feed ^vbi++++=feed
her ^pp$+pp3+++=her
with ^in++++=with
a ^at++++=a
spoon ^nn++++=spoon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
at ^rb++++=at
three ^cd++++=three
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
fished ^vpsv++agls+xvbnx+=fished,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
exhausted ^jj+atrb++xvbn+=exhausted
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
water ^nn++++=water-butt,
- ^zz++++=EXTRAWORD
butt ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whither ^jjr++++=whither
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
teaching ^xvbg+++xvbg+=teaching
a ^at++++=a
frog ^nn+++??+=frog
to ^to++++=to
swim ^vbi++++=swim.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
years ^nns++++=years
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
permanently ^rb++++=permanently
injured ^vbd+++xvbn+=injured
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
showing ^vbg+vprv++xvbg+=showing
the ^ati++++=the
cat ^nn++++=cat
how ^wrb+who+++=how
to ^to++++=to
carry ^vbi++++=carry
kittens ^nns+++??+=kittens
without ^in++++=without
hurting ^xvbg+++xvbg+=hurting
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
about ^in++++=about
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period
was ^vbd+bedz+aux++=was
dangerously ^rb++splt++=dangerously
stung ^vpsv++by+xvbnx+=stung
by ^in++++=by
a ^at++++=a
bee ^nn++++=bee
while ^cs+sub+++=while
conveying ^vbg+++xvbg+=conveying
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
flower ^nn++++=flower
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
wasting ^vbg+++xvbgx+=wasting
its ^pp$+it+++=its
time ^nn++++=time,
, ^zz++++=EXTRAWORD
to ^to++++=to
one ^cd1++++=one
more ^rbr++++=more
rich ^jj++++=rich
in ^in++++=in
honey ^nn++++=honey-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
desire ^nn++++=desire
was ^vbd+bedz+vrb++=was
always ^rb++++=always
to ^to++++=to
help ^vbi++++=help
others ^aps++++=others.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
spend ^vb++++=spend
whole ^jj+atrb+++=whole
mornings ^nns++++=mornings
explaining ^vwbg+vpub++xvbg+=explaining
to ^in++++=to
elderly ^jj+atrb+++=elderly
hens ^nns++++=hens
how ^wrb+who+++=how
to ^to++++=to
hatch ^vbi++++=hatch
eggs ^nns++++=eggs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
give ^vb++++=give
up ^rb+phrv+++=up
an ^at++++=an
afternoon ^nn++++=afternoon's
's ^vbz+bez+vrb++0=EXTRAWORD
black ^jj++++=black-berrying
- ^zz++++=EXTRAWORD
berrying ^jj+++xvbg+=EXTRAWORD
to ^to++++=to
sit ^vbi++++=sit
at ^rb++++=at
home ^nr++++=home
and ^cc++++=and
crack ^jjb+atrb+++=crack
nuts ^nns++++=nuts
for ^in++++=for
his ^pp$+pp3+++=his
pet ^nn++++=pet
squirrel ^nn++++=squirrel.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
seven ^cd++++=seven
he ^pp3a+pp3+++=he
would ^md+prd+++=would
argue ^vb+vpub+++=argue
with ^in++++=with
his ^pp$+pp3+++=his
mother ^nn++++=mother
upon ^in++++=upon
the ^ati++++=the
management ^nn+nom+++=management
of ^in++++=of
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reprove ^nn+++??+=reprove
his ^pp$+pp3+++=his
father ^nn++++=father
for ^in++++=for
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
bringing ^vbg+++xvbgx+=bringing
him ^pp3o+pp3+++=him
up ^rp++++=up.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
child ^nn++++=child
nothing ^pn++++=nothing
could ^md+pos+++=could
afford ^vb++++=afford
him ^pp3o+pp3+++=him
greater ^jjr+atrb+++=greater
delight ^nn++++=delight
than ^in++++=than
" ^zz++++="minding"
minding ^vbg+++xvbg+=EXTRAWORD
" ^zz++++=EXTRAWORD
other ^ap++++=other
children ^nns++++=children,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
them ^pp3o+pp3+++=them
less ^rbr++++=less.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
take ^vb++++=take
upon ^in++++=upon
himself ^ppl+pp3+++=himself
this ^dt+dem+++=this
harassing ^jj+atrb++xvbg+=harassing
duty ^nn++++=duty
entirely ^rb+amp+++=entirely
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
accord ^nn++++=accord,
, ^zz++++=EXTRAWORD
without ^in++++=without
hope ^nn++++=hope
of ^in++++=of
reward ^nn++++=reward
or ^cc++++=or
gratitude ^nn++++=gratitude.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
immaterial ^jj+pred+++=immaterial
to ^in++++=to
him ^pp3o+pp3+++=him
whether ^cs+who+++=whether
the ^ati++++=the
other ^ap++++=other
children ^nns++++=children
