At ^rb++++=At
five ^cd++++=five
o'clock ^rb++++=o'clock
Ed ^np++++=Ed
Loyce ^np+++??+=Loyce
washed ^vwbn+++xvbn+=washed
up ^rp++++=up,
, ^zz++++=EXTRAWORD
tossed ^j+++xvbn+=tossed
on ^in++++=on
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
got ^j+++xvbn+=got
his ^pp$+pp3+++=his
car ^nn++++=car
out ^rp+pl+++=out
and ^cc++++=and
headed ^vpsv++agls+xvbn+=headed
across ^in+pl+++=across
town ^nn++++=town
toward ^in++++=toward
his ^pp$+pp3+++=his
Tv ^nn++++=TV
sales ^nns++++=sales
store ^nn++++=store.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
tired ^vpsv++agls+xvbnx+=tired.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
back ^jjb++++=back
and ^cc++++=and
shoulders ^nns+nom+++=shoulders
ached ^vbd+++xvbn+=ached
from ^in++++=from
digging ^xvbg+++xvbg+=digging
dirt ^nn++++=dirt
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
basement ^nn+nom+++=basement
and ^cc++++=and
wheeling ^vbg+nom++xvbg+=wheeling
it ^pp3+it+++=it
into ^in++++=into
the ^ati++++=the
back ^jjb+atrb+++=back
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
But ^in++++=But
for ^in"++++=for
a ^at++++=a
forty ^cd++++=forty-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
okay ^rb+dspt+++=okay.
. ^zz++++=EXTRAWORD
Janet ^np++++=Janet
could ^md+pos+++=could
get ^vb++++=get
a ^at++++=a
new ^jj+atrb+++=new
vase ^nn++++=vase
with ^in++++=with
the ^ati++++=the
money ^nn++++=money
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
saved ^vprf+++xvbnx+=saved;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
