Now ^rn+tm+++=Now
talk ^vb++++=talk
we ^pp1a+pp1+++=we
of ^in++++=of
graves ^np++++=graves
and ^cc++++=and
goblins ^nns+++??+=goblins!
! ^zz++++=EXTRAWORD
Fit ^nn++++=Fit
themes ^nns++++=themes,
, ^zz++++=EXTRAWORD
start ^vb++++=start
not ^xnot++not++=not!
! ^zz++++=EXTRAWORD
gentle ^jj+atrb+++=gentle
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
fit ^nn++++=fit
for ^in++++=for
a ^at++++=a
ghost ^nn++++=ghost
like ^in++++=like
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
an ^at++++=an
earth ^nn++++=earth-clogged
- ^zz++++=EXTRAWORD
clogged ^vbd+++xvbn+=EXTRAWORD
fancy ^nn++++=fancy
is ^vbz+bez+aux++=is
laboring ^vbg+++xvbgx+=laboring
with ^in++++=with
these ^dt+dem+++=these
conceptions ^nns+nom+++=conceptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
earthly ^jj+atrb+++=earthly
hand ^nn++++=hand
will ^md+prd+++=will
write ^vb++++=write
them ^pp3o+pp3+++=them
down ^rp++++=down,
, ^zz++++=EXTRAWORD
for ^in++++=for
mortal ^jj+atrb+++=mortal
eyes ^nns++++=eyes
to ^to++++=to
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
still ^rb++++=still
their ^pp$+pp3+++=their
essence ^nn+nom+++=essence
flows ^nns++++=flows
from ^in++++=from
as ^in++++=as
airy ^jj++++=airy
a ^at++++=a
ghost ^nn++++=ghost
as ^cs+sub+++=as
ever ^rb++++=ever
basked ^jj+++xvbn+=basked
in ^in++++=in
the ^ati++++=the
pale ^nn++++=pale
starlight ^nn+++??+=starlight,
, ^zz++++=EXTRAWORD
at ^rb++++=at
twelve ^cd++++=twelve
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
Judge ^nn++++=Judge
them ^pp3o+pp3+++=them
not ^xnot++not++=not
by ^in++++=by
the ^ati++++=the
gross ^jj+atrb+++=gross
and ^cc+phrs+++=and
heavy ^jj+atrb+++=heavy
form ^nn++++=form
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
now ^rn+tm+++=now
appear ^vb+seem+++=appear.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
may ^md+pos+++=may
be ^vb+be+vrb++=be
gross ^jj+pred+++=gross,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
earthly ^jj+atrb+++=earthly
pollution ^nn+nom+++=pollution
contracted ^vbd+++xvbn+=contracted
from ^in++++=from
the ^ati++++=the
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
through ^in++++=through
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
pass ^vb++++=pass;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heavy ^jj++++=heavy
with ^in++++=with
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
mortal ^jj+atrb+++=mortal
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
crushes ^nns+++??+=crushes
all ^abn++++=all
the ^ati++++=the
finer ^jjr+atrb+++=finer
intelligences ^nns+nom+++=intelligences
of ^in++++=of
the ^ati++++=the
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
no ^at++++=no
fault ^nn++++=fault
of ^in++++=of
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
should ^md+nec+++=should
aught ^vbd+++xvbn+=aught
of ^in++++=of
ethereal ^jj+atrb+++=ethereal
spirit ^nn++++=spirit
be ^vb+be+vrb++=be
perceptible ^jj+pred+++=perceptible,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
scarcely ^rb+down+++=scarcely
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
glimmering ^vbg+++xvbg+=glimmering
along ^in++++=along
the ^ati++++=the
dull ^jj+atrb+++=dull
train ^nn++++=train
of ^in++++=of
words ^nns++++=words,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
a ^at++++=a
faint ^jj+atrb+++=faint
perfume ^nn++++=perfume
breathe ^vb++++=breathe
from ^in++++=from
the ^ati++++=the
mass ^nn++++=mass
of ^in++++=of
clay ^nn++++=clay,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
gentle ^jj+atrb+++=gentle
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
the ^ati++++=the
ghost ^nn++++=ghost,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
thus ^rb+cnj+++=thus
embodies ^vbz+++??+=embodies
himself ^ppl+pp3+++=himself
for ^in++++=for
your ^pp$+pp2+++=your
sake ^nn++++=sake!
! ^zz++++=EXTRAWORD
Will ^md+prd+++=Will
you ^pp2+pp2+++=you
believe ^vb+vprv+++=believe
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
all ^abn++++=all
true ^jj+atrb+++=true
and ^cc+phrs+++=and
noble ^jj+atrb+++=noble
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elevated ^jj+atrb++xvbn+=elevated
imaginations ^nns+nom+++=imaginations,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
but ^cc++++=but
partly ^rb+down+++=partly
the ^ati++++=the
offspring ^nn++++=offspring
of ^in++++=of
the ^ati++++=the
intellect ^nn++++=intellect
which ^whp+rel+subj++=which
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
produce ^vbi++++=produce
them ^pp3o+pp3+++=them?
? ^zz++++=EXTRAWORD
Sprites ^np+++??+=Sprites,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
were ^vbd+bed+vrb++=were
poets ^nns++++=poets
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
now ^rn+tm+++=now
all ^rb++++=all
poetry ^nn++++=poetry,
, ^zz++++=EXTRAWORD
hover ^jjr++++=hover
round ^in++++=round
the ^ati++++=the
dreaming ^jj+atrb++xvbg+=dreaming
bard ^nn++++=bard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
become ^vb++++=become
his ^pp$+pp3+++=his
inspiration ^nn+nom+++=inspiration;
; ^zz++++=EXTRAWORD
buried ^xvbn+++xvbn+=buried
statesmen ^nns++++=statesmen
lend ^vb++++=lend
their ^pp$+pp3+++=their
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
gathered ^j+++xvbn+=gathered
on ^in++++=on
earth ^nn++++=earth
and ^cc++++=and
mellowed ^jj++++=mellowed
in ^in++++=in
the ^ati++++=the
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
historian ^nn++++=historian;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
preacher ^nn+nom+++=preacher
rises ^vbz++++=rises
nearest ^jjt++++=nearest
to ^in++++=to
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
his ^pp$+pp3+++=his
mighty ^jj+atrb+++=mighty
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because
the ^ati++++=the
prophets ^nns++++=prophets
of ^in++++=of
old ^jj+atrb+++=old
