When ^wrb+who+++=When
Nabendu ^np+++??+=Nabendu
Sekhar ^np+++??+=Sekhar
was ^vbd+bedz+aux++=was
wedded ^vpsv++agls+xvbnx+=wedded
to ^in++++=to
Arunlekha ^np+++??+=Arunlekha,
, ^zz++++=EXTRAWORD
the ^ati++++=the
God ^nn++++=God
of ^in++++=of
marriage ^nn+nom+++=marriage
smiled ^vbd+++xvbn+=smiled
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
sacrificial ^jj+atrb+++=sacrificial
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
Alas ^uh++++=Alas!
! ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
sport ^nn++++=sport
for ^in++++=for
the ^ati++++=the
gods ^nns++++=gods
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
always ^rb++++=always
a ^at++++=a
joke ^nn++++=joke
to ^in++++=to
us ^pp1o+pp1+++=us
poor ^jj+atrb+++=poor
mortals ^nns+nom+++=mortals.
. ^zz++++=EXTRAWORD
Purnendu ^np+++??+=Purnendu
Sekhar ^np+++??+=Sekhar,
, ^zz++++=EXTRAWORD
the ^ati++++=the
father ^nn++++=father
of ^in++++=of
Nabendu ^np+++??+=Nabendu,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
well ^rb++++=well
known ^vbd+vprv++xvbn+=known
amongst ^in++++=amongst
the ^ati++++=the
English ^jj+atrb+++=English
officials ^nns+nom+++=officials
of ^in++++=of
the ^ati++++=the
Government ^nn+nom+++=Government.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
voyage ^nn++++=voyage
of ^in++++=of
life ^nn++++=life
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
at ^rb++++=at
the ^ati++++=the
desert ^nn++++=desert
shores ^nns++++=shores
of ^in++++=of
Rai ^np+++??+=Rai
Bahadurship ^np+nom++??+=Bahadurship
by ^in++++=by
diligently ^rb++++=diligently
plying ^vbg+++xvbg+=plying
his ^pp$+pp3+++=his
oats ^nns++++=oats
of ^in++++=of
salaams ^nns+++??+=salaams.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
in ^in++++=in
reserve ^vb++++=reserve
enough ^qlp++++=enough
for ^in++++=for
further ^jjb+atrb+++=further
advancement ^nn+nom+++=advancement,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
fifty ^cd++++=fifty-five,
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
tender ^jj+atrb+++=tender
gaze ^nn++++=gaze
still ^rb++++=still
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
the ^ati++++=the
misty ^jj+atrb+++=misty
peals ^nn++++=peals
of ^in++++=of
Raja ^np+++??+=Raja-hood,
- ^zz++++=EXTRAWORD
hood ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
suddenly ^rb++++=suddenly
found ^vbd+vprv+tht0+xvbn+=found
himself ^ppl+pp3+++=himself
transported ^vbd+++xvbn+=transported
to ^in++++=to
a ^at++++=a
region ^nn++++=region
where ^wrb+who+++=where
earthly ^jj+atrb+++=earthly
honours ^nns++++=honours
and ^cc++++=and
decorations ^nns+nom+++=decorations
are ^vb+ber+aux++=are
naught ^vpsv++agls+xvbnx+=naught,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
salaam ^nn+++??+=salaam-wearied
- ^zz++++=EXTRAWORD
wearied ^vprf+++xvbn+=EXTRAWORD
neck ^nn++++=neck
found ^vbd+vprv++xvbn+=found
everlasting ^jj+atrb+++=everlasting
repose ^nn++++=repose
on ^in++++=on
the ^ati++++=the
funeral ^nn++++=funeral
pyre ^nn++++=pyre.
. ^zz++++=EXTRAWORD
According ^in++++=According
to ^in++++=to
