My ^pp$+pp1+++=My
Dear ^jj+atrb+++=Dear
Violet, ^np+++??+=Violet,--So
-- ^--+clp+++=EXTRAWORD
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
" ^zz++++="gather
gather ^vb+vprv+++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
tone ^nn++++=tone
of ^in++++=of
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
recent ^jj+atrb+++=recent
letters ^nns+nom+++=letters
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
spirit ^nn++++=spirit
is ^vbz+bez+aux++=is
creeping ^vbg+++xvbgx+=creeping
back ^jjb++++=back
to ^in++++=to
light ^nn++++=light
and ^cc++++=and
warmth ^nn++++=warmth
again ^rb+tm+++=again"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
a ^at++++=a
fashion ^nn++++=fashion
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
laugh ^vb++++=laugh
again ^rb+tm+++=again
as ^ql++++=as
I ^pp1a+pp1+++=I
used ^md"++pmd"++=used
to ^to++++=to
laugh ^vb++++=laugh
before ^in++++=before
Harry ^np++++=Harry's
's ^$++++=EXTRAWORD
death ^nn++++=death.
. ^zz++++=EXTRAWORD
The ^ati++++=The
taste ^nn++++=taste
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
out ^rp+pl+++=out
of ^in++++=of
that ^dt+dem+++=that
carelessness ^nns+nom+++=carelessness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
turn ^nn++++=turn
even ^rb++++=even
from ^in++++=from
the ^ati++++=the
remembrance ^nn+nom+++=remembrance
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
can ^md+pos+++=can
be ^vb+be+vrb++=be
cheerful ^jj+pred+++=cheerful,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cheerfulness ^nns+nom+++=cheerfulness
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
found ^vprf+++xvbnx+=found
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
gravity ^nn+nom+++=gravity.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
myself ^ppl+pp1+++=myself
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
as ^ql++++=as
people ^nns++++=people
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
months ^nns++++=months
of ^in++++=of
agitation ^nn+nom+++=agitation
in ^in++++=in
what ^wdt+who+++=what
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
chaos ^nn++++=chaos
the ^ati++++=the
lost ^jj+atrb++xvbn+=lost
atom ^nn++++=atom
has ^vbz+hvz+aux++=has
dropped ^vprf+++xvbnx+=dropped
back ^jjb++++=back
to ^in++++=to
its ^pp$+it+++=its
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
scheme ^nn++++=scheme
of ^in++++=of
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
aspires ^nns+++??+=aspires
( ^zz++++=(poor
poor ^jj+atrb+++=EXTRAWORD
mite ^nn++++=mite!)
! ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
do ^vbi++++=do
its ^pp$+it+++=its
infinitesimal ^jj+atrb+++=infinitesimal
business ^nns+nom+++=business
intelligently ^rb++++=intelligently.
. ^zz++++=EXTRAWORD
So ^ql++++=So
might ^md+pos+++=might
a ^at++++=a
mote ^nn+++??+=mote
in ^in++++=in
a ^at++++=a
sunbeam ^nn++++=sunbeam
feel ^vb+vprv+tht0++=feel
itself ^ppl++++=itself
at ^in++++=at
one ^pn++++=one
with ^in++++=with
God ^np++++=God!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
when ^wrb+who+++=when
you ^pp2+pp2+++=you
assume ^vb+vprv+++=assume
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
recovery ^nn+nom+++=recovery
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
gradual ^jj+atrb+++=gradual
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
wrong ^jj+pred+++=wrong.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
think ^vb+vprv+++=think
me ^pp1o+pp1+++=me
more ^ql++++=more
than ^cs+sub+++=than
ever ^rb++++=ever
deranged ^jj+++xvbn+=deranged;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you
that ^cs+sub+++=that
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
about ^rb+cnj+++=about,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
by ^in++++=by
long ^rb++++=long
strivings ^nns+++??+=strivings,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
suddenly ^rb++++=suddenly--without
-- ^--+clp+++=EXTRAWORD
without ^in++++=EXTRAWORD
preparation ^nn+nom+++=preparation
of ^in++++=of
mine ^pp$$++++=mine--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
immediate ^jj+atrb+++=immediate
hand ^nn++++=hand
of ^in++++=of
our ^pp$+pp1+++=our
dead ^jj+atrb+++=dead
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
have ^vb+hv+vrb++=have
the ^ati++++=the
whole ^jj+atrb+++=whole
tale ^nn++++=tale.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
effect ^nn++++=effect
of ^in++++=of
the ^ati++++=the
news ^nn++++=news
of ^in++++=of
Harry ^np++++=Harry's
's ^$++++=EXTRAWORD
death ^nn++++=death
in ^in++++=in
October ^nr++++=October
last ^rb++++=last
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
to ^in++++=to
stun ^nn+++??+=stun
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
remember ^nn+nom+++=remember
how ^wrb+who+++=how
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
years ^nns++++=years
ago ^rb++++=ago
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
children ^nns++++=children,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
rode ^vbd+++xvbn+=rode
home ^nr++++=home
together ^nn+nom+++=together
across ^in+pl+++=across
the ^ati++++=the
old ^jj+atrb+++=old
Racecourse ^nn++++=Racecourse
after ^cs+sub+++=after
a ^at++++=a
long ^rb++++=long
day ^nn++++=day's
's ^vbz+bez+aux++0=EXTRAWORD
skating ^vbg+++xvbgx+=skating,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
skates ^nns++++=skates
swinging ^vwbg+++xvbg+=swinging
at ^rb++++=at
our ^pp$+pp1+++=our
saddle ^nn++++=saddle-bows;
- ^zz++++=EXTRAWORD
bows ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
Harry ^np++++=Harry
challenged ^vwbn+++xvbn+=challenged
us ^pp1o+pp1+++=us
to ^in++++=to
a ^at++++=a
gallop ^nn++++=gallop;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how,
, ^zz++++=EXTRAWORD
midway ^rb+cnj+++=midway,
, ^zz++++=EXTRAWORD
the ^ati++++=the
roan ^jj+atrb+++=roan
mare ^nn++++=mare
slipped ^vbd+++xvbn+=slipped
down ^rp++++=down
neck ^nn++++=neck
over ^in++++=over
crop ^nn++++=crop
on ^in++++=on
the ^ati++++=the
frozen ^jj+atrb++xvbn+=frozen
turf ^nn++++=turf
and ^cc++++=and
hurled ^vbd+++xvbn+=hurled
me ^pp1o+pp1+++=me
clean ^jj++++=clean
against ^in++++=against
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
a ^at++++=a
stone ^nn++++=stone
dyke ^npl++++=dyke.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
thrown ^vpsv++agls+xvbnx+=thrown
from ^in++++=from
horseback ^nn++++=horseback
more ^ql++++=more
than ^cs+sub+++=than
once ^rb+tm+++=once
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
somehow ^rb++++=somehow
had ^vb+hv+aux++=had
always ^rb++splt++=always
found ^vprf+++xvbnx+=found
the ^ati++++=the
earth ^nn++++=earth
fairly ^rb++++=fairly
elastic ^jj++++=elastic.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
griefs ^nns++++=griefs
before ^cs+sub+++=before
Harry ^np++++=Harry
died ^vbd+++xvbn+=died
and ^cc+phrs+++=and
took ^vbd+++xvbn+=took
some ^dti++++=some
rebound ^nn++++=rebound
of ^in++++=of
hope ^nn++++=hope
from ^in++++=from
each ^ppls++++=each:
: ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
cast ^vb+++xvbn+=cast
repeated ^vbd+++xvbn+=repeated
in ^in++++=in
a ^at++++=a
worse ^jjr+atrb+++=worse
degree ^nn++++=degree
the ^ati++++=the
old ^jj+atrb+++=old
shock ^nn++++=shock--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
springless ^jj+atrb+++=springless
brutal ^jj+atrb+++=brutal
jar ^nn++++=jar--of
-- ^--+clp+++=EXTRAWORD
of ^in++++=EXTRAWORD
the ^ati++++=the
stone ^nn++++=stone
dyke ^npl++++=dyke.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
the ^ati++++=the
sun ^nn++++=sun
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
my ^pp$+pp1+++=my
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
this ^dt+dem+++=this
torpor ^nn++++=torpor
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
common ^jj+pred+++=common
with ^in++++=with
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
suddenly ^rb++++=suddenly
bereaved ^jj++++=bereaved.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
a ^at++++=a
whole ^jj+atrb+++=whole
week ^nn++++=week
passed ^vbd+++xvbn+=passed
before ^cs+sub+++=before
my ^pp$+pp1+++=my
brain ^nn++++=brain
recovered ^vbd+++xvbn+=recovered
any ^dti++++=any
really ^rb+emph+++=really
vital ^jj+atrb+++=vital
motion ^nn++++=motion;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
such ^abl++++=such
feeble ^jj+atrb+++=feeble
thought ^nn+++xvbn+=thought
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
exert ^vb++++=exert
was ^vbd+bedz+aux++=was
wholly ^rb++splt++=wholly
occupied ^vpsv++agls+xvbnx+=occupied
with ^in++++=with
the ^ati++++=the
desperate ^jj+atrb+++=desperate
stupidity ^nn+nom+++=stupidity
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
affair ^nn++++=affair.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
God ^np++++=God
were ^vbd+bed+aux++=were
indeed ^qlp++++=indeed
shaping ^vbg+++xvbg+=shaping
the ^ati++++=the
world ^nn++++=world
to ^in++++=to
any ^dti++++=any
end ^nn++++=end,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
any ^dti++++=any
design ^nn++++=design
of ^in++++=of
His ^pp$+pp3+++=His
underlay ^vbd+++xvbn+=underlay
the ^ati++++=the
activities ^nns+nom+++=activities
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
insensate ^nn+nom+++=insensate
waste ^nn++++=waste
to ^to++++=to
quench ^vbi++++=quench
such ^abl++++=such
a ^at++++=a
heart ^nn++++=heart
and ^cc++++=and
brain ^nn++++=brain
as ^ql++++=as
Harry ^np++++=Harry's!--to
's!--to ^nn+++??+=EXTRAWORD
nip ^nn++++=nip,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
out ^rp+pl+++=out
of ^in++++=of
mere ^jjb+atrb+++=mere
