Old ^jj+atrb+++=Old
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie
was ^vbd+bedz+vrb++=was
about ^in++++=about
the ^ati++++=the
busiest ^jjt+atrb+++=busiest
character ^nn+nom+++=character
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
you ^pp2+pp2+++=you
must ^md+nec+++=must
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
difference ^nn+nom+++=difference
between ^in++++=between
being ^xvbg+++xvbg+=being
busy ^jj++++=busy
and ^cc+phrs+++=and
being ^jj+++xvbg+=being
industrious ^jj++++=industrious.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
may ^md+pos+++=may
be ^vb+be+vrb++=be
very ^ql+amp+++=very
busy ^jj++++=busy
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
not ^xnot++not++=not
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least
industrious ^jj++++=industrious;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
case ^nn++++=case
with ^in++++=with
Mother ^nn++++=Mother
Magpie ^np+++??+=Magpie.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
always ^rb++++=always
full ^jj+pred+++=full
of ^in++++=of
everybody ^pn++++=everybody's
's ^vbz+bez+vrb++0=EXTRAWORD
business ^nns+nom+++=business
but ^cc++++=but
her ^pp$+pp3+++=her
own ^ap++++=own--up
-- ^--+clp+++=EXTRAWORD
up ^rp++++=EXTRAWORD
and ^cc++++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
everywhere ^rb++++=everywhere
but ^cc++++=but
in ^in++++=in
