Sir ^npt++++=Sir
Henry ^np++++=Henry
paused ^vbd+++xvbn+=paused
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
finger ^nn++++=finger
between ^in++++=between
the ^ati++++=the
pages ^nns++++=pages
of ^in++++=of
the ^ati++++=the
ancient ^jj+atrb+++=ancient
diary ^nn++++=diary.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
inspirational ^jj+atrb+++=inspirational
quality ^nn+nom+++=quality
in ^in++++=in
these ^dt+dem+++=these
cases ^nns++++=cases"
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^cs+sub+++=EXTRAWORD
impresses ^nns+nom++??+=impresses
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
nearly ^rb+down+++=nearly
absent ^jj++++=absent
in ^in++++=in
our ^pp$+pp1+++=our
modern ^jj+atrb+++=modern
methods ^nns++++=methods
of ^in++++=of
criminal ^jj+atrb+++=criminal
investigation ^nn+nom+++=investigation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
depend ^vb++++=depend
now ^rn+tm+++=now
on ^in++++=on
a ^at++++=a
certain ^jj+atrb+++=certain
formal ^jj+atrb+++=formal
routine ^nn++++=routine.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rarely ^rb++++=rarely
find ^vb+vprv+++=find
a ^at++++=a
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
whole ^nn++++=whole
of ^in++++=of
Scotland ^np++++=Scotland
Yard ^nn++++=Yard
with ^in++++=with
a ^at++++=a
trace ^nn++++=trace
of ^in++++=of
intuitive ^jj+atrb+++=intuitive
impulse ^nn++++=impulse
to ^to++++=to
lead ^vbi++++=lead
him ^pp3o+pp3+++=him
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
Observe ^vb+vprv+++=Observe
how ^wrb+who+whcl++=how
this ^dt+dem+++=this
old ^jj+atrb+++=old
justice ^nn++++=justice
in ^in++++=in
Virginia ^np++++=Virginia
bridged ^vbd+++xvbn+=bridged
the ^ati++++=the
gaps ^nns++++=gaps
between ^in++++=between
his ^pp$+pp3+++=his
incidents ^nns++++=incidents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
call ^vb++++=call
it ^pp3+it+++=it
the ^ati++++=the
inspirational ^jj+atrb+++=inspirational
instinct ^nn++++=instinct,
, ^zz++++=EXTRAWORD
in ^in++++=in
criminal ^jj+atrb+++=criminal
investigation ^nn+nom+++=investigation
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
genius ^nn++++=genius,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
right ^jj+atrb+++=right
word ^nn++++=word."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
at ^in++++=at
the ^ati++++=the
clock ^nn++++=clock.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
an ^at++++=an
hour ^nn++++=hour,
, ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
the ^ati++++=the
opera ^nn++++=opera
will ^md+prd+++=will
be ^vb+be+vrb++=be
worth ^in++++=worth
hearing ^xvbg+++xvbg+=hearing;
; ^zz++++=EXTRAWORD
listen ^vb++++=listen
to ^in++++=to
this ^dt+dem+++=this
final ^jj+atrb+++=final
case ^nn++++=case."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
narrative ^nn++++=narrative
of ^in++++=of
the ^ati++++=the
diary ^nn++++=diary
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
was ^vbd+bedz+aux++=was
walking ^vbg+++xvbgx+=walking
in ^in++++=in
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
frock ^nn++++=frock
was ^vbd+bedz+aux++=was
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
arms ^nns++++=arms
hung ^vbd+++xvbn+=hung
limp ^jj++++=limp.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
eyes ^nns++++=eyes
and ^cc++++=and
the ^ati++++=the
exquisite ^jj+atrb+++=exquisite
mouth ^nn++++=mouth
was ^vbd+bedz+vrb++=was
the ^ati++++=the
chalk ^nn++++=chalk
face ^nn++++=face
of ^in++++=of
a ^at++++=a
ghost ^nn++++=ghost.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
walked ^vbd+++xvbnx+=walked
with ^in++++=with
the ^ati++++=the
terrible ^jj+atrb+++=terrible
stiffened ^jj+atrb++xvbn+=stiffened
celerity ^nn+nom+++=celerity
of ^in++++=of
a ^at++++=a
human ^jj+atrb+++=human
creature ^nn++++=creature
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
trapped ^vpsv++agls+xvbnx+=trapped
and ^cc++++=and
ruined ^jj+++xvbn+=ruined.
. ^zz++++=EXTRAWORD
Night ^nn++++=Night
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
girl ^nn++++=girl
sat ^vbd+++xvbn+=sat
the ^ati++++=the
great ^jj+atrb+++=great
old ^jj+atrb+++=old
house ^npl++++=house
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
a ^at++++=a
long ^rb++++=long
lane ^nn++++=lane
of ^in++++=of
ancient ^jj+atrb+++=ancient
poplars ^nns+++??+=poplars.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
scene ^nn++++=scene
my ^pp$+pp1+++=my
father ^nn++++=father
came ^vbd+++xvbn+=came
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pulled ^vbd+++xvbnx+=pulled
up ^rp++++=up
his ^pp$+pp3+++=his
big ^jj++++=big
red ^jj++++=red-roan
- ^zz++++=EXTRAWORD
roan ^jj+atrb+++=EXTRAWORD
horse ^nn++++=horse
at ^rb++++=at
the ^ati++++=the
crossroads ^nn++++=crossroads,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
long ^rb++++=long
lane ^nn++++=lane
entered ^vbd+++xvbn+=entered
the ^ati++++=the
turnpike ^nn++++=turnpike,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
stiff ^jj+atrb+++=stiff,
, ^zz++++=EXTRAWORD
tragic ^jj+atrb+++=tragic
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rode ^vbd+++xvbnx+=rode
