Hands ^nns++++=HANDS,
, ^zz++++=EXTRAWORD
Concerning ^in++++=Concerning
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum
Upon ^in++++=UPON
The ^ati++++=THE
Half ^abn++++=HALF
decayed ^jj+atrb++xvbn+=decayed
veranda ^nn++++=veranda
of ^in++++=of
a ^at++++=a
small ^jj+atrb+++=small
frame ^nn++++=frame
house ^npl++++=house
that ^tht+rel+subj++=that
stood ^vprf+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
a ^at++++=a
ravine ^npl++++=ravine
near ^in+pl+++=near
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Winesburg ^np+++??+=Winesburg,
, ^zz++++=EXTRAWORD
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
a ^at++++=a
fat ^nn++++=fat
little ^ap++++=little
old ^jj+atrb+++=old
man ^nn++++=man
walked ^vbd+++xvbn+=walked
nervously ^rb++++=nervously
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
a ^at++++=a
long ^jj+atrb+++=long
field ^nn++++=field
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
seeded ^vpsv++agls+xvbnx+=seeded
for ^in++++=for
clover ^nn++++=clover
but ^cs+sub+++=but
that ^cs"++++=that
had ^vbd+hvd+aux++=had
produced ^vprf+++xvbnx+=produced
only ^rb+down+++=only
a ^at++++=a
dense ^jj+atrb+++=dense
crop ^nn++++=crop
of ^in++++=of
yellow ^jj+atrb+++=yellow
mustard ^nn++++=mustard
weeds ^nns++++=weeds,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
public ^jj+atrb+++=public
highway ^nn++++=highway
along ^in++++=along
which ^whp+rel+pied++=which
went ^vbd+++xvbn+=went
a ^at++++=a
wagon ^nn++++=wagon
filled ^vbd+++xvbn+=filled
with ^in++++=with
berry ^nn++++=berry
pickers ^nns+nom+++=pickers
returning ^vwbg+++xvbg+=returning
from ^in++++=from
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
The ^ati++++=The
berry ^nn++++=berry
pickers ^nns+nom+++=pickers,
, ^zz++++=EXTRAWORD
youths ^nns++++=youths
and ^cc++++=and
maidens ^nns++++=maidens,
, ^zz++++=EXTRAWORD
laughed ^j+++xvbn+=laughed
and ^cc+phrs+++=and
shouted ^jj+++xvbn+=shouted
boisterously ^jj++++=boisterously.
. ^zz++++=EXTRAWORD
A ^at++++=A
boy ^nn++++=boy
clad ^jj++++=clad
in ^in++++=in
a ^at++++=a
blue ^jj+atrb+++=blue
shirt ^nn++++=shirt
leaped ^vbd+++xvbn+=leaped
from ^in++++=from
the ^ati++++=the
wagon ^nn++++=wagon
and ^cc++++=and
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
drag ^vbi++++=drag
after ^in++++=after
him ^pp3o+pp3+++=him
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
maidens ^nns++++=maidens,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
screamed ^vbd+++xvbn+=screamed
and ^cc+phrs+++=and
protested ^vbd+vpub++xvbn+=protested
shrilly ^jj++++=shrilly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
feet ^nns++++=feet
of ^in++++=of
the ^ati++++=the
boy ^nn++++=boy
in ^in++++=in
the ^ati++++=the
road ^npl++++=road
kicked ^vbd+++xvbn+=kicked
up ^rp++++=up
a ^at++++=a
cloud ^nn++++=cloud
of ^in++++=of
dust ^nn++++=dust
that ^tht+rel+++=that
floated ^jj+++xvbn+=floated
across ^in+pl+++=across
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
departing ^jj+atrb++xvbg+=departing
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
long ^jj+atrb+++=long
field ^nn++++=field
came ^vbd+++xvbn+=came
a ^at++++=a
thin ^jj+atrb+++=thin
girlish ^jj+atrb+++=girlish
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum,
, ^zz++++=EXTRAWORD
comb ^nn++++=comb
your ^pp$+pp2+++=your
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
falling ^nvbg+++xvbg+=falling
into ^in+ppvb+++=into
your ^pp$+pp2+++=your
eyes ^nns++++=eyes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commanded ^vbd+vpub++xvbn+=commanded
the ^ati++++=the
voice ^nn++++=voice
to ^in++++=to
the ^ati++++=the
man ^nn++++=man,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
bald ^jj+pred+++=bald
and ^cc++++=and
whose ^whp+rel+obj++=whose
nervous ^jj+atrb+++=nervous
little ^jj+atrb+++=little
hands ^nns++++=hands
fiddled ^vbd+++xvbn+=fiddled
about ^in++++=about
the ^ati++++=the
bare ^jj+atrb+++=bare
white ^jj+atrb+++=white
forehead ^nn++++=forehead
as ^cs+sub+++=as
though ^cs+sub+++=though
arranging ^vbg+vsua++xvbg+=arranging
a ^at++++=a
mass ^nn++++=mass
of ^in++++=of
tangled ^vwbn+++xvbn+=tangled
locks ^npl++++=locks.
. ^zz++++=EXTRAWORD
Wing ^nn++++=Wing
Biddlebaum ^np+++??+=Biddlebaum,
, ^zz++++=EXTRAWORD
forever ^rb++++=forever
frightened ^jj+++xvbn+=frightened
and ^cc+phrs+++=and
beset ^jj+++xvbn+=beset
by ^in++++=by
a ^at++++=a
ghostly ^jj+atrb+++=ghostly
band ^nn++++=band
of ^in++++=of
doubts ^nns++++=doubts,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
think ^vb+vprv+++=think
of ^in++++=of
himself ^ppl+pp3+++=himself
as ^in++++=as
in ^in"++++=in
any ^dti++++=any
way ^nn++++=way
a ^at++++=a
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
for ^in+ppvb+++=for
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
all ^abn++++=all
the ^ati++++=the
people ^nn++++=people
of ^in++++=of
Winesburg ^np+++??+=Winesburg
but ^cc++++=but
one ^cd1++++=one
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
close ^in+cmpx+++=close
to ^in"++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
With ^in++++=With
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
son ^nn++++=son
of ^in++++=of
Tom ^np++++=Tom
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proprietor ^nn++++=proprietor
of ^in++++=of
the ^ati++++=the
New ^jj+atrb+++=New
Willard ^np+++??+=Willard
House ^nn++++=House,
