When ^wrb+who+++=When
the ^ati++++=the
words ^nns++++=words
' ^zz++++='Not
not ^xnot++not++=EXTRAWORD
Guilty ^jj++++=Guilty'
' ^zz++++=EXTRAWORD
sounded ^vbd+++xvbn+=sounded
through ^in++++=through
the ^ati++++=the
crowded ^jj+atrb++xvbn+=crowded
courtroom ^nn++++=courtroom
that ^tht+rel+++=that
dark ^jj+atrb+++=dark
December ^nr+nom+++=December
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
Arthur ^np++++=Arthur
Wilbraham ^np+++??+=Wilbraham,
, ^zz++++=EXTRAWORD
the ^ati++++=the
great ^jj+atrb+++=great
criminal ^jj+atrb+++=criminal
Kc ^np+++??+=KC,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leader ^nn++++=leader
for ^in++++=for
the ^ati++++=the
triumphant ^jj+atrb+++=triumphant
defence ^nn+nom+++=defence,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
his ^pp$+pp3+++=his
junior ^nn++++=junior;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Johnson ^np++++=Johnson,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
private ^jj+atrb+++=private
secretary ^nn+nom+++=secretary,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
the ^ati++++=the
verdict ^nn++++=verdict
across ^in+pl+++=across
to ^in++++=to
his ^pp$+pp3+++=his
chambers ^nns+nom+++=chambers
like ^in++++=like
lightning ^nn++++=lightning.
. ^zz++++=EXTRAWORD
' ^zz++++='It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
expected ^vbd+vprv++xvbn+=expected,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
barrister ^nn+nom+++=barrister,
, ^zz++++=EXTRAWORD
without ^in++++=without
emotion ^nn+nom+++=emotion;
; ^zz++++=EXTRAWORD
' ^zz++++='and,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
