Eastward ^rb++++=Eastward
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
city ^nn++++=city
of ^in++++=of
Limerick ^np+++??+=Limerick,
, ^zz++++=EXTRAWORD
about ^in++++=about
ten ^cd++++=ten
Irish ^jj+atrb+++=Irish
miles ^nns++++=miles
under ^in++++=under
the ^ati++++=the
range ^nn++++=range
of ^in++++=of
mountains ^npl++++=mountains
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Slieveelim ^np+++??+=Slieveelim
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
famous ^jj++++=famous
as ^ql++++=as
having ^xvbg+++xvbg+=having
afforded ^xvbn+++xvbn+=afforded
Sarsfield ^np+++??+=Sarsfield
a ^at++++=a
shelter ^nn++++=shelter
among ^in++++=among
their ^pp$+pp3+++=their
rocks ^nns++++=rocks
and ^cc++++=and
hollows ^nns++++=hollows,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
crossed ^vbd+++xvbnx+=crossed
them ^pp3o+pp3+++=them
in ^in++++=in
his ^pp$+pp3+++=his
gallant ^jj+atrb+++=gallant
descent ^nn++++=descent
upon ^in++++=upon
the ^ati++++=the
cannon ^nn++++=cannon
and ^cc++++=and
ammunition ^nn+nom+++=ammunition
of ^in++++=of
King ^nn++++=King
William ^np++++=William,
, ^zz++++=EXTRAWORD
on ^in++++=on
its ^pp$+it+++=its
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
beleaguering ^jj+atrb++xvbg+=beleaguering
army ^nn++++=army,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
runs ^vbz++++=runs
a ^at++++=a
very ^ql+amp+++=very
old ^jj+atrb+++=old
and ^cc+phrs+++=and
narrow ^jj+atrb+++=narrow
road ^npl++++=road.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
connects ^vbz++++=connects
the ^ati++++=the
Limerick ^np+++??+=Limerick
road ^nn++++=road
to ^in++++=to
Tipperary ^np+nom++??+=Tipperary
with ^in++++=with
the ^ati++++=the
old ^jj+atrb+++=old
road ^nn++++=road
from ^in++++=from
Limerick ^np+++??+=Limerick
to ^in++++=to
Dublin ^np++++=Dublin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
runs ^nns++++=runs
by ^in++++=by
bog ^nn++++=bog
and ^cc++++=and
pasture ^nn++++=pasture,
, ^zz++++=EXTRAWORD
hill ^nn++++=hill
and ^cc++++=and
hollow ^nn++++=hollow,
, ^zz++++=EXTRAWORD
straw ^nn++++=straw-thatched
- ^zz++++=EXTRAWORD
thatched ^jj+atrb+++=EXTRAWORD
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
roofless ^jj+atrb+++=roofless
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
far ^rb+pl+++=far
from ^rb"++++=from
twenty ^cd++++=twenty
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Skirting ^np+++??+=Skirting
the ^ati++++=the
healthy ^jj+atrb+++=healthy
mountains ^nns++++=mountains
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
spoken ^vprf+++xvbnx+=spoken,
, ^zz++++=EXTRAWORD
at ^rb++++=at
one ^cd1++++=one
part ^nn++++=part
it ^pp3+it+++=it
becomes ^vbz++++=becomes
singularly ^rb++++=singularly
lonely ^jj++++=lonely.
. ^zz++++=EXTRAWORD
For ^in++++=For
more ^rbr++++=more
than ^in++++=than
three ^cd++++=three
Irish ^jj+atrb+++=Irish
miles ^nns++++=miles
it ^pp3+it+++=it
traverses ^nns+nom+++=traverses
a ^at++++=a
deserted ^jj+atrb++xvbn+=deserted
country ^nn++++=country.
. ^zz++++=EXTRAWORD
A ^at++++=A
wide ^jj+atrb+++=wide,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
bog ^nn++++=bog,
, ^zz++++=EXTRAWORD
level ^nn++++=level
as ^in++++=as
a ^at++++=a
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
skirted ^j+++xvbn+=skirted
with ^in++++=with
copse ^nn+++??+=copse,
, ^zz++++=EXTRAWORD
spreads ^vbz++++=spreads
at ^in++++=at
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
journey ^nn++++=journey
northward ^jjb++++=northward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
long ^jj+atrb+++=long
and ^cc+phrs+++=and
irregular ^jj+atrb+++=irregular
line ^nn++++=line
of ^in++++=of
mountain ^nn++++=mountain
rises ^vbz++++=rises
at ^rb++++=at
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
clothed ^xvbn+++xvbn+=clothed
in ^in++++=in
heath ^nn++++=heath,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken
with ^in++++=with
lines ^nns++++=lines
of ^in++++=of
grey ^np++++=grey
rock ^npl++++=rock
that ^tht+rel+subj++=that
resemble ^vb++++=resemble
the ^ati++++=the
bold ^jj++++=bold
and ^cc++++=and
irregular ^nn++++=irregular
outlines ^nns++++=outlines
of ^in++++=of
fortifications ^nns+nom+++=fortifications,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
riven ^vpsv++agls+xvbn+=riven
with ^in++++=with
many ^ap++++=many
a ^at++++=a
gully ^nn++++=gully,
, ^zz++++=EXTRAWORD
expanding ^jj+++xvbg+=expanding
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
into ^in++++=into
rocky ^jj+atrb+++=rocky
and ^cc+phrs+++=and
wooded ^jj+atrb+++=wooded
glens ^nns++++=glens,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
open ^jj++++=open
as ^ql++++=as
they ^pp3a+pp3+++=they
approach ^vb++++=approach
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
A ^at++++=A
scanty ^jj+atrb+++=scanty
pasturage ^nn+nom+++=pasturage,
, ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
browsed ^vbd+++xvbn+=browsed
a ^ap++++=a
few ^ap"++++=few
scattered ^jj+atrb++xvbn+=scattered
sheep ^nns++++=sheep
or ^cc++++=or
kine ^nns++++=kine,
, ^zz++++=EXTRAWORD
skirts ^nns++++=skirts
this ^dt+dem+++=this
solitary ^jj+atrb+++=solitary
road ^npl++++=road
for ^in++++=for
some ^dti++++=some
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
shelter ^nn++++=shelter
of ^in++++=of
a ^at++++=a
hillock ^nn+++??+=hillock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
great ^jj+atrb+++=great
ash ^nn++++=ash-trees,
