Certainly ^rb++++=CERTAINLY
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
house ^nn++++=house
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
half ^abn++++=half-way
- ^zz++++=EXTRAWORD
way ^nn++++=EXTRAWORD
up ^rp++++=up
Great ^jj+atrb+++=Great
Hill ^nn++++=Hill,
, ^zz++++=EXTRAWORD
a ^at++++=a
mansion ^nn++++=mansion
of ^in++++=of
pale ^jj+atrb+++=pale
cream ^nn++++=cream-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
built ^j+++xvbn+=built
with ^in++++=with
pillared ^jj+atrb+++=pillared
porch ^nn++++=porch
and ^cc++++=and
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
vines ^nns++++=vines
growing ^vwbg+++xvbg+=growing
over ^in++++=over
some ^dti++++=some
parts ^nns++++=parts
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
sward ^nn++++=sward
like ^in++++=like
velvet ^nn++++=velvet
surrounding ^vwbg+++xvbg+=surrounding
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
flashing ^vbg+++xvbgx+=flashing
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
windows ^nns++++=windows
but ^cc+cls+++=but
Why ^wrb+who+++=Why?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+aux++=had
none ^pn++++=none
of ^in++++=of
the ^ati++++=the
Godsdale ^np+++??+=Godsdale
people ^nns++++=people
seen ^vbd+vprv++xvbn+=seen
that ^tht+vcmp+++=that
house ^npl++++=house
before ^in++++=before?
? ^zz++++=EXTRAWORD
Could ^md+pos+++=Could
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
building ^xvbg+++xvbg+=building
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
on ^in++++=on
sheltered ^nn++++=sheltered
by ^in++++=by
the ^ati++++=the
thick ^jj+atrb+++=thick
wood ^nn++++=wood
in ^in++++=in
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
the ^ati++++=the
laborers ^nns+nom+++=laborers
and ^cc++++=and
the ^ati++++=the
materials ^nns+nom+++=materials
coming ^vwbg+++xvbg+=coming
up ^rp++++=up
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
visible ^jj+pred+++=visible
now ^rn+tm+++=now
if ^cs+cnd+++=if,
, ^zz++++=EXTRAWORD
overnight ^jjb++++=overnight,
, ^zz++++=EXTRAWORD
vistas ^nns++++=vistas
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
cut ^vpsv++agls+xvbnx+=cut
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Godsdale ^np+++??+=Godsdale
people ^nns++++=people
seldom ^rb++++=seldom
climbed ^vbd+++xvbn+=climbed
the ^ati++++=the
hill ^nn++++=hill;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
rumors ^nns++++=rumors
of ^in++++=of
ill ^jj++++=ill-doing
- ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=EXTRAWORD
there ^rn+pl+++=there
in ^in++++=in
long ^jj+atrb+++=long
past ^jjb+atrb+++=past
days ^nns++++=days,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
perhaps ^rb++++=perhaps
rattlesnakes ^nns+++??+=rattlesnakes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
difficult ^jj+pred+++=difficult
except ^in++++=except
from ^in++++=from
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
to ^to++++=to
