1 ^zz++++=1
The ^ati++++=The
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
of ^in++++=of
Chester ^np+nom+++=Chester
Arthur ^np++++=Arthur
Jessup ^np+++??+=Jessup,
, ^zz++++=EXTRAWORD
Jr ^np+++??+=Jr.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
fixed ^vpsv++agls+xvbnx+=fixed
on ^in++++=on
the ^ati++++=the
maroon ^nn++++=maroon
banner ^nn++++=banner
of ^in++++=of
the ^ati++++=the
Clintonia ^np+++??+=Clintonia
High ^jj+atrb+++=High
School ^nn++++=School
which ^whp+rel+subj++=which
adorned ^vbd+++xvbn+=adorned
his ^pp$+pp3+++=his
bedroom ^nn++++=bedroom
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
vivid ^jj+atrb+++=vivid
emblem ^nn++++=emblem
of ^in++++=of
the ^ati++++=the
institution ^nn+nom+++=institution
in ^in++++=in
whose ^whp+rel+pied++=whose
academic ^jj+atrb+++=academic
halls ^nns++++=halls
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
senior ^nn++++=senior.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
look ^vbi++++=look
through ^in++++=through
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
into ^in++++=into
some ^dti++++=some
far ^rb+pl+++=far-away
- ^zz++++=EXTRAWORD
away ^rp+pl+++=EXTRAWORD
land ^nn++++=land.
. ^zz++++=EXTRAWORD
Bright ^jj++++=Bright
but ^cc+phrs+++=but
unseeing ^jj++++=unseeing,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
proclaimed ^vbd+++xvbnx+=proclaimed
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
owner ^nn++++=owner
was ^vbd+bedz+vrb++=was
in ^cs+sub+++=in
that ^cs"++++=that
state ^nn++++=state
of ^in++++=of
mild ^jj+atrb+++=mild
hypnosis ^nn++++=hypnosis
known ^vbd+vprv++xvbn+=known
as ^in++++=as
" ^zz++++="turkey-dreaming."
turkey ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
