They ^pp3a+pp3+++=They
may ^md+pos+++=may
say ^vb+vpub+tht0++=say
baseball ^nn++++=baseball
is ^vbz+bez+vrb++=is
the ^ati++++=the
same ^ap++++=same
in ^in++++=in
the ^ati++++=the
minor ^jj+atrb+++=minor
leagues ^nns++++=leagues
that ^tht+rel+obj++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
big ^jj+atrb+++=big
leagues ^nns++++=leagues,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
any ^dti++++=any
old ^jj+atrb+++=old
ball ^nn++++=ball
player ^nn++++=player
or ^cc++++=or
manager ^nn++++=manager
knows ^vbz+vprv+++=knows
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
the ^ati++++=the
difference ^nn+nom+++=difference
comes ^vbz++++=comes
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
greater ^jjr+atrb+++=greater
excellence ^nn+nom+++=excellence
and ^cc++++=and
unity ^nn++++=unity
of ^in++++=of
the ^ati++++=the
major ^jj+atrb+++=major
players ^nns+nom+++=players,
, ^zz++++=EXTRAWORD
a ^at++++=a
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
a ^at++++=a
daring ^nvbg+++xvbg+=daring,
, ^zz++++=EXTRAWORD
a ^at++++=a
finish ^vb++++=finish
that ^dt+pdem+++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
acquired ^vpsv++agls+xvbnx+=acquired
only ^rb+down+++=only
in ^in++++=in
competition ^nn+nom+++=competition
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
this ^dt+pdem+++=this
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
led ^vbd+++xvbnx+=led
my ^pp$+pp1+++=my
party ^nn++++=party
into ^in++++=into
Morrisey ^np++++=Morrisey's
's ^$++++=EXTRAWORD
private ^jj+atrb+++=private
box ^nn++++=box
in ^in++++=in
the ^ati++++=the
grand ^nn++++=grand
stand ^vb++++=stand
of ^in++++=of
the ^ati++++=the
Chicago ^np++++=Chicago
American ^jj+atrb+++=American
League ^nn++++=League
grounds ^nns++++=grounds.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
Rube ^np++++=Rube's
's ^$++++=EXTRAWORD
break ^vb++++=break
into ^in+ppvb+++=into
fast ^jj+atrb+++=fast
company ^nn++++=company.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
great ^jj+atrb+++=great
pitcher ^nn++++=pitcher,
, ^zz++++=EXTRAWORD
Whittaker ^nn+nom+++=Whittaker
Hurtle ^np+++??+=Hurtle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Rube ^np+++??+=Rube,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
won ^vprf+++xvbnx+=won
the ^ati++++=the
Eastern ^jj+atrb+++=Eastern
League ^nn++++=League
Pennant ^np+nom++??+=Pennant
for ^in++++=for
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
season ^nn++++=season,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Morrisey ^np+++??+=Morrisey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chicago ^np++++=Chicago
magnate ^nn+nom+++=magnate,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Milly ^np+++??+=Milly,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
affianced ^jj+++xvbn+=affianced,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
as ^ql++++=as
happy ^jj++++=happy
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
chaperoned ^vpsv++by+xvbnx+=chaperoned
by ^in++++=by
her ^pp3o+pp3+++=her
mother ^npt++++=mother,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nelson ^np++++=Nelson.
. ^zz++++=EXTRAWORD
With ^in++++=With
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
two ^cd++++=two
veterans ^nns+nom+++=veterans
of ^in++++=of
my ^pp$+pp1+++=my
team ^nn++++=team,
, ^zz++++=EXTRAWORD
Mccall ^np+++??+=McCall
and ^cc++++=and
Spears ^nns++++=Spears,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
Chicago ^np++++=Chicago,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
would ^md+prd+++=would
have ^vb+hv+aux++=have
traveled ^vprf+++xvbnx+=traveled
a ^ap++++=a
few ^ap"++++=few
miles ^nns++++=miles
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
Rube ^np+++??+=Rube
pitch ^nn++++=pitch.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
other ^ap++++=other
member ^nn++++=member
of ^in++++=of
my ^pp$+pp1+++=my
party ^nn++++=party
was ^vbd+bedz+vrb++=was
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Hurtle ^np++++=Hurtle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Rube ^np++++=Rube's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
as ^ql++++=as
saucy ^vb+++??+=saucy
and ^cc++++=and
as ^in++++=as
sparkling ^jj++++=sparkling-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
as ^ql++++=as
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
Nan ^np++++=Nan
Brown ^np++++=Brown.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=Today
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
a ^at++++=a
new ^jj+atrb+++=new
tailor ^nn++++=tailor-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
bonnet ^nn++++=bonnet,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
gloves ^nns++++=gloves--she
-- ^--+clp+++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
decorated ^vprf+++xvbnx+=decorated
herself ^ppl+pp3+++=herself
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
befitting ^vwbg+++xvbg+=befitting
the ^ati++++=the
wife ^nn++++=wife
of ^in++++=of
a ^at++++=a
major ^jj+atrb+++=major
league ^nn++++=league
pitcher ^nn++++=pitcher.
. ^zz++++=EXTRAWORD
Morrisey ^np++++=Morrisey's
's ^$++++=EXTRAWORD
box ^nn++++=box
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
comfortable ^jj++++=comfortable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
pleased ^jj++agls+xvbnx+=pleased
to ^to+jcmp+++=to
note ^vbi+vprv+++=note,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
situated ^jj+++xvbn+=situated
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
a ^at++++=a
fine ^jj+atrb+++=fine
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
field ^nn++++=field
and ^cc++++=and
stands ^nns++++=stands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
were ^vbd+bed+vrb++=were
comparatively ^rb++++=comparatively
secluded ^jj+pred+++=secluded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bleachers ^nns+nom+++=bleachers
were ^vbd+bed+aux++=were
filling ^nvbg+++xvbg+=filling.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
Chicago ^np++++=Chicago
players ^nns+nom+++=players
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
field ^nn++++=field
tossing ^vwbg+++xvbg+=tossing
and ^cc++++=and
batting ^nn++++=batting
balls ^nns++++=balls;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Rube ^np+++??+=Rube,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
appeared ^vbd+seem++xvbn+=appeared.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
a ^at++++=a
metallic ^jj+atrb+++=metallic
sound ^nn++++=sound
was ^vbd+bedz+aux++=was
heard ^vpsv++agls+xvbnx+=heard
on ^in++++=on
the ^ati++++=the
stairs ^nns++++=stairs
leading ^vwbg+++xvbg+=leading
up ^rp++++=up
into ^in++++=into
the ^ati++++=the
box ^nn++++=box.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it
for ^in++++=for
baseball ^nn++++=baseball
spiked ^jj+atrb+++=spiked
shoes ^nns++++=shoes
clanking ^vwbg+++xvbg+=clanking
on ^in++++=on
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rube ^np+++??+=Rube,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
enormous ^jj++++=enormous
in ^in++++=in
his ^pp$+pp3+++=his
uniform ^nn++++=uniform,
, ^zz++++=EXTRAWORD
stalked ^j+++xvbn+=stalked
into ^in++++=into
the ^ati++++=the
box ^nn++++=box,
, ^zz++++=EXTRAWORD
knocking ^vbg+++xvbg+=knocking
over ^rb+phrv+++=over
two ^cd++++=two
chairs ^nns++++=chairs
as ^ql++++=as
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
a ^at++++=a
fielder ^jjr+atrb+++=fielder's
's ^vbz+bez+vrb++0=EXTRAWORD
glove ^nn++++=glove
in ^in++++=in
one ^cd1++++=one
huge ^jj+atrb+++=huge
freckled ^jj+atrb+++=freckled
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
big ^jj+atrb+++=big
black ^jj+atrb+++=black
bat ^nn++++=bat
in ^in++++=in
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Nan ^np++++=Nan,
, ^zz++++=EXTRAWORD
with ^in++++=with
much ^ap++++=much
dignity ^nn+nom+++=dignity
and ^cc++++=and
a ^at++++=a
very ^ql+amp+++=very
manifest ^vb++++=manifest
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
introduced ^xvbn+++xvbn+=introduced
him ^pp3o+pp3+++=him
to ^in++++=to
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Nelson ^np++++=Nelson.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
a ^rb++splt++=a
little ^rb"++++=little
chatting ^vbg+++xvbg+=chatting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
Manager ^nn++++=Manager
Morrisey ^np+++??+=Morrisey,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
men ^nns++++=men
retired ^vbd+++xvbn+=retired
to ^in++++=to
the ^ati++++=the
back ^nn++++=back
of ^in++++=of
the ^ati++++=the
box ^nn++++=box
to ^to++++=to
talk ^vbi++++=talk
baseball ^nn++++=baseball.
. ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
was ^vbd+bedz+vrb++=was
in ^in++++=in
fourth ^od++++=fourth
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
league ^nn++++=league
race ^nn++++=race,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
a ^at++++=a
fighting ^jj+atrb++xvbg+=fighting
chance ^nn++++=chance
to ^to+ncmp+++=to
beat ^vbi++++=beat
Detroit ^np+++??+=Detroit
out ^rb+phrv+++=out
for ^in+ppvb+++=for
the ^ati++++=the
third ^nn++++=third
position ^nn+nom+++=position.
. ^zz++++=EXTRAWORD
Philadelphia ^np++++=Philadelphia
was ^vbd+bedz+aux++=was
scheduled ^vpsv++agls+xvbnx+=scheduled
for ^in++++=for
that ^dt+dem+++=that
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Philadelphia ^np++++=Philadelphia
had ^vb+hv+vrb++=had
a ^at++++=a
great ^jj+atrb+++=great
team ^nn++++=team.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
leading ^vbg+++xvbgx+=leading
the ^ati++++=the
race ^nn++++=race,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
beyond ^in++++=beyond
all ^abn++++=all
question ^nn+nom+++=question
would ^md+prd+++=would
land ^vb++++=land
the ^ati++++=the
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
In ^in++++=In
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
one ^cd1++++=one
more ^rbr++++=more
victory ^nn++++=victory
was ^vbd+bedz+aux++=was
needed ^vpsv++agls+xvbnx+=needed
to ^to+vcmp+++=to
clinch ^vb+++??+=clinch
the ^ati++++=the
pennant ^nn+nom+++=pennant.
. ^zz++++=EXTRAWORD
The ^ati++++=The
team ^nn++++=team
had ^vb+hv+vrb++=had
three ^cd++++=three
games ^nns++++=games
to ^to++++=to
play ^vbi++++=play
in ^in++++=in
Chicago ^np++++=Chicago
and ^cc++++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
to ^in++++=to
wind ^nn++++=wind
up ^rp++++=up
the ^ati++++=the
season ^nn++++=season
with ^in++++=with
three ^cd++++=three
in ^in++++=in
Washington ^np++++=Washington.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
games ^nns++++=games
