When ^wrb+who+++=WHEN,
, ^zz++++=EXTRAWORD
some ^dti++++=some
fifty ^cd++++=fifty
years ^nns++++=years
hence ^rb+cnj+++=hence,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
grandchildren ^nn++++=grandchildren
ask ^vb++++=ask
me ^pp1o+pp1+++=me
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
at ^in++++=at
Oxford ^np++++=Oxford
in ^in++++=in
the ^ati++++=the
remote ^jj+atrb+++=remote
days ^nns++++=days
towards ^in++++=towards
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
our ^pp$+pp1+++=our
monstrous ^jj+atrb+++=monstrous
century ^nn++++=century,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
look ^vb++++=look
back ^jjb++++=back
across ^in+pl+++=across
the ^ati++++=the
widening ^jj+atrb++xvbg+=widening
gulf ^nn++++=gulf
of ^in++++=of
time ^nn++++=time
and ^cc++++=and
tell ^vb++++=tell
them ^pp3o+pp3+++=them
with ^in++++=with
perfect ^jj+atrb+++=perfect
good ^jj+atrb+++=good
faith ^nn++++=faith
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
never ^rb++++=never
worked ^vbd+++xvbn+=worked
less ^rbr++++=less
than ^in++++=than
eight ^cd++++=eight
hours ^nns++++=hours
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
a ^at++++=a
keen ^jj+atrb+++=keen
interest ^nn++++=interest
in ^in++++=in
Social ^jj+atrb+++=Social
Service ^nn++++=Service,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
coffee ^nn++++=coffee
was ^vbd+bedz+vrb++=was
the ^ati++++=the
strongest ^jjt+atrb+++=strongest
stimulant ^nn+nom+++=stimulant
in ^in++++=in
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
indulged ^vprf+++xvbn+=indulged.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
will ^md+prd+++=will
very ^ql+amp+++=very
justly ^rb++++=justly
say ^vb+vpub+++=say
but ^cc++++=but
I ^pp1a+pp1+++=I
hope ^nn++++=hope
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
out ^rp+pl+++=out
of ^in++++=of
