Perhaps ^rb++++=PERHAPS
It ^pp3+it+++=IT
Was ^vbd+bedz+vrb++=WAS
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
January ^nr+nom+++=January
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
year ^nn++++=year
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
first ^od++++=first
looked ^vbd+++xvbn+=looked
up ^rp++++=up
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
fix ^vb++++=fix
a ^at++++=a
date ^nn++++=date
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
remember ^nn+nom+++=remember
what ^wdt+who+++=what
one ^cd1++++=one
saw ^vbd+vprv++xvbn+=saw.
. ^zz++++=EXTRAWORD
So ^ql++++=So
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
fire ^nn++++=fire;
; ^zz++++=EXTRAWORD
the ^ati++++=the
steady ^jj+atrb+++=steady
film ^nn++++=film
of ^in++++=of
yellow ^jj++++=yellow
light ^jj++++=light
upon ^in++++=upon
the ^ati++++=the
page ^nn++++=page
of ^in++++=of
my ^pp$+pp1+++=my
book ^nn++++=book;
; ^zz++++=EXTRAWORD
the ^ati++++=the
three ^cd++++=three
chrysanthemums ^nns++++=chrysanthemums
in ^in++++=in
the ^ati++++=the
round ^jj+atrb+++=round
glass ^nn++++=glass
bowl ^nn++++=bowl
on ^in++++=on
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
winter ^nn++++=winter
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
finished ^vprf+++xvbnx+=finished
our ^pp$+pp1+++=our
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
smoking ^vbg+++xvbgx+=smoking
a ^at++++=a
cigarette ^nn+nom+++=cigarette
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
mark ^nn++++=mark
on ^in++++=on
the ^ati++++=the
wall ^nn++++=wall
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
smoke ^nn++++=smoke
of ^in++++=of
my ^pp$+pp1+++=my
cigarette ^nn+nom+++=cigarette
and ^cc++++=and
my ^pp$+pp1+++=my
eye ^nn++++=eye
lodged ^vbd+++xvbn+=lodged
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
upon ^in++++=upon
the ^ati++++=the
burning ^jj+atrb++xvbg+=burning
coals ^nns++++=coals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
old ^jj+atrb+++=old
fancy ^nn++++=fancy
of ^in++++=of
the ^ati++++=the
crimson ^nn+++??+=crimson
flag ^nn++++=flag
flapping ^vwbg+++xvbg+=flapping
from ^in++++=from
the ^ati++++=the
castle ^nn++++=castle
tower ^nn++++=tower
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
of ^in++++=of
the ^ati++++=the
cavalcade ^nn+++??+=cavalcade
of ^in++++=of
red ^jj+atrb+++=red
knights ^nns++++=knights
riding ^vwbg+++xvbg+=riding
up ^rp++++=up
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
black ^jj+atrb+++=black
rock ^npl++++=rock.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
to ^in++++=to
my ^pp$+pp1+++=my
relief ^nn++++=relief
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
mark ^nn++++=mark
interrupted ^vbd+++xvbn+=interrupted
the ^ati++++=the
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
an ^at++++=an
old ^jj+atrb+++=old
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
an ^at++++=an
automatic ^jj+atrb+++=automatic
fancy ^nn++++=fancy,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
as ^ql++++=as
a ^at++++=a
child ^nn++++=child
perhaps ^rb++++=perhaps.
