When ^wrb+who+++=WHEN
Tig ^np+++??+=Tig
Braddock ^np+++??+=Braddock
came ^vbd+++xvbn+=came
to ^in++++=to
Nora ^np+++??+=Nora
Finnegan ^np+nom++??+=Finnegan
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
red ^jj+pred+++=red-headed
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
freckled ^jj++++=freckled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
truth ^nn++++=truth
to ^to++++=to
tell ^vbi++++=tell,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
with ^in++++=with
these ^dt+dem+++=these
features ^nns++++=features
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life
- ^zz++++=-a
a ^at++++=EXTRAWORD
life ^nn++++=life
prolonged ^vwbn+++xvbn+=prolonged
by ^in++++=by
a ^at++++=a
lucky ^jj++++=lucky,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
somewhat ^rb+down+++=somewhat
improbable ^jj++++=improbable,
, ^zz++++=EXTRAWORD
incident ^nn++++=incident,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
Tig ^np+++??+=Tig
had ^vbd+hvd+aux++=had
shuffled ^vprf+++xvbnx+=shuffled
off ^in+pl+++=off
his ^pp$+pp3+++=his
parents ^nns++++=parents
as ^ql++++=as
saurians ^nns++++=saurians,
, ^zz++++=EXTRAWORD
of ^in++++=of
some ^dti++++=some
sorts ^nns++++=sorts,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
their ^pp$+pp3+++=their
skins ^nns++++=skins.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
temporary ^jj+atrb+++=temporary
absence ^nn+nom+++=absence
from ^in++++=from
home ^nr++++=home
of ^in++++=of
his ^pp$+pp3+++=his
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
bridewell ^nn+++??+=bridewell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
extended ^jj+atrb++xvbn+=extended
vacation ^nn+nom+++=vacation
of ^in++++=of
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
like ^in++++=like
Villon ^np+++??+=Villon,
, ^zz++++=EXTRAWORD
loved ^j+++xvbn+=loved
the ^ati++++=the
open ^jj+atrb+++=open
road ^npl++++=road
and ^cc++++=and
the ^ati++++=the
life ^nn++++=life
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Tig ^np+++??+=Tig,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
well ^rb++++=well-domesticated
- ^zz++++=EXTRAWORD
domesticated ^jj+atrb+++=EXTRAWORD
animal ^nn++++=animal,
, ^zz++++=EXTRAWORD
wandered ^j+++xvbn+=wandered
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
The ^ati++++=The
humane ^jj+atrb+++=humane
society ^nn++++=society
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
neighbors ^nns++++=neighbors
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
miss ^npt++++=miss
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
law ^nn++++=law
took ^vbd+++xvbn+=took
no ^at++++=no
cognizance ^nn+nom+++=cognizance
of ^in++++=of
this ^dt+dem+++=this
detached ^jj+atrb++xvbn+=detached
citizen ^nn++++=citizen
- ^zz++++=-this
this ^dt+pdem+++=EXTRAWORD
lost ^vbd+++xvbn+=lost
pleiad ^nn+++??+=pleiad.
. ^zz++++=EXTRAWORD
Tig ^np+++??+=Tig
would ^md+prd+++=would
have ^vb+hv+aux++=have
sunk ^vprf+++xvbnx+=sunk
into ^in++++=into
that ^dt+dem+++=that
melancholy ^jj++++=melancholy
which ^whp+who+++=which
is ^vbz+bez+vrb++=is
attendant ^nn+nom+++=attendant
upon ^in++++=upon
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
- ^zz++++=-the
the ^ati++++=EXTRAWORD
only ^rb+down+++=only
form ^nn++++=form
of ^in++++=of
despair ^nn++++=despair
which ^whp+rel+obj++=which
babyhood ^nn+nom+++=babyhood
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
- ^zz++++=-if
if ^cs+cnd+++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
wandered ^xvbn+++xvbn+=wandered
across ^in+pl+++=across
the ^ati++++=the
path ^nn++++=path
of ^in++++=of
Nora ^np+++??+=Nora
Finnegan ^np+nom++??+=Finnegan.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
Nora ^np+++??+=Nora
shone ^vbd+++xvbn+=shone
with ^in++++=with
steady ^jj+atrb+++=steady
brightness ^nns+nom+++=brightness
in ^in++++=in
her ^pp$+pp3+++=her
orbit ^nn++++=orbit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
sooner ^rbr++++=sooner
had ^vb+hv+aux++=had
Tig ^np+++??+=Tig
entered ^vbd+++xvbn+=entered
her ^pp$+pp3+++=her
atmosphere ^nn++++=atmosphere,
, ^zz++++=EXTRAWORD
than ^in++++=than
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
warmed ^vpsv++agls+xvbnx+=warmed
and ^cc+phrs+++=and
comforted ^vbd+++xvbn+=comforted.
. ^zz++++=EXTRAWORD
Hunger ^nn++++=Hunger
could ^md+pos+++=could
not ^xnot++not++=not
live ^vb++++=live
where ^wrb+who+++=where
Nora ^np+++??+=Nora
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
The ^ati++++=The
basement ^nn+nom+++=basement
room ^nn++++=room
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
kept ^vbd+++xvbnx+=kept
house ^npl++++=house
was ^vbd+bedz+vrb++=was
redolent ^jj+pred+++=redolent
with ^in++++=with
savory ^nn++++=savory
smells ^nns++++=smells;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
stove ^nn++++=stove
in ^in++++=in
her ^pp$+pp3+++=her
front ^jjb+atrb+++=front
room ^nn++++=room
- ^zz++++=-which
which ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
also ^rb++++=also
her ^pp$+pp3+++=her
bedroom ^nn++++=bedroom
- ^zz++++=-there
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
bright ^jj+atrb+++=bright
fire ^nn++++=fire
glowing ^vwbg+++xvbg+=glowing
when ^wrb+who+++=when
fire ^nn++++=fire
was ^vbd+bedz+aux++=was
needed ^vpsv++agls+xvbnx+=needed.
. ^zz++++=EXTRAWORD
Nora ^np+++??+=Nora
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
washing ^nvbg+++xvbg+=washing
for ^in++++=for
a ^at++++=a
living ^nvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
poor ^jj+atrb+++=poor
washerwoman ^nn+nom+++=washerwoman.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
washerwoman ^jj++++=washerwoman
triumphant ^jj++++=triumphant.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
perfect ^jj+atrb+++=perfect
health ^nn++++=health,
, ^zz++++=EXTRAWORD
an ^at++++=an
enormous ^jj+atrb+++=enormous
frame ^nn++++=frame,
, ^zz++++=EXTRAWORD
an ^at++++=an
abounding ^jj+atrb+++=abounding
enthusiasm ^nn++++=enthusiasm
for ^in++++=for
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
rich ^jj+atrb+++=rich
abundance ^nn+nom+++=abundance
of ^in++++=of
professional ^jj+atrb+++=professional
pride ^nn++++=pride.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
believed ^vbd+vprv+tht0+xvbnx+=believed
herself ^ppl+pp3+++=herself
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
best ^jjt+atrb+++=best
washer ^nn++++=washer
of ^in++++=of
white ^jj+atrb+++=white
clothes ^nns++++=clothes
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
ever ^rb++++=ever
had ^vb+hv+vrb++=had
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
knowing ^xvbg+++xvbg+=knowing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
value ^nn++++=value
placed ^vwbn+++xvbn+=placed
upon ^in++++=upon
her ^pp$+pp3+++=her
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
long ^rb++++=long
connection ^nn+nom+++=connection
with ^in++++=with
certain ^jj+atrb+++=certain
families ^nns++++=families
with ^in++++=with
large ^jj+atrb+++=large
weekly ^jj+atrb+++=weekly
washings ^nns++++=washings,
, ^zz++++=EXTRAWORD
bore ^j+++xvbn+=bore
out ^rp+pl+++=out
this ^dt+dem+++=this
estimate ^nn+nom+++=estimate
of ^in++++=of
herself ^ppl+pp3+++=herself
- ^zz++++=-an
an ^at++++=EXTRAWORD
estimate ^nn+nom+++=estimate
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
never ^rb++++=never
endeavored ^vb+++xvbn+=endeavored
to ^to+vcmp+++=to
conceal ^vbi++++=conceal.
. ^zz++++=EXTRAWORD
Nora ^np+++??+=Nora
had ^vbd+hvd+aux++=had
buried ^vprf+++xvbnx+=buried
two ^cd++++=two
husbands ^nns++++=husbands
without ^in++++=without
being ^xvbg+++xvbg+=being
unduly ^rb++++=unduly
depressed ^vpsv++by+xvbn+=depressed
by ^in++++=by
the ^ati++++=the
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
husband ^nn++++=husband
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
disappointment ^nn+nom+++=disappointment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nora ^np+++??+=Nora
winked ^vbd+++xvbn+=winked
at ^in++++=at
Providence ^np+nom++??+=Providence
when ^wrb+who+++=when
an ^at++++=an
accident ^nn++++=accident
in ^in++++=in
a ^at++++=a
tunnel ^nn++++=tunnel
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
off ^rp+pl+++=off
- ^zz++++=-that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
the ^ati++++=the
husband ^nn++++=husband
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
husband ^nn++++=husband
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
a ^at++++=a
disappointment ^nn+nom+++=disappointment
as ^in++++=as
a ^at++++=a
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
