Blood ^nn++++=Blood
for ^in++++=for
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
rank ^nn++++=rank
for ^in++++=for
rank ^nn++++=rank.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--Thlinket
thlinket ^nn+++??+=EXTRAWORD
Code ^nn++++=Code.
. ^zz++++=EXTRAWORD
" ^zz++++="Hear
hear ^vb+vprv+++=EXTRAWORD
now ^rn+tm+++=now
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
Ligoun ^np+++??+=Ligoun--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
speaker ^npt++++=speaker
ceased ^vbd+++xvbn+=ceased,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
suspended ^vbd+++xvbn+=suspended
utterance ^nn+nom+++=utterance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gazed ^vpsv++agls+xvbn+=gazed
upon ^in++++=upon
me ^pp1o+pp1+++=me
with ^in++++=with
an ^at++++=an
eye ^nn++++=eye
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
bottle ^nn++++=bottle
between ^in++++=between
our ^pp$+pp1+++=our
eyes ^nns++++=eyes
and ^cc++++=and
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
indicated ^j+++xvbn+=indicated
with ^in++++=with
my ^pp$+pp1+++=my
thumb ^nn++++=thumb
the ^ati++++=the
depth ^nn++++=depth
of ^in++++=of
the ^ati++++=the
draught ^nn++++=draught,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shoved ^xvbn+++xvbn+=shoved
it ^pp3+it+++=it
over ^rb++++=over
to ^in++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
for ^in++++=for
was ^vbd+bedz+vrb++=was
he ^pp3a+pp3+++=he
not ^xnot++not++=not
Palitlum ^np+++??+=Palitlum,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Drinker ^np+++??+=Drinker?
? ^zz++++=EXTRAWORD
Many ^ap++++=Many
tales ^nns++++=tales
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
long ^rb++++=long
had ^vb+hv+aux++=had
I ^pp1a+pp1+++=I
waited ^vbd+++xvbnx+=waited
for ^in++++=for
this ^dt+dem+++=this
scriptless ^jj+atrb+++=scriptless
scribe ^nn++++=scribe
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
the ^ati++++=the
things ^nns++++=things
concerning ^in++++=concerning
Ligoun ^np+++??+=Ligoun;
; ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
of ^in++++=of
all ^abn++++=all
men ^nns++++=men
living ^vwbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
knew ^j+++xvbn+=knew
these ^dt+dem+++=these
things ^nns++++=things
best ^jjt++++=best.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tilted ^vbd+++xvbnx+=tilted
back ^jjb++++=back
his ^pp$+pp3+++=his
head ^nn++++=head
with ^in++++=with
a ^at++++=a
grunt ^vprf+++xvbn+=grunt
that ^dt+dem+++=that
slid ^vprf+++xvbn+=slid
swiftly ^rb++++=swiftly
into ^in++++=into
a ^at++++=a
gurgle ^vb++++=gurgle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
man ^nn++++=man's
's ^$++++=EXTRAWORD
torso ^nn++++=torso,
, ^zz++++=EXTRAWORD
monstrous ^jj++++=monstrous
beneath ^in+pl+++=beneath
a ^at++++=a
huge ^jj+atrb+++=huge
inverted ^jj+atrb++xvbn+=inverted
bottle ^nn++++=bottle,
, ^zz++++=EXTRAWORD
wavered ^j+++xvbn+=wavered
and ^cc+phrs+++=and
danced ^jj+++xvbn+=danced
on ^in++++=on
the ^ati++++=the
frown ^nn++++=frown
of ^in++++=of
the ^ati++++=the
cliff ^np++++=cliff
at ^rb++++=at
our ^pp$+pp1+++=our
backs ^nns++++=backs.
. ^zz++++=EXTRAWORD
Palitlum ^np+++??+=Palitlum
released ^vwbn+++xvbn+=released
his ^pp$+pp3+++=his
lips ^nns++++=lips
from ^in++++=from
the ^ati++++=the
glass ^nn++++=glass
with ^in++++=with
a ^at++++=a
caressing ^xvbg+++xvbg+=caressing
suck ^vb++++=suck
and ^cc+phrs+++=and
glanced ^vbd+++xvbn+=glanced
regretfully ^rb++++=regretfully
up ^rp++++=up
into ^in++++=into
the ^ati++++=the
ghostly ^jj+atrb+++=ghostly
vault ^nn++++=vault
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky
where ^wrb+who+++=where
played ^vbd+++xvbn+=played
the ^ati++++=the
wan ^jj++++=wan
white ^jj++++=white
light ^jj++++=light
of ^in++++=of
the ^ati++++=the
summer ^nn++++=summer
borealis ^nns+++??+=borealis.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
be ^vb+be+vrb++=be
strange ^jj+pred+++=strange,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="cold
cold ^jj++++=EXTRAWORD
like ^in++++=like
water ^nn++++=water
and ^cc++++=and
hot ^jj++++=hot
like ^in++++=like
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
drinker ^jjr++++=drinker
it ^pp3+it+++=it
giveth ^vbz++++=giveth
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
the ^ati++++=the
drinker ^jjr++++=drinker
it ^pp3+it+++=it
taketh ^vbz++++=taketh
away ^rp+pl+++=away
strength ^nn++++=strength.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
maketh ^vbz++++=maketh
old ^jj+atrb+++=old
men ^nns++++=men
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
young ^jj+atrb+++=young
men ^nns++++=men
old ^jj++++=old.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
weary ^jj+pred+++=weary
it ^pp3+it+++=it
leadeth ^vbz++++=leadeth
him ^pp3o+pp3+++=him
to ^to++++=to
get ^vbi++++=get
up ^rp++++=up
and ^cc++++=and
go ^vb++++=go
onward ^jjb++++=onward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
man ^nn++++=man
