After ^cs+sub+++=AFTER
being ^xvbg+++xvbg+=being
dead ^jj++++=dead
twenty ^cd++++=twenty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
sunshine ^nn++++=sunshine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
bones ^nns++++=bones
of ^in++++=of
a ^at++++=a
bleached ^jj+atrb++xvbn+=bleached
skeleton ^nn++++=skeleton
should ^md+nec+++=should
join ^vb++++=join
themselves ^ppls+pp3+++=themselves
on ^in++++=on
some ^dti++++=some
forgotten ^jj+atrb++xvbn+=forgotten
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
look ^vb++++=look
about ^rb++++=about
them ^pp3o+pp3+++=them
for ^in++++=for
the ^ati++++=the
vanished ^jj+atrb++xvbn+=vanished
flesh ^nn++++=flesh.
. ^zz++++=EXTRAWORD
To ^to++++=To
be ^vbi++vrb++=be
dead ^jj+pred+++=dead
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
necessary ^jj++++=necessary
to ^to+jcmp+++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
grave ^nn++++=grave.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
places ^nns++++=places
where ^wrb+who+++=where
the ^ati++++=the
worms ^nns++++=worms
creep ^vb++++=creep
about ^in++++=about
the ^ati++++=the
heart ^nn++++=heart
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
The ^ati++++=The
penitentiary ^nn+nom+++=penitentiary
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
these ^dt+pdem+++=these.
. ^zz++++=EXTRAWORD
David ^np++++=David
Culross ^np+++??+=Culross
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
the ^ati++++=the
penitentiary ^nn+nom+++=penitentiary
twenty ^cd++++=twenty
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
with ^in++++=with
that ^cs+sub+++=that
worm ^nn++++=worm-eaten
- ^zz++++=EXTRAWORD
eaten ^vbd+++xvbn+=EXTRAWORD
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
