Although ^cs+con+++=Although
Detective ^nn++++=Detective
Gubb ^np++++=Gubb's
's ^$++++=EXTRAWORD
experience ^nn+nom+++=experience
with ^in++++=with
the ^ati++++=the
oubliette ^nn+nom+++=oubliette-elevator
- ^zz++++=EXTRAWORD
elevator ^nn++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
lead ^vb++++=lead
to ^in++++=to
the ^ati++++=the
detection ^nn+nom+++=detection
of ^in++++=of
the ^ati++++=the
dynamiters ^nns+nom+++=dynamiters
for ^in++++=for
whom ^whp+rel+pied++=whom
a ^at++++=a
reward ^nn++++=reward
of ^in++++=of
five ^cd++++=five
thousand ^cd++++=thousand
dollars ^nns++++=dollars
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
the ^ati++++=the
payment ^nn+nom+++=payment
to ^in++++=to
him ^pp3o+pp3+++=him
of ^in++++=of
one ^cd1++++=one
half ^nn++++=half
of ^in++++=of
three ^cd++++=three
fines ^nns++++=fines
of ^in++++=of
five ^cd++++=five
hundred ^cd++++=hundred
dollars ^nns++++=dollars
for ^in++++=for
each ^dt++++=each
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
stores ^nns++++=stores
of ^in++++=of
whiskey ^nn+++??+=whiskey
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
unearthed ^vprf+++xvbn+=unearthed.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
money ^nn++++=money,
, ^zz++++=EXTRAWORD
amounting ^vbg+++xvbg+=amounting
to ^to++++=to
seven ^cd++++=seven
hundred ^cd++++=hundred
and ^cc++++=and
fifty ^cd++++=fifty
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
home ^nr++++=home
of ^in++++=of
Jonas ^np+++??+=Jonas
Medderbrook ^np+++??+=Medderbrook
and ^cc++++=and
paid ^vprf+++xvbn+=paid
that ^dt+dem+++=that
gentleman ^nn+nom+++=gentleman
the ^ati++++=the
entire ^jjb+atrb+++=entire
amount ^nn++++=amount.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
there ^rn+pl+++=there
payment ^nn+nom+++=payment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubb ^np++++=Gubb
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="deducted
deducted ^vbd+++xvbn+=EXTRAWORD
from ^in++++=from
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
owe ^vb++++=owe
onto ^in++++=onto
them ^pp3o+pp3+++=them
shares ^nns++++=shares
of ^in++++=of
Perfectly ^rb+amp+++=Perfectly
Worthless ^jj+atrb+++=Worthless
Gold ^nn++++=Gold-Mine
- ^zz++++=EXTRAWORD
mine ^nn++++=EXTRAWORD
Stock ^nn++++=Stock--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
please ^uh++++=please,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
Utterly ^rb+amp+++=Utterly
Hopeless ^jj+pred+++=Hopeless
and ^cc++++=and
not ^xnot++not++=not
Perfectly ^rb+amp+++=Perfectly
Worthless ^jj++++=Worthless,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Medderbrook ^np++++=Medderbrook
severely ^rb++++=severely.
. ^zz++++=EXTRAWORD
