In ^in++++=IN
a ^at++++=a
village ^nn+nom+++=village
there ^rn+pl+++=there
once ^cs+tm+++=once
lived ^vprf+++xvbn+=lived
two ^cd++++=two
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
the ^ati++++=the
same ^ap++++=same
name ^nn++++=name.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
both ^abx++++=both
called ^jj+++xvbn+=called
Claus ^np+++??+=Claus.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
had ^vb+hv+vrb++=had
four ^cd++++=four
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
other ^ap++++=other
had ^vb+hv+vrb++=had
only ^rb+down+++=only
one ^pn++++=one;
; ^zz++++=EXTRAWORD
so ^ql++++=so
to ^to++++=to
distinguish ^vbi++++=distinguish
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
people ^nns++++=people
called ^vbd+++xvbn+=called
the ^ati++++=the
owner ^nn++++=owner
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
Great ^jj+atrb+++=Great
Claus ^np+++??+=Claus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
who ^whp+who+++=who
had ^vb+hv+vrb++=had
only ^rb+down+++=only
one ^pn++++=one,
, ^zz++++=EXTRAWORD
Little ^ap++++=Little
Claus ^np+++??+=Claus.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
hear ^vb+vprv+++=hear
what ^wdt+who+whcl++=what
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
for ^in++++=for
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
a ^at++++=a
true ^jj+atrb+++=true
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
whole ^jj+atrb+++=whole
week ^nn++++=week,
, ^zz++++=EXTRAWORD
Little ^ap++++=Little
Claus ^np+++??+=Claus
was ^vbd+bedz+aux++=was
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
plough ^vb++++=plough
for ^in++++=for
Great ^jj+atrb+++=Great
Claus ^np+++??+=Claus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lend ^vb++++=lend
him ^pp3o+pp3+++=him
his ^pp$+pp3+++=his
one ^cd1++++=one
horse ^nn++++=horse;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
a ^at++++=a
week ^nn++++=week,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
Great ^jj+atrb+++=Great
Claus ^np+++??+=Claus
lent ^vbd+++xvbn+=lent
him ^pp3o+pp3+++=him
all ^abn++++=all
his ^pp$+pp3+++=his
four ^cd++++=four
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
how ^wrb+who+++=how
Little ^jj+atrb+++=Little
Claus ^np+++??+=Claus
would ^md+prd+++=would
smack ^vb++++=smack
his ^pp$+pp3+++=his
whip ^nn++++=whip
over ^in++++=over
all ^abn++++=all
five ^cd++++=five
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
as ^ql++++=as
good ^jj++++=good
as ^ql++++=as
his ^pp$+pp3+++=his
own ^ap++++=own
on ^in++++=on
that ^dt+dem+++=that
one ^cd1++++=one
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun
shone ^vbd+++xvbn+=shone
brightly ^rb+cnj+++=brightly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
church ^nn++++=church
bells ^nns++++=bells
were ^vbd+bed+aux++=were
ringing ^vbg+++xvbgx+=ringing
merrily ^rb++++=merrily
as ^in++++=as
the ^ati++++=the
people ^nns++++=people
passed ^vwbn+++xvbn+=passed
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
in ^in++++=in
their ^pp$+pp3+++=their
best ^jjt+atrb+++=best
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
prayer ^nn++++=prayer-books
- ^zz++++=EXTRAWORD
books ^nns++++=EXTRAWORD
under ^in++++=under
their ^pp$+pp3+++=their
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
going ^md"++pmd"++=going
to ^md+prd+++=to
hear ^vb+vprv+tht0++=hear
the ^ati++++=the
clergyman ^nn+nom+++=clergyman
preach ^vb++++=preach.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
Little ^ap++++=Little
Claus ^np+++??+=Claus
ploughing ^vwbg+++xvbg+=ploughing
with ^in++++=with
his ^pp$+pp3+++=his
five ^cd++++=five
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
proud ^jj++++=proud
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
smacked ^vbd+++xvbnx+=smacked
his ^pp$+pp3+++=his
whip ^nn++++=whip,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
Gee ^np++++=Gee-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
five ^cd++++=five
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
not ^xnot++not++=not
say ^vb+vpub+tht0++=say
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
said ^jj+atrb++xvbn+=said
Big ^jj+atrb+++=Big
Claus ^np+++??+=Claus;
; ^zz++++=EXTRAWORD
for ^in++++=for
only ^rb+down+++=only
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
belongs ^vbz++++=belongs
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Little ^jj+atrb+++=Little
Claus ^np+++??+=Claus
soon ^rb+tm+++=soon
forgot ^vbd+vprv++xvbn+=forgot
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
any ^dti++++=any
one ^cd1++++=one
passed ^vbd+++xvbn+=passed
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
Gee ^np++++=Gee-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
five ^cd++++=five
horses ^nns++++=horses!
! ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
must ^md+nec+++=must
beg ^vb++++=beg
you ^pp2+pp2+++=you
not ^xnot++not++=not
to ^to++++=to
say ^vbi+vpub+tht0++=say
that ^tht+vcmp+++=that
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
said ^jj+atrb++xvbn+=said
Big ^jj+atrb+++=Big
Claus ^np+++??+=Claus;
; ^zz++++=EXTRAWORD
for ^in++++=for
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
hit ^vb+++xvbn+=hit
your ^pp$+pp2+++=your
horse ^nn++++=horse
on ^in++++=on
the ^ati++++=the
head ^nn++++=head,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
will ^md+prd+++=will
drop ^vb++++=drop
dead ^jj++++=dead
on ^in++++=on
the ^ati++++=the
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
will ^md+prd+++=will
be ^vb+be+vrb++=be
an ^at++++=an
end ^nn++++=end
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promise ^nn++++=promise
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
say ^vb+vpub+++=say
it ^pp3+it+++=it
any ^dti++++=any
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
other ^ap++++=other;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
people ^nns++++=people
came ^vwbn+++xvbn+=came
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
nodding ^vbg+++xvbg+=nodding
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wishing ^vbg+++xvbg+=wishing
him ^pp3o+pp3+++=him
Good ^jj+atrb+++=Good
day ^nn++++=day,
