Some ^dti++++=Some
time ^nn++++=time
ago ^rb++++=ago
I ^pp1a+pp1+++=I
believe ^vb+vprv+tht0++=believe
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
telling ^xvbg+++xvbg+=telling
you ^pp2+pp2+++=you
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
an ^at++++=an
adventure ^nn++++=adventure
which ^whp+rel+subj++=which
happened ^vbd+++xvbn+=happened
to ^to+vcmp+++=to
a ^at++++=a
friend ^nn++++=friend
of ^in++++=of
mine ^nn++++=mine
by ^in++++=by
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Dennistoun ^np+++??+=Dennistoun,
, ^zz++++=EXTRAWORD
during ^in++++=during
his ^pp$+pp3+++=his
pursuit ^nn++++=pursuit
of ^in++++=of
objects ^nns++++=objects
of ^in++++=of
art ^nn++++=art
for ^in++++=for
the ^ati++++=the
museum ^npl++++=museum
at ^rb++++=at
Cambridge ^np++++=Cambridge.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
publish ^vb++++=publish
his ^pp$+pp3+++=his
experiences ^nns+nom+++=experiences
very ^ql+amp+++=very
widely ^rb++++=widely
upon ^in++++=upon
his ^pp$+pp3+++=his
return ^nn++++=return
to ^in++++=to
England ^np++++=England;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
could ^md+pos+++=could
not ^xnot++not++=not
fail ^vb++++=fail
to ^to+vcmp+++=to
become ^vbi++++=become
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
a ^ap++++=a
good ^ap"++++=good
many ^ap"++++=many
of ^in++++=of
his ^pp$+pp3+++=his
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
others ^aps++++=others
to ^in++++=to
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
who ^whp+rel+obj++=who
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time
presided ^vbd+++xvbn+=presided
over ^in++++=over
an ^at++++=an
art ^nn++++=art
museum ^npl++++=museum
at ^rb++++=at
another ^ppls++++=another
University ^npl+nom+++=University.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
the ^ati++++=the
