Do ^vb+do+aux++=Do
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
why ^wrb+who+whcl++=why
Tom ^np++++=Tom
Donahue ^np+++??+=Donahue
is ^vbz+bez+aux++=is
called ^vpsv++agls+xvbnx+=called
" ^zz++++="Lucky
lucky ^jj+atrb+++=EXTRAWORD
Tom ^np++++=Tom"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
more ^rbr++++=more
than ^in++++=than
one ^pn++++=one
in ^in++++=in
ten ^cd++++=ten
of ^in++++=of
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
call ^nn++++=call
him ^pp3o+pp3+++=him
so ^ql++++=so
can ^md+pos+++=can
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
knocked ^vprf+++xvbnx+=knocked
about ^rb+phrv+++=about
a ^at++++=a
deal ^nn++++=deal
in ^in++++=in
my ^pp$+pp1+++=my
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seen ^vbd+vprv++xvbn+=seen
some ^dti++++=some
strange ^jj+atrb+++=strange
sights ^nns++++=sights,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^pn++++=none
stranger ^jjr++++=stranger
than ^in++++=than
the ^ati++++=the
way ^nn++++=way
in ^in++++=in
which ^whp+rel+pied++=which
Tom ^np++++=Tom
gained ^vbd+++xvbn+=gained
that ^dt+dem+++=that
sobriquet ^nn+++??+=sobriquet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
fortune ^nn++++=fortune
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
For ^in++++=For
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
with ^in++++=with
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
certainly ^rb++++=certainly;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
longish ^jj+atrb+++=longish
story ^nn++++=story
and ^cc++++=and
a ^at++++=a
very ^ql+amp+++=very
strange ^jj+atrb+++=strange
one ^pn++++=one;
; ^zz++++=EXTRAWORD
so ^ql++++=so
fill ^vb++++=fill
up ^rp++++=up
your ^pp$+pp2+++=your
glass ^nn++++=glass
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
light ^jj++++=light
another ^dt++++=another
cigar ^nn++++=cigar,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
try ^vb++++=try
to ^to+vcmp+++=to
reel ^vbi++++=reel
it ^pp3+it+++=it
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
strange ^jj+atrb+++=strange
one ^pn++++=one;
; ^zz++++=EXTRAWORD
beats ^nns++++=beats
some ^dti++++=some
fairy ^nn++++=fairy
stories ^nns++++=stories
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
