Tomorrow ^nr+tm+++=TOMORROW
Is ^vbz+bez+vrb++=IS
Too ^ql++++=TOO
Far ^rb+pl+++=FAR
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^jj+atrb+++=last
summer ^nn++++=summer
you ^pp2+pp2+++=you
spent ^vbd+++xvbn+=spent
in ^in++++=in
Nigeria ^np++++=Nigeria,
, ^zz++++=EXTRAWORD
the ^ati++++=the
summer ^nn++++=summer
before ^in++++=before
your ^pp$+pp2+++=your
parents ^nns++++=parents'
' ^zz++++=EXTRAWORD
divorce ^nn++++=divorce,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
your ^pp$+pp2+++=your
mother ^nn++++=mother
swore ^vbd+vpub+tht0+xvbn+=swore
you ^pp2+pp2+++=you
would ^md+prd+++=would
never ^rb++++=never
again ^rb+tm+++=again
set ^nn+++xvbn+=set
foot ^nn++++=foot
in ^in++++=in
Nigeria ^np++++=Nigeria
to ^to++++=to
see ^vbi+vprv+++=see
your ^pp$+pp2+++=your
father ^nn++++=father's
's ^$++++=EXTRAWORD
family ^nn++++=family,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
Grandmama ^np+++??+=Grandmama.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
that ^dt+dem+++=that
summer ^nn++++=summer
clearly ^rb+cnj+++=clearly,
, ^zz++++=EXTRAWORD
even ^rb++++=even
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
eighteen ^cd++++=eighteen
years ^nns++++=years
later ^rbr+tm+++=later
the ^ati++++=the
way ^nn++++=way
Grandmama ^np++++=Grandmama's
's ^$++++=EXTRAWORD
yard ^npl++++=yard
felt ^vbd+vprv++xvbn+=felt
moistly ^rb++++=moistly
warm ^jj++++=warm,
, ^zz++++=EXTRAWORD
a ^at++++=a
yard ^nn++++=yard
with ^in++++=with
so ^ql++++=so
many ^ap++++=many
trees ^nns++++=trees
that ^tht+rel+obj++=that
the ^ati++++=the
telephone ^nn++++=telephone
wire ^nn++++=wire
was ^vbd+bedz+vrb++=was
tangled ^jj+pred+++=tangled
in ^in++++=in
leaves ^nns++++=leaves
and ^cc++++=and
different ^jj+atrb+++=different
branches ^nns++++=branches
touched ^vbd+++xvbn+=touched
one ^cd1++++=one
another ^dt++++=another
and ^cc++++=and
sometimes ^rb++++=sometimes
mangoes ^nns++++=mangoes
