Martha ^np+++??+=Martha
Maria ^&fw++++=Maria
Mixon ^np+++??+=Mixon
was ^vbd+bedz+vrb++=was
a ^at++++=a
" ^zz++++="widder
widder ^jjr+atrb+++=EXTRAWORD
lady ^nn++++=lady."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
she ^pp3a+pp3+++=she
described ^vbd+++xvbnx+=described
herself ^ppl+pp3+++=herself
whenever ^nn+nom+++=whenever
anyone ^pn++++=anyone
asked ^vbd+vsua+tht0+xvbn+=asked
her ^pp$+pp3+++=her
as ^in++++=as
to ^in++++=to
her ^pp$+pp3+++=her
status ^nn++++=status
in ^in++++=in
life ^nn++++=life.
. ^zz++++=EXTRAWORD
To ^in++++=To
her ^pp$+pp3+++=her
more ^rbr++++=more
intimate ^jj+atrb+++=intimate
friends ^nns++++=friends
she ^pp3a+pp3+++=she
confided ^vbd+++xvbnx+=confided
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
" ^zz++++="weed
weed ^nn++++=EXTRAWORD
widder ^jjr++++=widder,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
" ^zz++++="grass"
grass ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
variety ^nn++++=variety.
. ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story
of ^in++++=of
how ^wrb+who+++=how
her ^pp$+pp3+++=her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
Madison ^np+++??+=Madison,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
" ^zz++++="No
no ^at++++=EXTRAWORD
' ^zz++++='count,
count ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
even ^rb++++=even
befo ^nn+++??+=befo'
' ^zz++++=EXTRAWORD
de ^&fw++++=de
wah ^nn+++??+=wah,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
of ^in++++=of
his ^pp$+pp3+++=his
rapid ^jj+atrb+++=rapid
degeneration ^nn+nom+++=degeneration
thereafter ^nn+nom+++=thereafter,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
vividly ^rb++splt++=vividly
told ^vpsv++agls+xvbnx+=told.
. ^zz++++=EXTRAWORD
" ^zz++++="De
de ^&fw++++=EXTRAWORD
fact ^nn++++=fact
of ^in++++=of
de ^&fw++++=de
mattah ^nn+++??+=mattah
is ^vbz+bez+vrb++=is,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Mixon ^np++++=Mixon
was ^vbd+bedz+vrb++=was
wont ^nn++++=wont
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="my
my ^pp$+pp1+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
Madison ^np+++??+=Madison,
