All ^abn++++=All
day ^nn++++=day
long ^rb++++=long
they ^pp3a+pp3+++=they
kept ^vbd+++xvbnx+=kept
Horace ^np++++=Horace
Nimms ^np+++??+=Nimms
in ^in++++=in
a ^at++++=a
steel ^nn++++=steel-barred
- ^zz++++=EXTRAWORD
barred ^jj+atrb++xvbn+=EXTRAWORD
cage ^nn++++=cage.
. ^zz++++=EXTRAWORD
For ^in++++=For
twenty ^cd++++=twenty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
years ^nns++++=years
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
perched ^vprf+++xvbnx+=perched
on ^in++++=on
a ^at++++=a
tall ^jj+atrb+++=tall
stool ^nn++++=stool
in ^cs+sub+++=in
that ^cs"++++=that
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
various ^jj+atrb+++=various
persons ^nns++++=persons
at ^in++++=at
various ^jj+atrb+++=various
times ^nns++++=times
poked ^vbd+++xvbn+=poked
things ^nns++++=things
at ^in++++=at
him ^pp3o+pp3+++=him
through ^in++++=through
a ^at++++=a
hole ^nn++++=hole
about ^in++++=about
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
admit ^vbi+vpub+++=admit
an ^at++++=an
adult ^nn++++=adult
guinea ^np++++=guinea
pig ^nn++++=pig.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
evening ^nn++++=evening
round ^in++++=round
five ^cd++++=five-thirty
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
they ^pp3a+pp3+++=they
let ^vbd+++xvbnx+=let
Horace ^np++++=Horace
out ^rp+pl+++=out
and ^cc++++=and
permitted ^jj+++xvbn+=permitted
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
over ^rb+phrv+++=over
to ^in+ppvb+++=to
his ^pp$+pp3+++=his
half ^nn++++=half
of ^in++++=of
a ^at++++=a
double ^jj++++=double-barreled
- ^zz++++=EXTRAWORD
barreled ^vbd+++xvbn+=EXTRAWORD
house ^npl++++=house
in ^in++++=in
Flatbush ^np+++??+=Flatbush
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
At ^rb++++=At
eight ^cd++++=eight-thirty
- ^zz++++=EXTRAWORD
thirty ^cd++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
his ^pp$+pp3+++=his
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
his ^pp$+pp3+++=his
two ^cd++++=two-dollar-and-eighty-nine-cent
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
eighty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
cent ^nnu"++++=EXTRAWORD
approximately ^rb+down+++=approximately
Panama ^np++++=Panama
hat ^nn++++=hat
on ^in++++=on
a ^at++++=a
peg ^nn++++=peg
and ^cc++++=and
changed ^vbd+++xvbn+=changed
his ^pp$+pp3+++=his
blue ^jj++++=blue-serge-suit
- ^zz++++=EXTRAWORD
serge ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
suit ^nn++++=EXTRAWORD
coat ^nn++++=coat
for ^in++++=for
a ^at++++=a
still ^rb++++=still
more ^rbr++++=more
shiny ^jj+atrb+++=shiny
alpaca ^nn+++??+=alpaca.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
sharpened ^vbd+++xvbnx+=sharpened
two ^cd++++=two
pencils ^nns++++=pencils
to ^in++++=to
needle ^nn++++=needle-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
sharpness ^nns+nom+++=sharpness,
, ^zz++++=EXTRAWORD
tested ^xvbn+++xvbn+=tested
his ^pp$+pp3+++=his
pen ^nn++++=pen
by ^in++++=by
writing ^xvbg+++xvbg+=writing
" ^zz++++="H.
h ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nimms ^np+++??+=Nimms,
, ^zz++++=EXTRAWORD
Esq. ^np+++??+=Esq.,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
precise ^jj+atrb+++=precise
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
his ^pp$+pp3+++=his
adding ^jj+atrb++xvbg+=adding
machine ^nn++++=machine
a ^ap++++=a
few ^ap"++++=few
preparatory ^jj+atrb+++=preparatory
pokes ^nns+++??+=pokes
and ^cc++++=and
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
for ^in++++=for
the ^ati++++=the
day ^nn++++=day's
's ^$++++=EXTRAWORD
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Horace ^np++++=Horace
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
mild ^jj+atrb+++=mild
way ^nn++++=way,
, ^zz++++=EXTRAWORD
of ^in++++=of
being ^nn+nn+aux++=being
shut ^vbd+++xvbn+=shut
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
cage ^nn++++=cage
with ^in++++=with
all ^abn++++=all
that ^dt+dem+++=that
money ^nn++++=money.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
carried ^vbd+++xvbn+=carried
the ^ati++++=the
suggestion ^nn+nom+++=suggestion
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
man ^nn++++=man
of ^in++++=of
a ^at++++=a
possibly ^rb++++=possibly
predatory ^jj+atrb+++=predatory
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=wasn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
more ^rbr++++=more
patient ^nn++++=patient
and ^cc++++=and
docile ^jj++++=docile
five ^cd++++=five
feet ^nns++++=feet
and ^cc++++=and
two ^cd++++=two
inches ^nns++++=inches
of ^in++++=of
cashier ^nn++++=cashier
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found
between ^in++++=between
Spuyten ^np+++??+=Spuyten
Duyvil ^np+++??+=Duyvil
and ^cc++++=and
Tottenville ^np+++??+=Tottenville,
, ^zz++++=EXTRAWORD
Staten ^np+++??+=Staten
Island ^nn++++=Island.
. ^zz++++=EXTRAWORD
Cashiers ^nns+nom+++=Cashiers
are ^vb+ber+aux++=are
mostly ^rb++splt++=mostly
crabbed ^vpsv++agls+xvbnx+=crabbed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sours ^nns+++??+=sours
them ^pp3o+pp3+++=them
somehow ^rb++++=somehow
to ^in++++=to
hand ^nn++++=hand
out ^rp+pl+++=out
all ^abn++++=all
that ^dt+dem+++=that
money ^nn++++=money
and ^cc++++=and
retain ^vb++++=retain
so ^ql++++=so
little ^ap++++=little
for ^in++++=for
their ^pp$+pp3+++=their
own ^ap++++=own
personal ^jj+atrb+++=personal
use ^nn++++=use.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Horace ^np++++=Horace
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
of ^in++++=of
this ^dt+dem+++=this
ilk ^nn+++??+=ilk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
timidest ^jjt++++=timidest
stenographer ^jjr++++=stenographer
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hesitate ^nn+nom+++=hesitate
to ^to+vcmp+++=to
take ^vbi++++=take
the ^ati++++=the
pettiest ^jjt++++=pettiest
petty ^jj++++=petty-cash
- ^zz++++=EXTRAWORD
cash ^nn++++=EXTRAWORD
slip ^nn++++=slip
to ^in++++=to
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
window ^nn++++=window
and ^cc++++=and
twitter ^jjr++++=twitter,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
custom ^nn++++=custom:
: ^zz++++=EXTRAWORD
" ^zz++++="Forty
forty ^cd++++=EXTRAWORD
cents ^nns++++=cents
for ^in++++=for
carbon ^nn++++=carbon
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
let ^vb+++xvbn+=let
me ^pp1o+pp1+++=me
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
in ^in++++=in
large ^jj+atrb+++=large
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
please ^uh++++=please,
, ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Horace ^np++++=Horace."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
peer ^vb++++=peer
at ^rb++++=at
the ^ati++++=the
slip ^nn++++=slip,
, ^zz++++=EXTRAWORD
pretend ^vb+vprv+tht0++=pretend
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
for ^in++++=for
forty ^cd++++=forty
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
smile ^nn++++=smile
a ^at++++=a
friendly ^jj+atrb+++=friendly
smile ^nn++++=smile
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
little ^ap++++=little
ripples ^vbz++++=ripples
round ^rb++++=round
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and--according
-- ^--+clp+++=EXTRAWORD
according ^in+cmpx+++=EXTRAWORD
to ^in++++=to
custom ^nn++++=custom--reply:
-- ^--+clp+++=EXTRAWORD
reply ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
" ^zz++++="Here
here ^rn+pl+++=EXTRAWORD
you ^pp2+pp2+++=you
be ^vb+be+vrb++=be.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
buying ^vbg+++xvbgx+=buying
yourself ^ppl+pp2+++=yourself
a ^at++++=a
flivver ^nn++++=flivver
with ^in++++=with
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
office ^nn++++=office
force ^nn++++=force
in ^in++++=in
a ^at++++=a
large ^jj+atrb+++=large
corporation ^nn+nom+++=corporation
calls ^vbz++++=calls
the ^ati++++=the
office ^nn++++=office
cashier ^nn++++=cashier
" ^zz++++="uncle"
uncle ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
a ^at++++=a
pretty ^rb++++=pretty
good ^jj+atrb+++=good
indication ^nn+nom+++=indication
of ^in++++=of
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
man ^nn++++=man
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
Horace ^np++++=Horace
Nimms ^np+++??+=Nimms
was ^vbd+bedz+vrb++=was
slightly ^rb+down+++=slightly
bald ^jj+pred+++=bald,
, ^zz++++=EXTRAWORD
wore ^jj+atrb++xvbn+=wore
convict ^nn+++??+=convict
eye-glasses ^nns+++??+=eye-glasses--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
sort ^nn++++=sort
you ^pp2+pp2+++=you
shackle ^nn+++??+=shackle
to ^in++++=to
your ^pp$+pp2+++=your
head ^nn++++=head
with ^in++++=with
a ^at++++=a
chain ^nn++++=chain--kept
-- ^--+clp+++=EXTRAWORD
kept ^j+++xvbn+=EXTRAWORD
his ^pp$+pp3+++=his
cuffs ^nns++++=cuffs
up ^rb+phrv+++=up
with ^in+ppvb+++=with
lavender ^nn+nom+++=lavender
sleeve ^nn++++=sleeve
garters ^nns+nom+++=garters,
, ^zz++++=EXTRAWORD
carried ^j+++xvbn+=carried
a ^at++++=a
change ^nn++++=change
purse ^nn++++=purse,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
a ^at++++=a
small ^jj+atrb+++=small
red ^jj+atrb+++=red
pocket ^nn++++=pocket
expense ^nn++++=expense
book ^nn++++=book,
, ^zz++++=EXTRAWORD
thought ^j+++xvbn+=thought
his ^pp$+pp3+++=his
company ^nn++++=company
the ^ati++++=the
greatest ^nn++++=greatest
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
its ^pp$+it+++=its
president ^nn++++=president,
, ^zz++++=EXTRAWORD
Oren ^np+++??+=Oren
Hammer ^nn++++=Hammer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
man ^nn++++=man,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
devoted ^vpsv++agls+xvbnx+=devoted
to ^in++++=to
a ^at++++=a
wife ^nn++++=wife
and ^cc++++=and
two ^cd++++=two
growing ^jj+atrb++xvbg+=growing
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
dreamed ^j+++xvbn+=dreamed
of ^in++++=of
a ^at++++=a
cottage ^nn+nom+++=cottage
on ^in++++=on
Long ^rb++++=Long
Island ^nn++++=Island
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
square ^jj+atrb+++=square
yards ^nns++++=yards
of ^in++++=of
beets ^nns+++??+=beets
and ^cc++++=and
beans ^nns++++=beans
and ^cc++++=and,
, ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
earned ^j+++xvbn+=earned
forty ^cd++++=forty
dollars ^nns++++=dollars
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
Horace ^np++++=Horace
Nimms ^np+++??+=Nimms
had ^vb+hv+vrb++=had
a ^at++++=a
figuring ^jj+atrb++xvbg+=figuring
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
ten ^cd++++=ten
little ^ap++++=little
Arabic ^jj+atrb+++=Arabic
symbols ^nns++++=symbols
and ^cc++++=and
their ^pp$+pp3+++=their
combinations ^nns+nom+++=combinations
and ^cc++++=and
permutations ^nns+nom+++=permutations
held ^vbd+vprv++xvbn+=held
a ^at++++=a
fascination ^nn+nom+++=fascination
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
To ^in++++=To
his ^pp$+pp3+++=his
ears ^nns++++=ears
six ^cd++++=six
times ^nns++++=times
six ^cd++++=six
is ^vbz+bez+vrb++=is
thirty ^cd++++=thirty-six
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
was ^vbd+bedz+aux++=was
as ^ql++++=as
perfect ^vb++++=perfect
a ^at++++=a
poem ^nn++++=poem
as ^in++++=as
ever ^rb++++=ever
a ^at++++=a
master ^nn++++=master
bard ^nn++++=bard
penned ^vbd+++xvbn+=penned.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
on ^in++++=on
muggy ^nn+++??+=muggy
Flatbush ^np+++??+=Flatbush
nights ^nns++++=nights
he ^pp3a+pp3+++=he
tossed ^vbd+++xvbnx+=tossed
in ^in++++=in
his ^pp$+pp3+++=his
brass ^nn++++=brass
bed ^nn++++=bed
he ^pp3a+pp3+++=he
lulled ^vbd+++xvbnx+=lulled
himself ^ppl+pp3+++=himself
to ^to++++=to
sleep ^vbi++++=sleep
by ^in++++=by
dividing ^xvbg+++xvbg+=dividing
695,481,239 ^cd++++=695,481,239
by ^in++++=by
433 ^cd++++=433.
. ^zz++++=EXTRAWORD
At ^rb++++=At
other ^ap++++=other
and ^cc++++=and
more ^rbr++++=more
wakeful ^jj+atrb+++=wakeful
moments ^nns+nom+++=moments
he ^pp3a+pp3+++=he
amused ^vbd+++xvbnx+=amused
himself ^ppl+pp3+++=himself
by ^in++++=by
planning ^xvbg+++xvbg+=planning
an ^at++++=an
elaborate ^jj+atrb+++=elaborate
cost ^nn++++=cost-accounting
- ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=EXTRAWORD
system ^nn++++=system
for ^in++++=for
his ^pp$+pp3+++=his
firm ^nn++++=firm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Amalgamated ^jj+atrb++xvbn+=Amalgamated
Soap ^nn++++=Soap
Corporation ^nn+nom+++=Corporation,
, ^zz++++=EXTRAWORD
known ^vb+++xvbn+=known
to ^to+vcmp+++=to
the ^ati++++=the
ends ^nns++++=ends
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth
as ^in++++=as
the ^ati++++=the
Suds ^np+++??+=Suds
Trust ^nn++++=Trust.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
so ^rb++++=so
far ^rb+pl+++=far
as ^in++++=as
to ^in++++=to
play ^nn++++=play
the ^ati++++=the
entertaining ^jj+atrb++xvbg+=entertaining
game ^nn++++=game
of ^in++++=of
imaginary ^jj+atrb+++=imaginary
conversations ^nns+nom+++=conversations.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pictured ^vbd+++xvbnx+=pictured
himself ^ppl+pp3+++=himself
sitting ^vbg+++xvbg+=sitting
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
fat ^nn++++=fat
chairs ^nns++++=chairs
in ^in++++=in
the ^ati++++=the
office ^nn++++=office
of ^in++++=of
President ^nn++++=President
Hammer ^nn++++=Hammer
and ^cc++++=and
saying ^nvbg+++xvbg+=saying
between ^in++++=between
puffs ^nns++++=puffs
on ^in++++=on
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
presidential ^jj+atrb+++=presidential
perfectos ^nns+++??+=perfectos:
: ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
looky ^nn+++??+=looky
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Hammer ^np++++=Hammer.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
plan ^nn++++=plan
for ^in++++=for
a ^at++++=a
cost ^nn++++=cost-accounting
- ^zz++++=EXTRAWORD
accounting ^nvbg+++xvbg+=EXTRAWORD
system ^nn++++=system
is ^vbz+bez+vrb++=is----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
