( ^zz++++=(1
1 ^zz++++=EXTRAWORD
An ^at++++=An
episode ^nn++++=episode
from ^in++++=from
The ^ati++++=The
Story ^nn++++=Story
of ^in++++=of
a ^at++++=a
Bad ^jj+atrb+++=Bad
Boy ^nn++++=Boy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
narrator ^nn++++=narrator
being ^vwbg+beg++xvbg+=being
Tom ^np++++=Tom
Bailey ^np++++=Bailey,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hero ^nn++++=hero
of ^in++++=of
the ^ati++++=the
tale ^nn++++=tale.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Every ^at++++=Every
Rivermouth ^np+++??+=Rivermouth
boy ^nn++++=boy
looks ^nns++++=looks
upon ^in++++=upon
the ^ati++++=the
sea ^npl++++=sea
as ^ql++++=as
being ^jj+++xvbg+=being
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
mixed ^vbd+++xvbn+=mixed
up ^rb+phrv+++=up
with ^in+ppvb+++=with
his ^pp$+pp3+++=his
destiny ^nn++++=destiny.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
yet ^rb++++=yet
a ^at++++=a
baby ^nn++++=baby
lying ^vwbg+++xvbg+=lying
in ^in++++=in
his ^pp$+pp3+++=his
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hears ^vbz+vprv+++=hears
the ^ati++++=the
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
boom ^nn++++=boom
of ^in++++=of
the ^ati++++=the
breakers ^nns+nom+++=breakers;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
older ^jjr+pred+++=older,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
wanders ^nns+nom+++=wanders
by ^in++++=by
the ^ati++++=the
sandy ^np++++=sandy
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
waves ^nns++++=waves
that ^tht+rel+subj++=that
come ^vprf+++xvbn+=come
plunging ^vbg+++xvbg+=plunging
up ^rp++++=up
the ^ati++++=the
beach ^npl++++=beach
like ^in++++=like
white ^jj++++=white-maned
- ^zz++++=EXTRAWORD
maned ^jj+atrb++xvbn+=EXTRAWORD
sea ^nn++++=sea-horses,
- ^zz++++=EXTRAWORD
horses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
Thoreau ^np+++??+=Thoreau
calls ^nns++++=calls
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eye ^nn++++=eye
follows ^vbz+vprv+++=follows
the ^ati++++=the
lessening ^xvbg+++xvbg+=lessening
sail ^vb++++=sail
as ^ql++++=as
it ^pp3+it+++=it
fades ^vbz+++??+=fades
into ^in++++=into
the ^ati++++=the
blue ^jj+atrb+++=blue
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
burns ^vbz++++=burns
for ^in++++=for
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
shall ^md+prd+++=shall
stand ^vb++++=stand
on ^in++++=on
the ^ati++++=the
quarter ^nn++++=quarter-deck
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
ship ^nn++++=ship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
go ^vb++++=go
sailing ^nvbg+++xvbg+=sailing
proudly ^rb++++=proudly
across ^in+pl+++=across
that ^dt+dem+++=that
mysterious ^jj+atrb+++=mysterious
waste ^nn++++=waste
of ^in++++=of
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
town ^nn++++=town
itself ^ppl++++=itself
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
hints ^nns++++=hints
and ^cc++++=and
flavors ^nns++++=flavors
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gables ^nns+++??+=gables
and ^cc++++=and
roofs ^nns++++=roofs
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
facing ^vwbg+++xvbg+=facing
eastward ^rb++++=eastward
are ^vb+ber+aux++=are
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
red ^jj+atrb+++=red
rust ^nn++++=rust,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
flukes ^nns+++??+=flukes
of ^in++++=of
old ^jj+atrb+++=old
anchors ^nns++++=anchors;
; ^zz++++=EXTRAWORD
a ^at++++=a
salty ^jj+atrb+++=salty
smell ^nn++++=smell
pervades ^vbz++++=pervades
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dense ^jj+atrb+++=dense
gray ^np++++=gray
fogs ^nns++++=fogs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
very ^ap+amp+++=very
breath ^nn++++=breath
of ^in++++=of
Ocean ^nn++++=Ocean,
, ^zz++++=EXTRAWORD
periodically ^rb++++=periodically
creep ^vb++++=creep
up ^rp++++=up
into ^in++++=into
the ^ati++++=the
quiet ^jj+atrb+++=quiet
streets ^nns++++=streets
and ^cc++++=and
envelop ^vb++++=envelop
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
The ^ati++++=The
terrific ^jj+atrb+++=terrific
storms ^nns++++=storms
that ^tht+rel+subj++=that
lash ^vb++++=lash
the ^ati++++=the
coast ^nn++++=coast;
; ^zz++++=EXTRAWORD
the ^ati++++=the
kelp ^nn+++??+=kelp
and ^cc++++=and
spars ^nns+++??+=spars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
the ^ati++++=the
bodies ^nns++++=bodies
of ^in++++=of
drowned ^jj+atrb++xvbn+=drowned
men ^nns++++=men,
, ^zz++++=EXTRAWORD
tossed ^j+++xvbn+=tossed
on ^in++++=on
shore ^nn++++=shore
by ^in++++=by
the ^ati++++=the
scornful ^jj+atrb+++=scornful
waves ^nns++++=waves;
; ^zz++++=EXTRAWORD
the ^ati++++=the
shipyards ^nns++++=shipyards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wharves ^nns+++??+=wharves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tawny ^jj+atrb+++=tawny
fleet ^nn++++=fleet
of ^in++++=of
fishing ^xvbg+++xvbg+=fishing-smacks
- ^zz++++=EXTRAWORD
smacks ^nns+++??+=EXTRAWORD
yearly ^rb++++=yearly
fitted ^vwbn+++xvbn+=fitted
out ^rp+pl+++=out
at ^in++++=at
Rivermouth ^np+++??+=Rivermouth--these
-- ^--+clp+++=EXTRAWORD
these ^dt+dem+++=EXTRAWORD
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hundred ^cd++++=hundred
other ^ap++++=other,
, ^zz++++=EXTRAWORD
feed ^nn++++=feed
the ^ati++++=the
imagination ^nn+nom+++=imagination
and ^cc++++=and
fill ^vb++++=fill
the ^ati++++=the
brain ^nn++++=brain
of ^in++++=of
every ^at++++=every
healthy ^jj+atrb+++=healthy
boy ^nn++++=boy
with ^in++++=with
dreams ^nps++++=dreams
of ^in++++=of
adventure ^nn++++=adventure.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
learns ^vbz+vprv+++=learns
to ^to+vcmp+++=to
swim ^vbi++++=swim
almost ^rb+hdg+++=almost
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
can ^md+pos+++=can
walk ^vb++++=walk;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
draws ^vbz++++=draws
in ^in++++=in
with ^in++++=with
his ^pp$+pp3+++=his
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
milk ^nn++++=milk
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
handling ^xvbg+++xvbg+=handling
