A ^at++++=A
queer ^jj+atrb+++=queer
little ^jj+atrb+++=little
tale ^nn++++=tale,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
eccentric ^jj+atrb+++=eccentric
behavior ^nn++++=behavior
of ^in++++=of
a ^at++++=a
strange ^jj+atrb+++=strange
guest ^nn++++=guest
in ^in++++=in
a ^at++++=a
country ^nn++++=country
hotel ^nn++++=hotel
I ^pp1a+pp1+++=I
Have ^vb+hv+aux++=HAVE
not ^xnot++not++=not
yet ^rb++++=yet
met ^vbd+++xvbn+=met
the ^ati++++=the
man ^nn++++=man
in ^in++++=in
No ^at++++=No.
. ^zz++++=EXTRAWORD
212 ^cd++++=212.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
even ^rb++++=even
know ^vb+vprv+++=know
his ^pp$+pp3+++=his
name ^nn++++=name.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
patronizes ^vbz++++=patronizes
the ^ati++++=the
hotel ^nn++++=hotel
restaurant ^nn+nom+++=restaurant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
does ^vbz+doz+aux++=does
not ^xnot++not++=not
use ^vb++++=use
the ^ati++++=the
lobby ^nn++++=lobby.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
three ^cd++++=three
occasions ^nns++++=occasions
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
passed ^vbd+++xvbn+=passed
each ^ppls++++=each
other ^ap++++=other
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
did ^vbd+dod+aux++=did
not ^xnot++not++=not
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
we ^pp1a+pp1+++=we
nodded ^vbd+++xvbn+=nodded
in ^in++++=in
a ^at++++=a
semi ^nn+++??+=semi-cordial,
- ^zz++++=EXTRAWORD
cordial ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
noncommittal ^jj+atrb+++=noncommittal
way ^nn++++=way.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^in++++=like
very ^ql+amp+++=very
much ^ap++++=much
to ^to++++=to
make ^vbi++++=make
his ^pp$+pp3+++=his
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
lonesome ^jj+pred+++=lonesome
in ^in++++=in
this ^dt+dem+++=this
dreary ^jj+atrb+++=dreary
place ^nn++++=place.
. ^zz++++=EXTRAWORD
With ^in+cmpx+++=With
the ^in"++++=the
exception ^in"++++=exception
of ^in"++++=of
the ^ati++++=the
aged ^jj+atrb+++=aged
lady ^npt++++=lady
down ^rp++++=down
the ^ati++++=the
corridor ^nn++++=corridor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only
permanent ^jj+atrb+++=permanent
guests ^nns++++=guests
are ^vb+ber+vrb++=are
the ^ati++++=the
man ^nn++++=man
in ^in++++=in
No ^at++++=No.
. ^zz++++=EXTRAWORD
212 ^cd++++=212
and ^cc++++=and
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
not ^xnot++not++=not
complain ^vb+vpub+++=complain,
, ^zz++++=EXTRAWORD
for ^in++++=for
this ^dt+dem+++=this
utter ^jjb+atrb+++=utter
quiet ^nn++++=quiet
is ^vbz+bez+vrb++=is
precisely ^rb++++=precisely
what ^wdt+who+++=what
the ^ati++++=the
doctor ^nn++++=doctor
prescribed ^vbd+++xvbn+=prescribed.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder
if ^cs+cnd+++=if
the ^ati++++=the
man ^nn++++=man
in ^in++++=in
No ^at++++=No.
. ^zz++++=EXTRAWORD
212 ^cd++++=212,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
here ^rn+pl+++=here
for ^in++++=for
a ^at++++=a
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
so ^ql++++=so
very ^ql+amp+++=very
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
can ^md+pos+++=can
not ^xnot++not++=not
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
ill ^jj+pred+++=ill,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
paleness ^nns+nom+++=paleness
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
of ^in++++=of
a ^at++++=a
sickly ^nn++++=sickly
cast ^vbd+++xvbn+=cast,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
rather ^rb++++=rather
wholesome ^jj++++=wholesome
in ^in++++=in
its ^pp$+it+++=its
ivory ^nn++++=ivory
clarity ^nn+nom+++=clarity.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
carriage ^nn+nom+++=carriage
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
man ^nn++++=man
enjoying ^vwbg+++xvbg+=enjoying
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
health ^nn++++=health.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
tall ^jj+pred+++=tall
and ^cc+phrs+++=and
straight ^jj++++=straight.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walks ^nns++++=walks
erectly ^jj++++=erectly
and ^cc++++=and
with ^in++++=with
a ^at++++=a
brisk ^jj+atrb+++=brisk,
, ^zz++++=EXTRAWORD
athletic ^jj+atrb+++=athletic
stride ^nn++++=stride.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pallor ^nn++++=pallor
is ^vbz+bez+vrb++=is
no ^at++++=no
doubt ^nn++++=doubt
congenital ^jj++++=congenital,
, ^zz++++=EXTRAWORD
