A ^at++++=A
barber ^nn++++=barber
is ^vbz+bez+vrb++=is
by ^in++++=by
nature ^nn++++=nature
and ^cc++++=and
inclination ^nn+nom+++=inclination
a ^at++++=a
sport ^nn++++=sport.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you
at ^in++++=at
what ^wdt+who+++=what
exact ^jj+atrb+++=exact
hour ^nn++++=hour
the ^ati++++=the
ball ^nn++++=ball
game ^nn++++=game
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
is ^vbz+bez+aux++=is
to ^to++++=to
begin ^vbi++++=begin,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
foretell ^vb+++??+=foretell
its ^pp$+it+++=its
issue ^nn++++=issue
without ^in++++=without
losing ^xvbg+++xvbg+=losing
a ^at++++=a
stroke ^nn++++=stroke
of ^in++++=of
the ^ati++++=the
razor ^nn++++=razor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
explain ^vb+vpub+++=explain
the ^ati++++=the
points ^nns++++=points
of ^in++++=of
inferiority ^nn+nom+++=inferiority
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
players ^nns+nom+++=players,
, ^zz++++=EXTRAWORD
as ^in++++=as
compared ^nn++++=compared
with ^in++++=with
better ^jjr+atrb+++=better
men ^nns++++=men
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
personally ^rb++splt++=personally
seen ^vprf+++xvbnx+=seen
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
nicety ^nn++++=nicety
of ^in++++=of
a ^at++++=a
professional ^nn+nom+++=professional.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
can ^md+pos+++=can
do ^vb+do+vrb++=do
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
stuff ^vb++++=stuff
the ^ati++++=the
customer ^nn+nom+++=customer's
's ^$++++=EXTRAWORD
mouth ^nn++++=mouth
with ^in++++=with
a ^at++++=a
soap ^nn++++=soap-brush,
- ^zz++++=EXTRAWORD
brush ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leave ^nn++++=leave
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
to ^in++++=to
the ^ati++++=the
other ^ap++++=other
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
shop ^nn++++=shop
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
side ^nn++++=side
bet ^vbd+++xvbn+=bet
with ^in++++=with
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
barbers ^nns+nom+++=barbers
on ^in++++=on
the ^ati++++=the
outcome ^nn++++=outcome
of ^in++++=of
the ^ati++++=the
Autumn ^nn++++=Autumn
Handicap ^nn++++=Handicap.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
barber ^np++++=barber-shops
- ^zz++++=EXTRAWORD
shops ^nns++++=EXTRAWORD
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
Jeffries ^np+++??+=Jeffries-Johnson
- ^zz++++=EXTRAWORD
johnson ^np++++=EXTRAWORD
prize ^nn++++=prize-fight
- ^zz++++=EXTRAWORD
fight ^nn++++=EXTRAWORD
long ^rb++++=long
before ^cs+sub+++=before
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
on ^in++++=on
information ^nn+nom+++=information
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
make ^vb++++=make
their ^pp$+pp3+++=their
living ^nvbg+++xvbg+=living.
. ^zz++++=EXTRAWORD
The ^ati++++=The
performance ^nn+nom+++=performance
of ^in++++=of
shaving ^xvbg+++xvbg+=shaving
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
incidental ^jj+pred+++=incidental
to ^in++++=to
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
real ^jj+atrb+++=real
vocation ^nn+nom+++=vocation
in ^in++++=in
life ^nn++++=life
is ^vbz+bez+aux++=is
imparting ^vbg+++xvbgx+=imparting
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
barber ^nn++++=barber
the ^ati++++=the
outside ^jjb+atrb+++=outside
world ^nn++++=world
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
up ^rp++++=up
of ^in++++=of
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
to ^to++++=to
be ^vbi+vbi+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
into ^in++++=into
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
strapped ^j+++xvbn+=strapped,
, ^zz++++=EXTRAWORD
manacled ^j+++xvbn+=manacled,
, ^zz++++=EXTRAWORD
gagged ^vprf+++xvbn+=gagged
with ^in++++=with
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
given ^vbd+++xvbn+=given
such ^abl++++=such
necessary ^jj+atrb+++=necessary
information ^nn+nom+++=information
on ^in++++=on
the ^ati++++=the
athletic ^jj+atrb+++=athletic
events ^nns++++=events
of ^in++++=of
the ^ati++++=the
moment ^nn++++=moment
as ^ql++++=as
will ^md+prd+++=will
carry ^vb++++=carry
them ^pp3o+pp3+++=them
through ^in++++=through
the ^ati++++=the
business ^nns+nom+++=business
hours ^nns++++=hours
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
without ^in++++=without
open ^jj+atrb+++=open
disgrace ^nn+++??+=disgrace.
. ^zz++++=EXTRAWORD
As ^ql++++=As
soon ^rb+tm+++=soon
as ^in++++=as
the ^ati++++=the
barber ^nn++++=barber
has ^vbz+hvz+aux++=has
properly ^rb++splt++=properly
filled ^vprf+++xvbnx+=filled
up ^rp++++=up
the ^ati++++=the
customer ^nn+nom+++=customer
with ^in++++=with
information ^nn+nom+++=information
of ^in++++=of
this ^dt+dem+++=this
sort ^nn++++=sort,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
rapidly ^rb++++=rapidly
removes ^vbz++++=removes
his ^pp$+pp3+++=his
whiskers ^nns+nom+++=whiskers
as ^in++++=as
a ^at++++=a
sign ^nn++++=sign
that ^tht+ncmp+++=that
the ^ati++++=the
man ^nn++++=man
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
fit ^jj++++=fit
to ^to+jcmp+++=to
talk ^vbi++++=talk
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lets ^vbz++++=lets
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
The ^ati++++=The
public ^nn++++=public
has ^vbz+hvz+aux++=has
grown ^vprf+++xvbnx+=grown
to ^to++++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
reasonable ^jj+atrb+++=reasonable
business ^nns+nom+++=business
man ^nn++++=man
is ^vbz+bez+vrb++=is
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
sit ^vbi++++=sit
and ^cc+phrs+++=and
wait ^vb++++=wait
half ^abn++++=half
an ^at++++=an
hour ^nn++++=hour
for ^in++++=for
a ^at++++=a
shave ^nn++++=shave
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
could ^md+pos+++=could
give ^vb++++=give
himself ^ppl+pp3+++=himself
in ^in++++=in
three ^cd++++=three
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
down ^in++++=down
town ^nn++++=town
without ^in++++=without
understanding ^xvbg+++xvbg+=understanding
exactly ^rb++++=exactly
why ^wrb+who+++=why
Chicago ^np++++=Chicago
lost ^vbd+++xvbn+=lost
two ^cd++++=two
games ^nns++++=games
straight ^rb++++=straight
he ^pp3a+pp3+++=he
will ^md+prd+++=will
appear ^vb+seem+++=appear
an ^at++++=an
ignoramus ^nn++++=ignoramus.
. ^zz++++=EXTRAWORD
At ^rb++++=At
