As ^ql++++=As
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
from ^in++++=from
his ^pp$+pp3+++=his
brougham ^nn+++??+=brougham
through ^in++++=through
the ^ati++++=the
sombre ^jj+atrb+++=sombre
hall ^nn++++=hall
to ^in++++=to
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
his ^pp$+pp3+++=his
secretary ^nn+nom+++=secretary
far ^rb+pl+++=far
in ^in++++=in
the ^ati++++=the
rear ^jjb++++=rear,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
already ^rb++splt++=already
composed ^vprf+++xvbnx+=composed
the ^ati++++=the
first ^od++++=first
sentence ^nn+nom+++=sentence
of ^in++++=of
his ^pp$+pp3+++=his
address ^nns+nom+++=address
to ^in++++=to
the ^ati++++=the
United ^np++++=United
Chambers ^nns+nom+++=Chambers
of ^in++++=of
Commerce ^nn++++=Commerce
of ^in++++=of
the ^ati++++=the
Five ^cd++++=Five
Towns ^nns++++=Towns;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
at ^rb++++=at
once ^rb"+tm+++=once
to ^in++++=to
his ^pp$+pp3+++=his
vast ^jj+atrb+++=vast
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
impatient ^jj++++=impatient
to ^to+jcmp+++=to
begin ^vbi++++=begin
dictating ^nn++++=dictating.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
perceived ^vbd+vprv++xvbnx+=perceived
the ^ati++++=the
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
lodged ^j+++xvbn+=lodged
prominently ^rb++++=prominently
against ^in++++=against
the ^ati++++=the
gold ^nn++++=gold
and ^cc++++=and
onyx ^nn+++??+=onyx
inkstand ^nn+++??+=inkstand
given ^vwbn+++xvbn+=given
to ^in++++=to
him ^pp3o+pp3+++=him
on ^in++++=on
his ^pp$+pp3+++=his
marriage ^nn+nom+++=marriage
by ^in++++=by
the ^ati++++=the
Prince ^nn++++=Prince
and ^cc++++=and
Princess ^nns+nom+++=Princess
of ^in++++=of
Wales ^np++++=Wales.
. ^zz++++=EXTRAWORD
The ^ati++++=The
envelope ^nn++++=envelope
was ^vbd+bedz+aux++=was
imperfectly ^rb++splt++=imperfectly
fastened ^vpsv++agls+xvbnx+=fastened,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
not ^xnot++not++=not
fastened ^vprf+++xvbn+=fastened
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flap ^nn++++=flap
came ^vbd+++xvbn+=came
apart ^in++++=apart
as ^ql++++=as
he ^pp3a+pp3+++=he
fingered ^vbd+++xvbnx+=fingered
it ^pp3+it+++=it
nervously ^rb++++=nervously.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj+atrb+++=EXTRAWORD
Cloud, ^np+++??+=Cloud,--This
-- ^--+clp+++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say
good ^jj++++=good-bye,
- ^zz++++=EXTRAWORD
bye ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
finally ^rb++++=finally--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
Fear ^nn++++=Fear
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
at ^in++++=at
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
suddenly ^rb++splt++=suddenly
told ^vpsv++by+xvbn+=told
by ^in++++=by
a ^at++++=a
physician ^nn++++=physician
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
submit ^vb+vpub+++=submit
to ^in++++=to
an ^at++++=an
operation ^nn+nom+++=operation
endangering ^j++++=endangering
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
skipped ^vprf+++xvbn+=skipped
feverishly ^jj++++=feverishly
over ^in++++=over
the ^ati++++=the
four ^cd++++=four
pages ^nns++++=pages
to ^in++++=to
the ^ati++++=the
signature ^nn++++=signature,
, ^zz++++=EXTRAWORD
" ^zz++++="Yours
yours ^pp$$++++=EXTRAWORD
sincerely ^rb+cnj+++=sincerely,
, ^zz++++=EXTRAWORD
Gertrude ^np++++=Gertrude."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
secretary ^npt+nom+++=secretary
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
write ^vb++++=write
one ^cd1++++=one
or ^cc++++=or
two ^cd++++=two
private ^jj+atrb+++=private
letters ^nns+nom+++=letters
first ^rb+cnj+++=first,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
the ^ati++++=the
secretary ^nn+nom+++=secretary.
. ^zz++++=EXTRAWORD
" ^zz++++="Leave
leave ^nn++++=EXTRAWORD
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
ring ^vb++++=ring."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Shall ^md+prd+++=Shall
I ^pp1a+pp1+++=I
take ^vb++++=take
your ^pp$+pp2+++=your
overcoat ^nn++++=overcoat?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
discreet ^jj++++=discreet
closing ^jj+++xvbg+=closing
of ^in++++=of
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
" ^zz++++="--finally.
-- ^--+clp+++=EXTRAWORD
finally ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
stand ^vb++++=stand
it ^pp3+it+++=it
any ^dti++++=any
longer ^rbr++++=longer.
. ^zz++++=EXTRAWORD
Cloud ^nn++++=Cloud,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
gone ^vpsv++agls+xvbnx+=gone
to ^in++++=to
Italy ^np++++=Italy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
use ^vb++++=use
the ^ati++++=the
villa ^np++++=villa
at ^rb++++=at
Florence ^np+nom+++=Florence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trust ^nn++++=trust
you ^pp2+pp2+++=you
to ^to++++=to
leave ^vbi++++=leave
me ^pp1o+pp1+++=me
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
tell ^vb++++=tell
our ^pp$+pp1+++=our
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can
start ^vb++++=start
with ^in++++=with
the ^ati++++=the
Bargraves ^np+++??+=Bargraves
to ^to++++=to-night.
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
agree ^vb+vpub+++=agree
with ^in++++=with
me ^pp1o+pp1+++=me
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
for ^in++++=for
the ^ati++++=the
best ^jjt++++=best--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
that ^cs+sub+++=that
this ^dt+dem+++=this
letter ^nn++++=letter
was ^vbd+bedz+aux++=was
very ^ql+amp+++=very
like ^vb++++=like
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
letter ^nn++++=letter
that ^tht+rel+subj++=that
gets ^vbz++++=gets
read ^vb+vprv++xvbn+=read
in ^in++++=in
the ^ati++++=the
Divorce ^nn++++=Divorce
Court ^nn++++=Court
and ^cc++++=and
printed ^vpsv++agls+xvbn+=printed
in ^in++++=in
the ^ati++++=the
papers ^nns++++=papers
afterwards ^rb+tm+++=afterwards;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
" ^zz++++="--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
the ^ati++++=the
best ^nn++++=best.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
will ^md+prd+++=will
