Each ^dt++++=Each
with ^in++++=with
his ^pp$+pp3+++=his
favorite ^jj+atrb+++=favorite
hunting ^jj+atrb++xvbg+=hunting
pig ^nn++++=pig
on ^in++++=on
a ^at++++=a
stout ^jj+atrb+++=stout
string ^nn++++=string,
, ^zz++++=EXTRAWORD
a ^at++++=a
band ^nn++++=band
of ^in++++=of
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
citizens ^nns++++=citizens
of ^in++++=of
Montpont ^np+++??+=Montpont
moved ^vbd+++xvbn+=moved
in ^in++++=in
dignified ^jj+atrb+++=dignified
procession ^nn++++=procession
down ^in++++=down
the ^ati++++=the
Rue ^npl++++=Rue
Victor ^nn++++=Victor
Hugo ^np++++=Hugo
in ^in++++=in
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
hunting ^jj+atrb++xvbg+=hunting
preserve ^nn++++=preserve.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
mild ^jj+atrb+++=mild,
, ^zz++++=EXTRAWORD
delicious ^jj+atrb+++=delicious
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
cool ^vb++++=cool
and ^cc++++=and
tranquil ^jj++++=tranquil
as ^in++++=as
a ^at++++=a
pool ^nn++++=pool
in ^in++++=in
a ^at++++=a
woodland ^nn++++=woodland
glade ^nn++++=glade.
. ^zz++++=EXTRAWORD
To ^in++++=To
Perigord ^np+++??+=Perigord
alone ^rb++++=alone
come ^vprf+++xvbn+=come
such ^abl++++=such
days ^nns++++=days.
. ^zz++++=EXTRAWORD
Peace ^nn++++=Peace
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
murmur ^nn++++=murmur
of ^in++++=of
voices ^nns++++=voices
of ^in++++=of
men ^nns++++=men
intent ^jj++++=intent
on ^in++++=on
a ^at++++=a
mission ^nn++++=mission
of ^in++++=of
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
of ^in++++=of
Montpont ^np+++??+=Montpont
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
forth ^rp++++=forth
to ^to++++=to
hunt ^vbi++++=hunt
truffles ^nns+++??+=truffles.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Brillat ^np+++??+=Brillat-Savarin
- ^zz++++=EXTRAWORD
savarin ^nn+++??+=EXTRAWORD
points ^nns++++=points
out ^rp+pl+++=out
in ^in++++=in
his ^pp$+pp3+++=his
" ^zz++++="Physiology
physiology ^nn++++=EXTRAWORD
of ^in++++=of
Taste" ^np+++??+=Taste"--"All
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
all ^abn++++=EXTRAWORD
France ^np++++=France
is ^vbz+bez+vrb++=is
inordinately ^rb++++=inordinately
truffliferous ^jj+pred+++=truffliferous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
province ^nn++++=province
of ^in++++=of
Perigord ^np+++??+=Perigord
particularly ^rb++++=particularly
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
On ^in++++=On
week ^nn++++=week-days
- ^zz++++=EXTRAWORD
days ^nns++++=EXTRAWORD
the ^ati++++=the
hunting ^jj+++xvbg+=hunting
of ^in++++=of
that ^dt+dem+++=that
succulent ^jj+atrb+++=succulent
subterranean ^jj+atrb+++=subterranean
fungus ^nns+++??+=fungus
was ^vbd+bedz+vrb++=was
a ^at++++=a
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
a ^at++++=a
vast ^jj+atrb+++=vast
commercial ^jj+atrb+++=commercial
enterprise ^nn++++=enterprise,
, ^zz++++=EXTRAWORD
for ^in++++=for
were ^vbd+bed+vrb++=were
there ^rn+pl+++=there
not ^xnot++not++=not
thousands ^cds++++=thousands
of ^in++++=of
Perigord ^np+++??+=Perigord
pies ^nns++++=pies
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncounted ^jj+atrb++xvbn+=uncounted
tins ^nns++++=tins
of ^in++++=of
p ^zz++++=p
t ^zz++++=t
de ^&fw++++=de
foie ^nn+++??+=foie
gras ^nns+++??+=gras
to ^to++++=to
be ^vbi+vbi+aux++=be
given ^vpsv++agls+xvbnx+=given
the ^ati++++=the
last ^rb++++=last
exquisite ^nn++++=exquisite
touch ^nn++++=touch
by ^in++++=by
the ^ati++++=the
addition ^nn+nom+++=addition
of ^in++++=of
a ^at++++=a
bit ^nn++++=bit
of ^in++++=of
truffle ^nn+++??+=truffle?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
Sunday ^nr++++=Sunday
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
a ^at++++=a
sport ^nn++++=sport,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chief ^jjb++++=chief,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
sport ^nn++++=sport
of ^in++++=of
the ^ati++++=the
citizens ^nns++++=citizens
of ^in++++=of
Montpont ^np+++??+=Montpont.
. ^zz++++=EXTRAWORD
A ^at++++=A
preserve ^nn++++=preserve,
