Although ^cs+con+++=Although
Bertha ^np+++??+=Bertha
Young ^jj++++=Young
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty
she ^pp3a+pp3+++=she
still ^rb++++=still
had ^vb+hv+vrb++=had
moments ^nns+nom+++=moments
like ^in++++=like
this ^dt+pdem+++=this
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
run ^vbi++++=run
instead ^rb+cnj+++=instead
of ^in++++=of
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
to ^to++++=to
take ^vbi++++=take
dancing ^vbg+++xvbg+=dancing
steps ^nns++++=steps
on ^in++++=on
and ^cc++++=and
off ^in+pl+++=off
the ^ati++++=the
pavement ^nn+nom+++=pavement,
, ^zz++++=EXTRAWORD
to ^in++++=to
bowl ^nn++++=bowl
a ^at++++=a
hoop ^nn++++=hoop,
, ^zz++++=EXTRAWORD
to ^to++++=to
throw ^vbi++++=throw
something ^pn++++=something
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
air ^nn++++=air
and ^cc++++=and
catch ^vb++++=catch
it ^pp3+it+++=it
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
to ^to++++=to
stand ^vbi++++=stand
still ^jj+pred+++=still
and ^cc++++=and
laugh ^nn++++=laugh
at ^rb++++=at
nothing ^pn++++=nothing
at ^in++++=at
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
simply ^rb++++=simply.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
thirty ^cd++++=thirty
and ^cc++++=and,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
your ^pp$+pp2+++=your
own ^ap++++=own
street ^nn++++=street,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
overcome ^vpsv++agls+xvbnx+=overcome,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
by ^in++++=by
a ^at++++=a
feeling ^jj+++xvbg+=feeling
of ^in++++=of
bliss ^nn++++=bliss
absolute ^jj+atrb+++=absolute
bliss ^nn++++=bliss!
! ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
suddenly ^rb++splt++=suddenly
swallowed ^vprf+++xvbnx+=swallowed
a ^at++++=a
bright ^jj+atrb+++=bright
piece ^nn++++=piece
of ^in++++=of
that ^dt+dem+++=that
late ^jj+atrb+++=late
afternoon ^nn++++=afternoon
sun ^nn++++=sun
and ^cc++++=and
