Eleven ^cd++++=Eleven
o ^zz++++=o'clock.
'clock. ^nn+++??+=EXTRAWORD
A ^at++++=A
knock ^vb++++=knock
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hope ^nn++++=hope
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
disturbed ^vwbn+++xvbn+=disturbed
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=weren't
n't ^xnot++not++0=EXTRAWORD
asleep ^jj++++=asleep
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
given ^vprf+++xvbnx+=given
my ^pp$+pp1+++=my
lady ^npt++++=lady
her ^pp3o+pp3+++=her
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
nice ^jj+atrb+++=nice
cup ^nn++++=cup
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
make ^vb++++=make
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
tea ^nn++++=tea
last ^jj+atrb+++=last
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
drinks ^nns++++=drinks
it ^pp3+it+++=it
in ^in++++=in
bed ^nn++++=bed
after ^cs+sub+++=after
her ^pp3o+pp3+++=her
prayers ^nns+nom+++=prayers
to ^to++++=to
warm ^vbi++++=warm
her ^pp$+pp3+++=her
up ^rp++++=up.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
the ^ati++++=the
kettle ^nn++++=kettle
on ^in++++=on
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
kneels ^nns+++??+=kneels
down ^rp++++=down
and ^cc++++=and
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say
to ^to+vcmp+++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
need ^vb++++=needn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
in ^in++++=in
too ^ql++++=too
much ^ap++++=much
of ^in++++=of
a ^at++++=a
hurry ^nn++++=hurry
to ^to++++=to
say ^vbi+vpub+++=say
your ^pp$+pp2+++=your
prayers ^nns+nom+++=prayers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
always ^rb++++=always
boiling ^nvbg+++xvbg+=boiling
before ^cs+sub+++=before
my ^pp$+pp1+++=my
lady ^nn++++=lady
is ^vbz+bez+vrb++=is
half ^abn++++=half
through ^in+strn+++=through.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
know ^vb+vprv+++=know
such ^abl++++=such
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
people ^nns++++=people,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
all ^abn++++=all
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
prayed ^vpsv++agls+xvbnx+=prayed
for ^in++++=for
every ^at++++=every
one ^pn++++=one.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
lady ^nn++++=lady
keeps ^vbz++++=keeps
a ^at++++=a
list ^nn++++=list
of ^in++++=of
the ^ati++++=the
names ^nns++++=names
in ^in++++=in
a ^rb++++=a
little ^rb"++++=little
red ^jj+atrb+++=red
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh
dear ^jj++++=dear!
! ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
some ^dti++++=some
one ^cd1++++=one
new ^jj++++=new
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
to ^to++++=to
see ^vbi+vprv+++=see
us ^pp1o+pp1+++=us
and ^cc++++=and
my ^pp$+pp1+++=my
lady ^nn++++=lady
says ^vbz+vpub+++=says
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
" ^zz++++="Ellen,
ellen ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
give ^vb++++=give
me ^pp1o+pp1+++=me
my ^pp$+pp1+++=my
little ^ap++++=little
red ^jj+atrb+++=red
book ^nn++++=book,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+++=feel
quite ^rb++++=quite
wild ^jj++++=wild,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
another ^dt++++=another,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
" ^zz++++="keeping
keeping ^vbg+++xvbg+=EXTRAWORD
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her
bed ^nn++++=bed
in ^in++++=in
all ^abn++++=all
weathers ^nns+nom+++=weathers."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
she ^pp3a+pp3+++=she
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
cushion ^nn++++=cushion,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
kneels ^nns+++??+=kneels
on ^in++++=on
the ^ati++++=the
hard ^jj+atrb+++=hard
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
fidgets ^vbz++++=fidgets
me ^pp1o+pp1+++=me
something ^pn++++=something
dreadful ^jj++++=dreadful
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
her ^pp$+pp3+++=her
as ^ql++++=as
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
cheat ^vbi++++=cheat
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
spread ^vprf+++xvbnx+=spread
out ^rp+pl+++=out
the ^ati++++=the
eiderdown ^nn++++=eiderdown.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
such ^abl++++=such
a ^at++++=a
look ^vb++++=look
holy ^jj++++=holy
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+vrb++=EXTRAWORD
our ^pp$+pp1+++=our
Lord ^npt++++=Lord
have ^vb+hv+vrb++=have
an ^at++++=an
eiderdown ^nn++++=eiderdown,
, ^zz++++=EXTRAWORD
Ellen ^np++++=Ellen?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
younger ^jjr+pred+++=younger
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
our ^pp$+pp1+++=our
Lord ^npt++++=Lord
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
your ^pp$+pp2+++=your
age ^nn++++=age,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
to ^to++++=to
have ^vbi++vrb++=have
your ^pp$+pp2+++=your
lumbago ^nn++++=lumbago."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wicked ^jj++++=Wicked
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
good ^jj++++=good,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
tucked ^vbd+++xvbnx+=tucked
her ^pp$+pp3+++=her
up ^rp++++=up
just ^rb+emph+++=just
now ^rn+tm+++=now
and ^cc++++=and
seen ^vbd+vprv++xvbn+=seen
saw ^vbd+vprv+tht0+xvbn+=saw
her ^pp$+pp3+++=her
lying ^vbg+++xvbg+=lying
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands
outside ^jjb++++=outside
and ^cc++++=and
her ^pp$+pp3+++=her
head ^jjb++++=head
on ^in++++=on
the ^ati++++=the
pillow ^nn++++=pillow
so ^ql++++=so
pretty ^rb++++=pretty
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
thinking ^nvbg+++xvbg+=thinking,
, ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
look ^vb++++=look
just ^rb+emph+++=just
like ^in++++=like
your ^pp$+pp2+++=your
dear ^uh++++=dear
mother ^nn++++=mother
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
laid ^vbd+++xvbnx+=laid
her ^pp$+pp3+++=her
out ^rp+pl+++=out!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
all ^abn++++=all
left ^vwbn+++xvbn+=left
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
look ^vb++++=look
sweet ^jj++++=sweet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
her ^pp$+pp3+++=her
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
round ^rp++++=round
her ^pp3o+pp3+++=her
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
all ^abn++++=all
in ^in++++=in
dainty ^jj+atrb+++=dainty
curls ^nns++++=curls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
her ^pp$+pp3+++=her
neck ^nn++++=neck
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
a ^at++++=a
bunch ^nn++++=bunch
of ^in++++=of
most ^ql+emph+++=most
beautiful ^jj+atrb+++=beautiful
purple ^jj+atrb+++=purple
pansies ^nns++++=pansies.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
pansies ^nns++++=pansies
made ^vbd+++xvbn+=made
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
never ^rb++splt++=never
forget ^vb+vprv+++=forget
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
to ^to+vcmp+++=to-night,
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
