A ^at++++=A
quaint ^jj+atrb+++=quaint
old ^jj+atrb+++=old
rogue ^nn++++=rogue,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
called ^vbd+++xvbn+=called
himself ^ppl+pp3+++=himself
Rabaya ^np+++??+=Rabaya,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Mystic ^nn++++=Mystic,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
many ^ap++++=many
extraordinary ^jj+atrb+++=extraordinary
characters ^nns+nom+++=characters
of ^in++++=of
that ^dt+dem+++=that
odd ^jj+atrb+++=odd
corner ^nn++++=corner
of ^in++++=of
San ^np++++=San
Francisco ^np++++=Francisco
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
the ^ati++++=the
Latin ^jj+atrb+++=Latin
Quarter ^nn++++=Quarter.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
business ^nns+nom+++=business
was ^vbd+bedz+vrb++=was
the ^ati++++=the
selling ^jj+++xvbg+=selling
of ^in++++=of
charms ^nns++++=charms
and ^cc++++=and
amulets ^nns+nom+++=amulets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
generally ^rb+down+++=generally
harmless ^jj+atrb+++=harmless
practices ^nns++++=practices
received ^vbd+++xvbn+=received
an ^at++++=an
impressive ^jj+atrb+++=impressive
aspect ^nn++++=aspect
from ^in++++=from
his ^pp$+pp3+++=his
Hindu ^jj+atrb+++=Hindu
parentage ^nn+nom+++=parentage,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
great ^jj+atrb+++=great
age ^nn++++=age,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
wizened ^jj+atrb+++=wizened
frame ^nn++++=frame,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
deeply ^rb++++=deeply
wrinkled ^vwbn+++xvbn+=wrinkled
face ^nn++++=face,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
outlandish ^jj+atrb+++=outlandish
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
barbaric ^jj+atrb+++=barbaric
fittings ^nns++++=fittings
of ^in++++=of
his ^pp$+pp3+++=his
den ^&fw++++=den.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
his ^pp$+pp3+++=his
most ^ql+emph+++=most
constant ^jj+atrb+++=constant
customers ^nns+nom+++=customers
was ^vbd+bedz+vrb++=was
James ^np++++=James
Freeman ^np++++=Freeman,
, ^zz++++=EXTRAWORD
the ^ati++++=the
half ^abn++++=half-piratical
- ^zz++++=EXTRAWORD
piratical ^jj+atrb+++=EXTRAWORD
owner ^nn++++=owner
and ^cc++++=and
skipper ^nn++++=skipper
of ^in++++=of
the ^ati++++=the
" ^zz++++="Blue
blue ^jj+atrb+++=EXTRAWORD
Crane ^nn++++=Crane."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
queer ^jj++++=queer
little ^ap++++=little
barkentine ^nn+++??+=barkentine,
, ^zz++++=EXTRAWORD
of ^in++++=of
light ^nn++++=light
tonnage ^nn+nom+++=tonnage
but ^cc++++=but
wonderful ^jj+atrb+++=wonderful
sailing ^jj+atrb++xvbg+=sailing
qualities ^nns+nom+++=qualities,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
remembered ^vpsv++agls+xvbnx+=remembered
in ^in++++=in
every ^at++++=every
port ^nn++++=port
between ^in++++=between
Sitka ^np+++??+=Sitka
and ^cc++++=and
Callao ^np+++??+=Callao.
. ^zz++++=EXTRAWORD
All ^abn++++=All
sorts ^nns++++=sorts
of ^in++++=of
strange ^jj+atrb+++=strange
stories ^nns++++=stories
are ^vb+ber+aux++=are
told ^vpsv++agls+xvbnx+=told
of ^in++++=of
her ^pp$+pp3+++=her
exploits ^nns++++=exploits,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
these ^dt+pdem+++=these
mostly ^rb++++=mostly
were ^vbd+bed+aux++=were
manufactured ^vpsv++by+xvbnx+=manufactured
by ^in++++=by
superstitious ^jj++++=superstitious
and ^cc++++=and
highly ^rb+amp+++=highly
imaginative ^jj+atrb+++=imaginative
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
commonly ^rb++++=commonly
demonstrate ^nn+nom+++=demonstrate
the ^ati++++=the
natural ^jj+atrb+++=natural
affinity ^nn+nom+++=affinity
existing ^vwbg+++xvbg+=existing
between ^in++++=between
idleness ^nns+nom+++=idleness
and ^cc++++=and
lying ^vbg+++xvbg+=lying.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said
not ^xnot++not++=not
only ^rb+down+++=only
that ^dt+dem+++=that
she ^pp3a+pp3+++=she
engaged ^vbd+++xvbnx+=engaged
in ^in++++=in
smuggling ^nn+nom+++=smuggling,
, ^zz++++=EXTRAWORD
piracy ^nn++++=piracy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="blackbirding"
blackbirding ^jj+++xvbg+=EXTRAWORD
" ^zz++++=EXTRAWORD
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
kidnapping ^nn++++=kidnapping
Gilbert ^np++++=Gilbert
Islanders ^nns+nom++??+=Islanders
and ^cc++++=and
selling ^nvbg+++xvbg+=selling
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
coffee ^nn++++=coffee-planters
- ^zz++++=EXTRAWORD
planters ^nns+nom+++=EXTRAWORD
of ^in++++=of
Central ^jj+atrb+++=Central
America ^np++++=America),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
she ^pp3a+pp3+++=she
maintained ^vbd+vpub++xvbnx+=maintained
special ^jj+atrb+++=special
relations ^nns+nom+++=relations
with ^in++++=with
Satan ^np++++=Satan,
, ^zz++++=EXTRAWORD
founded ^j+++xvbn+=founded
on ^in++++=on
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
mysterious ^jj+atrb+++=mysterious
charms ^nns++++=charms
which ^whp+rel+obj++=which
her ^pp3o+pp3+++=her
skipper ^npt++++=skipper
was ^vbd+bedz+aux++=was
supposed ^vb++pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
have ^vbi+vbi+aux++=have
procured ^xvbn+++xvbn+=procured
from ^in++++=from
some ^dti++++=some
mysterious ^jj+atrb+++=mysterious
source ^nn++++=source
and ^cc++++=and
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
employ ^vbi++++=employ
on ^in++++=on
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
information ^nn+nom+++=information
which ^whp+rel+obj++=which
his ^pp$+pp3+++=his
manifests ^vbz++++=manifests
and ^cc++++=and
clearance ^nn+nom+++=clearance
papers ^nns++++=papers
divulged ^vbd+++xvbn+=divulged,
, ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
of ^in++++=of
his ^pp$+pp3+++=his
supposed ^jj+atrb++xvbn+=supposed
shady ^jj+atrb+++=shady
operations ^nns+nom+++=operations
could ^md+pos+++=could
be ^vb+be+aux++=be
learned ^vpsv++agls+xvbnx+=learned
either ^dtx++++=either
from ^in++++=from
him ^pp3o+pp3+++=him
or ^cc++++=or
his ^pp$+pp3+++=his
crew ^nn++++=crew;
; ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
like ^in++++=like
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
a ^at++++=a
strangely ^rb++++=strangely
silent ^jj+atrb+++=silent
lot ^nn++++=lot--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
keen ^jj++++=keen-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
young ^jj+atrb+++=young
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
never ^rb++++=never
drank ^vbd+++xvbn+=drank
and ^cc++++=and
who ^whp+rel+subj++=who
kept ^vbd+++xvbn+=kept
to ^in+ppvb+++=to
themselves ^ppls+pp3+++=themselves
when ^wrb+who+++=when
in ^in++++=in
port ^nn++++=port.
. ^zz++++=EXTRAWORD
An ^at++++=An
uncommon ^jj+atrb+++=uncommon
circumstance ^nn+nom+++=circumstance
was ^vbd+bedz+vrb++=was
that ^dt+dem+++=that
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
never ^rb++++=never
any ^dti++++=any
vacancies ^nns++++=vacancies
in ^in++++=in
the ^ati++++=the
crew ^nn++++=crew,
, ^zz++++=EXTRAWORD
except ^in++++=except
one ^cd1++++=one
that ^cs+sub+++=that
happened ^vprf+++xvbn+=happened
as ^ql++++=as
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
Freeman ^np++++=Freeman's
's ^$++++=EXTRAWORD
last ^rb++++=last
visit ^vb++++=visit
to ^in++++=to
Rabaya ^np+++??+=Rabaya,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
about ^rb++++=about
in ^in++++=in
the ^ati++++=the
following ^jj+atrb++xvbg+=following
remarkable ^jj+atrb+++=remarkable
manner ^nn++++=manner:
: ^zz++++=EXTRAWORD
Freeman ^np++++=Freeman,
, ^zz++++=EXTRAWORD
like ^in++++=like
most ^ql+emph+++=most
other ^ap++++=other
men ^nns++++=men
who ^whp+rel+subj++=who
follow ^vb+vprv+++=follow
the ^ati++++=the
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
superstitious ^jj+pred+++=superstitious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
ascribed ^vbd+++xvbnx+=ascribed
his ^pp$+pp3+++=his
fair ^jj+atrb+++=fair
luck ^nn++++=luck
to ^in++++=to
the ^ati++++=the
charms ^nns++++=charms
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
secretly ^rb++++=secretly
procured ^xvbn+++xvbn+=procured
from ^in++++=from
Rabaya ^np+++??+=Rabaya.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
visited ^vbd+++xvbnx+=visited
the ^ati++++=the
mystic ^nn++++=mystic
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
port ^nn++++=port
of ^in++++=of
San ^np++++=San
Francisco ^np++++=Francisco,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
some ^dti++++=some
today ^nr+tm+++=to-day
who ^whp+rel+subj++=who
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
Rabaya ^np+++??+=Rabaya
had ^vb+hv+vrb++=had
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
supposed ^jj+atrb++xvbn+=supposed
buccaneering ^jj+atrb++xvbg+=buccaneering
enterprises ^nns++++=enterprises
of ^in++++=of
the ^ati++++=the
" ^zz++++="Blue
blue ^jj+atrb+++=EXTRAWORD
Crane ^nn++++=Crane."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
most ^ql+emph+++=most
intelligent ^jj++++=intelligent
and ^cc+phrs+++=and
active ^jj++++=active
of ^in++++=of
the ^ati++++=the
" ^zz++++="Blue
blue ^jj+atrb+++=EXTRAWORD
Crane ^nn++++=Crane's"
's" ^nn+++??+=EXTRAWORD
crew ^nn++++=crew
was ^vbd+bedz+vrb++=was
a ^at++++=a
Malay ^nn++++=Malay
known ^vbd+vprv++xvbn+=known
to ^to+vcmp+++=to
his ^pp$+pp3+++=his
mates ^nns++++=mates
as ^in++++=as
the ^ati++++=the
Flying ^jj+atrb++xvbg+=Flying
Devil ^nn++++=Devil.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^in++++=to
him ^pp3o+pp3+++=him
by ^in++++=by
reason ^nn++++=reason
of ^in++++=of
his ^pp$+pp3+++=his
extraordinary ^jj+atrb+++=extraordinary
agility ^nn+nom+++=agility.
. ^zz++++=EXTRAWORD
No ^at++++=No
monkey ^nn++++=monkey
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
more ^rbr++++=more
active ^jj++++=active
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
in ^in++++=in
the ^ati++++=the
rigging ^nn++++=rigging;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
make ^vb++++=make
flying ^xvbg+++xvbg+=flying
leaps ^vbz++++=leaps
with ^in++++=with
astonishing ^jj+atrb+++=astonishing
ease ^nn++++=ease.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
not ^xnot++not++=not
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
more ^rbr++++=more
than ^in++++=than
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
years ^nns++++=years
