Two ^cd++++=Two
very ^ql+amp+++=very
shabby ^jj+atrb+++=shabby
looking ^jj+atrb++xvbg+=looking
young ^jj+atrb+++=young
men ^nns++++=men
stood ^vbd+++xvbn+=stood
at ^rb++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
Prairie ^nn++++=Prairie
Avenue ^nn++++=Avenue
and ^cc++++=and
Eightieth ^np+++??+=Eightieth
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
despondently ^jj++++=despondently
at ^rb++++=at
the ^ati++++=the
carriages ^nns+nom+++=carriages
that ^tht+rel+subj++=that
whirled ^vpsv++by+xvbn+=whirled
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Christmas ^np++++=Christmas
Eve ^nn++++=Eve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
streets ^nns++++=streets
were ^vbd+bed+vrb++=were
full ^jj+pred+++=full
of ^in++++=of
vehicles ^nns++++=vehicles;
; ^zz++++=EXTRAWORD
florists ^nns+nom+++=florists'
' ^zz++++=EXTRAWORD
wagons ^nns++++=wagons,
, ^zz++++=EXTRAWORD
grocers ^nns+nom+++=grocers'
' ^zz++++=EXTRAWORD
carts ^nns+++??+=carts
and ^cc++++=and
carriages ^nns+nom+++=carriages.
. ^zz++++=EXTRAWORD
The ^ati++++=The
streets ^nns++++=streets
were ^vbd+bed+vrb++=were
in ^cs+sub+++=in
that ^cs"++++=that
half ^abn++++=half-liquid,
- ^zz++++=EXTRAWORD
liquid ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
half ^abn++++=half-congealed
- ^zz++++=EXTRAWORD
congealed ^jj+atrb++xvbn+=EXTRAWORD
condition ^nn+nom+++=condition
peculiar ^jj++++=peculiar
to ^in++++=to
the ^ati++++=the
streets ^nns++++=streets
of ^in++++=of
Chicago ^np++++=Chicago
at ^rb++++=at
that ^dt+dem+++=that
season ^nn++++=season
of ^in++++=of
the ^ati++++=the
year ^nn++++=year.
. ^zz++++=EXTRAWORD
The ^ati++++=The
swift ^jj+atrb+++=swift
wheels ^nns++++=wheels
that ^tht+rel+subj++=that
spun ^vpsv++by+xvbn+=spun
by ^in++++=by
sometimes ^rb++++=sometimes
threw ^vbd+++xvbn+=threw
the ^ati++++=the
slush ^nn+++??+=slush
of ^in++++=of
mud ^nn++++=mud
and ^cc++++=and
snow ^nn++++=snow
over ^in++++=over
the ^ati++++=the
two ^cd++++=two
young ^jj+atrb+++=young
men ^nns++++=men
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
on ^in++++=on
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
remarked ^vprf+++xvbn+=remarked
the ^ati++++=the
elder ^nn++++=elder
of ^in++++=of
the ^ati++++=the
two ^cd++++=two,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
guess ^vb++++=guess
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
at ^in++++=at
our ^pp$+pp1+++=our
rope ^nn++++=rope's
's ^$++++=EXTRAWORD
end ^nn++++=end,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
feel ^vb+vprv+++=feel?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Pretty
pretty ^rb++++=EXTRAWORD
shaky ^jj++++=shaky.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind's
's ^vbz+bez+vrb++0=EXTRAWORD
sharp ^jj+atrb+++=sharp
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
anything ^pn++++=anything
to ^to++++=to
eat ^vbi++++=eat
I ^pp1a+pp1+++=I
might ^md+pos+++=mightn't
n't ^xnot++not++0=EXTRAWORD
mind ^vb+++??+=mind
it ^pp3+it+++=it
so ^ql++++=so
much ^ap++++=much.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
simply ^rb++++=simply
no ^at++++=no
show ^nn++++=show.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sick ^jj+pred+++=sick
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
business ^nns+nom+++=business.
. ^zz++++=EXTRAWORD
Looks ^nns++++=Looks
like ^in++++=like
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
for ^in++++=for
it ^pp3+it+++=it
but ^cc++++=but
the ^ati++++=the
lake ^nn++++=lake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="O,
o ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nonsense ^nn++++=nonsense,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
more ^rbr++++=more
grit ^nn++++=grit.
. ^zz++++=EXTRAWORD
Got ^j+++xvbn+=Got
anything ^pn++++=anything
left ^vbd+++xvbn+=left
