On ^in++++=On
his ^pp$+pp3+++=his
way ^nn++++=way
from ^in++++=from
Petersburg ^np++++=Petersburg
to ^in++++=to
the ^ati++++=the
Crimea ^np++++=Crimea
Colonel ^npt++++=Colonel
Voznitsin ^np+++??+=Voznitsin
purposely ^rb++++=purposely
broke ^vbd+++xvbn+=broke
his ^pp$+pp3+++=his
journey ^nn++++=journey
at ^in++++=at
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
childhood ^nn+nom+++=childhood
and ^cc++++=and
youth ^nn++++=youth
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
spent ^vpsv++agls+xvbnx+=spent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stayed ^vbd+++xvbn+=stayed
there ^rn+pl+++=there
two ^cd++++=two
days ^nns++++=days.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
some ^dti++++=some
animals ^nns+nom+++=animals
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
about ^md"++pmd"++=about
to ^md+prd+++=to
die ^vb++++=die
go ^vb++++=go
round ^rb++++=round
to ^in++++=to
all ^abn++++=all
their ^pp$+pp3+++=their
favourite ^jjb+atrb+++=favourite
and ^cc+phrs+++=and
familiar ^jj+atrb+++=familiar
haunts ^nns++++=haunts,
, ^zz++++=EXTRAWORD
taking ^xvbg+++xvbg+=taking
leave ^vb++++=leave
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
Voznitsin ^np+++??+=Voznitsin
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
threatened ^vpsv++by+xvbn+=threatened
by ^in++++=by
the ^ati++++=the
near ^in+pl+++=near
approach ^nn++++=approach
of ^in++++=of
death ^nn++++=death;
; ^zz++++=EXTRAWORD
at ^rb++++=at
forty ^cd++++=forty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
still ^rb+atrb+++=still
strong ^jj+pred+++=strong
and ^cc++++=and
well ^rb++++=well-preserved.
- ^zz++++=EXTRAWORD
preserved ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
his ^pp$+pp3+++=his
tastes ^nns++++=tastes
and ^cc++++=and
feelings ^nns+nom+++=feelings
and ^cc++++=and
in ^in++++=in
his ^pp$+pp3+++=his
relations ^nns+nom+++=relations
with ^in++++=with
the ^ati++++=the
world ^nn++++=world
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
point ^nn++++=point
from ^in++++=from
which ^whp+rel+pied++=which
life ^nn++++=life
slips ^nns++++=slips
almost ^rb+hdg+++=almost
imperceptibly ^rb++++=imperceptibly
into ^in++++=into
old ^jj+atrb+++=old
age ^nn++++=age.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
to ^to++++=to
narrow ^vbi++++=narrow
the ^ati++++=the
circle ^nn++++=circle
of ^in++++=of
his ^pp$+pp3+++=his
enjoyments ^nns+nom+++=enjoyments
and ^cc++++=and
pleasures ^nns++++=pleasures;
; ^zz++++=EXTRAWORD
a ^at++++=a
habit ^nn++++=habit
of ^in++++=of
retrospection ^nn+nom+++=retrospection
and ^cc++++=and
of ^in++++=of
sceptical ^jj+atrb+++=sceptical
suspicion ^nn++++=suspicion
was ^vbd+bedz+vrb++=was
manifest ^jj+pred+++=manifest
in ^in++++=in
his ^pp$+pp3+++=his
behaviour ^nn++++=behaviour;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dumb ^jj++++=dumb,
, ^zz++++=EXTRAWORD
unconscious ^jj++++=unconscious,
, ^zz++++=EXTRAWORD
animal ^nn++++=animal
love ^nn++++=love
of ^in++++=of
Nature ^nn++++=Nature
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
less ^rbr++++=less
and ^cc++++=and
was ^vbd+bedz+aux++=was
giving ^vbg+++xvbgx+=giving
place ^nn++++=place
to ^in++++=to
a ^at++++=a
more ^rbr++++=more
refined ^jj+atrb++xvbn+=refined
appreciation ^nn+nom+++=appreciation
of ^in++++=of
the ^ati++++=the
shades ^nns++++=shades
of ^in++++=of
beauty ^nn++++=beauty;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
agitated ^jj+++xvbn+=agitated
and ^cc+phrs+++=and
disturbed ^jj+++xvbn+=disturbed
by ^in++++=by
the ^ati++++=the
adorable ^jj+atrb+++=adorable
loveliness ^nns+nom+++=loveliness
of ^in++++=of
women ^nns++++=women,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
chiefly ^rb++++=chiefly
and ^cc++++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^od++++=first
sign ^vb++++=sign
of ^in++++=of
spiritual ^jj+atrb+++=spiritual
blight ^nn++++=blight
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
think ^vbi+vprv+++=think
about ^in++++=about
his ^pp$+pp3+++=his
own ^ap++++=own
death ^nn++++=death.
. ^zz++++=EXTRAWORD
Formerly ^rb+tm+++=Formerly
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought
about ^in++++=about
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
careless ^jj+atrb+++=careless
and ^cc+phrs+++=and
transient ^jj+atrb+++=transient
fashion ^nn++++=fashion
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later
death ^nn++++=death
would ^md+prd+++=would
come ^vb++++=come,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^in++++=to
him ^pp3o+pp3+++=him
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
some ^dti++++=some
other ^ap++++=other,
, ^zz++++=EXTRAWORD
someone ^pn++++=someone
of ^in++++=of
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
Voznitsin ^np+++??+=Voznitsin.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
grievous ^jj++++=grievous,
, ^zz++++=EXTRAWORD
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
cruel ^jj++++=cruel,
, ^zz++++=EXTRAWORD
unwavering ^jj+atrb+++=unwavering,
, ^zz++++=EXTRAWORD
merciless ^jj+atrb+++=merciless
clearness ^nns+nom+++=clearness,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
at ^rb++++=at
nights ^nns++++=nights
his ^pp$+pp3+++=his
heart ^nn++++=heart
beat ^vbd+++xvbn+=beat
in ^in++++=in
terror ^nn++++=terror
and ^cc++++=and
his ^pp$+pp3+++=his
blood ^nn++++=blood
ran ^vbd+++xvbn+=ran
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
feeling ^jj+++xvbg+=feeling
which ^whp+who+++=which
had ^vbd+hvd+aux++=had
impelled ^vprf+++xvbnx+=impelled
him ^pp3o+pp3+++=him
to ^to++++=to
visit ^vbi++++=visit
once ^rb+tm+++=once
more ^ql++++=more
those ^dt+dem+++=those
places ^nns++++=places
familiar ^jj++++=familiar
to ^in++++=to
his ^pp$+pp3+++=his
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
to ^to++++=to
live ^vbi++++=live
over ^in++++=over
again ^rb+tm+++=again
in ^in++++=in
memory ^nn++++=memory
those ^dt+dem+++=those
dear ^nn++++=dear,
, ^zz++++=EXTRAWORD
painfully ^rb++++=painfully
sweet ^jj+atrb+++=sweet
recollections ^nns+nom+++=recollections
of ^in++++=of
his ^pp$+pp3+++=his
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
overshadowed ^j+++xvbn+=overshadowed
with ^in++++=with
a ^at++++=a
poetical ^jj+atrb+++=poetical
sadness ^nns+nom+++=sadness,
, ^zz++++=EXTRAWORD
to ^to++++=to
wound ^vbi++++=wound
his ^pp$+pp3+++=his
soul ^nn++++=soul
once ^rb+tm+++=once
more ^rbr++++=more
with ^in++++=with
the ^ati++++=the
sweet ^jj+atrb+++=sweet
grief ^nn++++=grief
of ^in++++=of
recalling ^vb+nom++xvbg+=recalling
that ^tht+vcmp+++=that
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
for ^rb++++=for
ever ^rb"++++=ever
past ^jjb++++=past
the ^ati++++=the
irrevocable ^jj+atrb+++=irrevocable
purity ^nn++++=purity
and ^cc++++=and
clearness ^nns+nom+++=clearness
of ^in++++=of
his ^pp$+pp3+++=his
first ^od++++=first
impressions ^nns++++=impressions
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stayed ^vbd+++xvbnx+=stayed
two ^cd++++=two
days ^nns++++=days
in ^in++++=in
Moscow ^np++++=Moscow,
, ^zz++++=EXTRAWORD
returning ^vbg+++xvbg+=returning
to ^in++++=to
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
haunts ^nns++++=haunts.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
where ^wrb+who+++=where
once ^rb+tm+++=once
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
for ^in+ppvb+++=for
six ^cd++++=six
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
charge ^nn++++=charge
of ^in++++=of
his ^pp$+pp3+++=his
form ^nn++++=form
mistress ^nns+nom+++=mistress,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
educated ^vbd+++xvbn+=educated
under ^in++++=under
the ^ati++++=the
Froebelian ^np+++??+=Froebelian
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
altered ^vpsv++agls+xvbnx+=altered
and ^cc++++=and
reconstituted ^jj+++xvbn+=reconstituted;
; ^zz++++=EXTRAWORD
the ^ati++++=the
boys ^nns++++=boys'
' ^zz++++=EXTRAWORD
department ^nn+nom+++=department
no ^at++++=no
longer ^rbr++++=longer
existed ^vbd+++xvbn+=existed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
girls ^nns++++=girls'
' ^zz++++=EXTRAWORD
class ^nn++++=class-rooms
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
still ^rb++++=still
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
and ^cc+phrs+++=and
alluring ^jj+atrb+++=alluring
smell ^nn++++=smell
of ^in++++=of
freshly ^rb++++=freshly
varnished ^jj+atrb++xvbn+=varnished
tables ^nns++++=tables
and ^cc++++=and
stools ^nns++++=stools;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
still ^rb++++=still
the ^ati++++=the
marvellous ^jj+atrb+++=marvellous
mixture ^nn++++=mixture
of ^in++++=of
odours ^nns++++=odours
in ^in++++=in
the ^ati++++=the
dining ^jj+++xvbg+=dining-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
special ^jj+atrb+++=special
smell ^nn++++=smell
of ^in++++=of
the ^ati++++=the
apples ^nns++++=apples
which ^whp+rel+obj++=which
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
as ^ql++++=as
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scholars ^nns++++=scholars
hid ^vbd+++xvbn+=hid
in ^in++++=in
their ^pp$+pp3+++=their
private ^jj+atrb+++=private
cupboards ^nns++++=cupboards.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
visited ^vbd+++xvbnx+=visited
his ^pp$+pp3+++=his
old ^jj+atrb+++=old
military ^jj+atrb+++=military
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vpsv++agls+xvbn+=went
into ^in++++=into
the ^ati++++=the
private ^jj+atrb+++=private
chapel ^nn++++=chapel
where ^wrb+who+++=where
as ^in++++=as
a ^at++++=a
cadet ^nn++++=cadet
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
serve ^vb++++=serve
at ^rb++++=at
the ^ati++++=the
altar ^nn++++=altar,
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
the ^ati++++=the
censer ^nn++++=censer
and ^cc++++=and
coming ^vbg+++xvbg+=coming
out ^rb+phrv+++=out
in ^in+ppvb+++=in
his ^pp$+pp3+++=his
surplice ^nn++++=surplice
with ^in++++=with
a ^at++++=a
candle ^nn++++=candle
at ^in++++=at
the ^ati++++=the
reading ^jj+++xvbg+=reading
of ^in++++=of
the ^ati++++=the
Gospel ^nn++++=Gospel,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
stealing ^vbg+nom++xvbg+=stealing
the ^ati++++=the
wax ^nn++++=wax
candle ^nn++++=candle-ends,
- ^zz++++=EXTRAWORD
ends ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
drinking ^vbg+++xvbg+=drinking
the ^ati++++=the
wine ^nn++++=wine
after ^in++++=after
Communion ^nn++++=Communion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
making ^jj+atrb++xvbg+=making
grimaces ^nns++++=grimaces
at ^in++++=at
the ^ati++++=the
funny ^jj+atrb+++=funny
deacon ^np++++=deacon
and ^cc++++=and
sending ^jj+++xvbg+=sending
him ^pp3o+pp3+++=him
into ^in++++=into
fits ^nns++++=fits
of ^in++++=of
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
once ^rb+tm+++=once
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
solemnly ^rb++splt++=solemnly
sent ^vpsv++agls+xvbnx+=sent
away ^rb+phrv+++=away
from ^in"++++=from
the ^ati++++=the
altar ^nn++++=altar
by ^in++++=by
the ^ati++++=the
priest ^nn++++=priest,
, ^zz++++=EXTRAWORD
a ^at++++=a
magnificent ^jj+atrb+++=magnificent
and ^cc+phrs+++=and
plump ^jj+atrb+++=plump
greybeard ^nn+++??+=greybeard,
, ^zz++++=EXTRAWORD
strikingly ^rb++++=strikingly
like ^in++++=like
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
God ^nn++++=God
of ^in++++=of
Sabaoth ^np+++??+=Sabaoth
behind ^in+pl+++=behind
the ^ati++++=the
altar ^nn++++=altar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
along ^in++++=along
all ^abn++++=all
the ^ati++++=the
old ^jj+atrb+++=old
streets ^nns++++=streets,
